"
quarter","
time_left_qtr","num_highlights_per_game
"
1st,"(0, 60]",0.38010471204188484
1st,"(60, 120]",0.34345549738219894
1st,"(120, 180]",0.3392670157068063
1st,"(180, 240]",0.37591623036649213
1st,"(240, 300]",0.3842931937172775
1st,"(300, 360]",0.3539267015706806
1st,"(360, 420]",0.38010471204188484
1st,"(420, 480]",0.3863874345549738
1st,"(480, 540]",0.2858638743455497
1st,"(540, 600]",0.193717277486911
1st,"(600, 660]",0.10261780104712041
1st,"(660, 720]",0.0356020942408377
2nd,"(0, 60]",0.5486910994764398
2nd,"(60, 120]",0.47853403141361256
2nd,"(120, 180]",0.4492146596858639
2nd,"(180, 240]",0.41256544502617803
2nd,"(240, 300]",0.36963350785340315
2nd,"(300, 360]",0.3298429319371728
2nd,"(360, 420]",0.34554973821989526
2nd,"(420, 480]",0.35287958115183243
2nd,"(480, 540]",0.30157068062827225
2nd,"(540, 600]",0.3319371727748691
2nd,"(600, 660]",0.26596858638743454
2nd,"(660, 720]",0.13612565445026178
3rd,"(0, 60]",0.4712041884816754
3rd,"(60, 120]",0.3392670157068063
3rd,"(120, 180]",0.3581151832460733
3rd,"(180, 240]",0.3298429319371728
3rd,"(240, 300]",0.43664921465968587
3rd,"(300, 360]",0.418848167539267
3rd,"(360, 420]",0.40523560209424087
3rd,"(420, 480]",0.4198952879581152
3rd,"(480, 540]",0.40523560209424087
3rd,"(540, 600]",0.42094240837696334
3rd,"(600, 660]",0.2879581151832461
3rd,"(660, 720]",0.11518324607329843
4th,"(0, 60]",0.743455497382199
4th,"(60, 120]",0.4837696335078534
4th,"(120, 180]",0.418848167539267
4th,"(180, 240]",0.4167539267015707
4th,"(240, 300]",0.44607329842931936
4th,"(300, 360]",0.38010471204188484
4th,"(360, 420]",0.40523560209424087
4th,"(420, 480]",0.30052356020942406
4th,"(480, 540]",0.31413612565445026
4th,"(540, 600]",0.35602094240837695
4th,"(600, 660]",0.25759162303664923
4th,"(660, 720]",0.14031413612565444
