('6:41\n', '1\n')
('6:40\n', '1\n')
('6:39\n', '1\n')
('6:38\n', '1\n')
('6:37\n', '1\n')
('6:36\n', '1\n')
('6:35\n', '1\n')
('6:33\n', '1\n')
('6:32\n', '1\n')
('4:04\n', '1\n')
('4:03\n', '1\n')
('4:02\n', '1\n')
('4:01\n', '1\n')
('4:00\n', '1\n')
('3:59\n', '1\n')
('3:58\n', '1\n')
('3:08\n', '1\n')
('3:07\n', '1\n')
('3:06\n', '1\n')
('3:05\n', '1\n')
('3:04\n', '1\n')
('3:03\n', '1\n')
('3:02\n', '1\n')
('3:01\n', '1\n')
('44.3\n', '1\n')
('43.4\n', '1\n')
('42.4\n', '1\n')
('41.4\n', '1\n')
(':40.4\n', '1\n')
('40.0\n', '1\n')
('140.0\n', '1\n')
('9:54\n', '2\n')
('9:53\n', '2\n')
('9:53\n', '2\n')
('7:44\n', '2\n')
('7:43\n', '2\n')
('7:42\n', '2\n')
('7:41\n', '2\n')
('7:40\n', '2\n')
('7:39\n', '2\n')
('4:06\n', '2\n')
('4:05\n', '2\n')
('4:04\n', '2\n')
('4:03\n', '2\n')
('4:02\n', '2\n')
('4:01\n', '2\n')
('4:00\n', '2\n')
('3:59\n', '2\n')
('3:56\n', '2\n')
('3:55\n', '2\n')
('3:54\n', '2\n')
('9:14\n', '3\n')
('9:13\n', '3\n')
('9:12\n', '3\n')
('9:11\n', '3\n')
('9:10\n', '3\n')
('9:05\n', '3\n')
('9:04\n', '3\n')
('9:01\n', '3\n')
('8:58\n', '3\n')
('8:57\n', '3\n')
('8:56\n', '3\n')
('8:56\n', '3\n')
('6:50\n', '3\n')
('6:49\n', '3\n')
('6:48\n', '3\n')
('6:47\n', '3\n')
('6:46\n', '3\n')
('6:45\n', '3\n')
('6:44\n', '3\n')
('6:25\n', '3\n')
('6:24\n', '3\n')
('6:23\n', '3\n')
('6:22\n', '3\n')
('6:21\n', '3\n')
('6:20\n', '3\n')
('5:25\n', '3\n')
('5:24\n', '3\n')
('5:23\n', '3\n')
('5:22\n', '3\n')
('5:21\n', '3\n')
('5:20\n', '3\n')
('5:19\n', '3\n')
(':30.1\n', '3\n')
(':29.1\n', '3\n')
(':28.1\n', '3\n')
('27.2\n', '3\n')
(':26.2\n', '3\n')
('25.2\n', '3\n')
(':24.2\n', '3\n')
(':24.0\n', '3\n')
