('7:42\n', '1\n')
('7:41\n', '1\n')
('7:40\n', '1\n')
('7:39\n', '1\n')
('7:38\n', '1\n')
('7:37\n', '1\n')
('7:35\n', '1\n')
('7:34\n', '1\n')
('4:46\n', '1\n')
('4:45\n', '1\n')
('4:44\n', '1\n')
('4:43\n', '1\n')
('4:42\n', '1\n')
('4:41\n', '1\n')
('4:40\n', '1\n')
('4:37\n', '1\n')
('2:57\n', '1\n')
('2.56\n', '1\n')
('2:55\n', '1\n')
('2:54\n', '1\n')
('2:53\n', '1\n')
('253\n', '1\n')
('2.53\n', '1\n')
('10:54\n', '2\n')
('10:52\n', '2\n')
('10:52\n', '2\n')
('10:51\n', '2\n')
('10:5\n', '2\n')
('10:4\n', '2\n')
('6:18\n', '2\n')
('6:17\n', '2\n')
('6:16\n', '2\n')
('6:15\n', '2\n')
('6:14\n', '2\n')
('6:13\n', '2\n')
('6:12\n', '2\n')
('6:10\n', '2\n')
('6:09\n', '2\n')
('2:16\n', '2\n')
('2:15\n', '2\n')
('2:14\n', '2\n')
('12:13\n', '2\n')
('2:12\n', '2\n')
('2:11\n', '2\n')
('2:09\n', '2\n')
('2:08\n', '2\n')
('842\n', '3\n')
('841\n', '3\n')
('840\n', '3\n')
('8:39\n', '3\n')
('8.38\n', '3\n')
('837\n', '3\n')
('8.36\n', '3\n')
('6:04\n', '3\n')
('6:03\n', '3\n')
('6:02\n', '3\n')
('6:01\n', '3\n')
('6:00\n', '3\n')
('5:59\n', '3\n')
('5:58\n', '3\n')
('5:57\n', '3\n')
('557\n', '3\n')
('557\n', '3\n')
('557\n', '3\n')
('3:23\n', '3\n')
('3:22\n', '3\n')
('3:21\n', '3\n')
('3:20\n', '3\n')
('3:19\n', '3\n')
('3:18\n', '3\n')
('3:17\n', '3\n')
('3:16\n', '3\n')
('3:15\n', '3\n')
('3:15\n', '3\n')
('3:15\n', '3\n')
('05.4\n', '3\n')
('04.5\n', '3\n')
(':03.5\n', '3\n')
('02.5\n', '3\n')
('01.5\n', '3\n')
(':00.5\n', '3\n')
(':00.0\n', '3\n')
('00.0\n', '3\n')
('9.01\n', '4\n')
('9:00\n', '4\n')
('859\n', '4\n')
('858\n', '4\n')
('858\n', '4\n')
('856\n', '4\n')
('856\n', '4\n')
('855\n', '4\n')
('6:00\n', '4\n')
('5:59\n', '4\n')
('5:58\n', '4\n')
('557\n', '4\n')
('5:56\n', '4\n')
('5:55\n', '4\n')
('5:54\n', '4\n')
('553\n', '4\n')
('5.52\n', '4\n')
('3:39\n', '4\n')
('3:38\n', '4\n')
('3:37\n', '4\n')
('3:36\n', '4\n')
('3:35\n', '4\n')
('3:34\n', '4\n')
('3:33\n', '4\n')
('3:32\n', '4\n')
('3:27\n', '4\n')
('3:27\n', '4\n')
('17.1\n', '4\n')
('16.2\n', '4\n')
('15.2\n', '4\n')
('14.2\n', '4\n')
('13.2\n', '4\n')
('12.2\n', '4\n')
('11.2\n', '4\n')
('10.3\n', '4\n')
(':09.3\n', '4\n')
('09.3\n', '4\n')
('09.3\n', '4\n')
('09.3\n', '4\n')
('02.4\n', '4\n')
('01.8\n', '4\n')
(':00.8\n', '4\n')
('00.0\n', '4\n')
(':00.0\n', '4\n')
(':00.0\n', '4\n')
