('4:21\n', '1\n')
('4:20\n', '1\n')
('4:19\n', '1\n')
('4:18\n', '1\n')
('4:17\n', '1\n')
('4:16\n', '1\n')
('4:15\n', '1\n')
('7:35\n', '2\n')
('7:34\n', '2\n')
('7:33\n', '2\n')
('7:32\n', '2\n')
('7:31\n', '2\n')
('7:31\n', '2\n')
('6:39\n', '2\n')
('6:38\n', '2\n')
('6:37\n', '2\n')
('6:36\n', '2\n')
('6:35\n', '2\n')
('6:34\n', '2\n')
('6:33\n', '2\n')
('6:32\n', '2\n')
('6:31\n', '2\n')
('6:30\n', '2\n')
('5:01\n', '2\n')
('5:00\n', '2\n')
('4:59\n', '2\n')
('4:58\n', '2\n')
('4:57\n', '2\n')
('4:56\n', '2\n')
('4:42\n', '2\n')
('4:41\n', '2\n')
('4:40\n', '2\n')
('4:40\n', '2\n')
('4:40\n', '2\n')
('4:40\n', '2\n')
('4:40\n', '2\n')
('4:40\n', '2\n')
('3:59\n', '2\n')
('3:58\n', '2\n')
('3:57\n', '2\n')
('3:56\n', '2\n')
('3:55\n', '2\n')
('3:53\n', '2\n')
('3:53\n', '2\n')
('3:53\n', '2\n')
('3:53\n', '2\n')
('3:53\n', '2\n')
('3:53\n', '2\n')
('3:02\n', '2\n')
('3:01\n', '2\n')
('3:00\n', '2\n')
('2:59\n', '2\n')
('2:58\n', '2\n')
('2:57\n', '2\n')
('2:56\n', '2\n')
('2:55\n', '2\n')
('2:54\n', '2\n')
('2:53\n', '2\n')
('9:39\n', '3\n')
('9:38\n', '3\n')
('9:37\n', '3\n')
('9:36\n', '3\n')
('9:35\n', '3\n')
('9:34\n', '3\n')
('9:31\n', '3\n')
('9:30\n', '3\n')
('9:07\n', '3\n')
('9:05\n', '3\n')
('9:04\n', '3\n')
('9:03\n', '3\n')
('7:08\n', '3\n')
('7:07\n', '3\n')
('7:06\n', '3\n')
('7:05\n', '3\n')
('7:04\n', '3\n')
('7:03\n', '3\n')
('7:02\n', '3\n')
('7:01\n', '3\n')
