('9:09\n', '1\n')
('9:08\n', '1\n')
('9:07\n', '1\n')
('9:06\n', '1\n')
('9:05\n', '1\n')
('.\n', '4\n')
('7:28\n', '1\n')
('7:27\n', '1\n')
('7:26\n', '1\n')
('7:25\n', '1\n')
('7:24\n', '1\n')
('7:23\n', '1\n')
('7:19\n', '1\n')
('7:18\n', '1\n')
('103.3\n', '1\n')
('103.1\n', '1\n')
('102.1\n', '1\n')
('01.1\n', '1\n')
(':00.1\n', '1\n')
('9:25\n', '2\n')
('9:24\n', '2\n')
('9:23\n', '2\n')
('9:22\n', '2\n')
('9:21\n', '2\n')
('9:20\n', '2\n')
('9:17\n', '2\n')
('9:16\n', '2\n')
('7:58\n', '2\n')
('7:57\n', '2\n')
('7:56\n', '2\n')
('7:55\n', '2\n')
('7:54\n', '2\n')
('7:53\n', '2\n')
('1:22\n', '2\n')
('1:21\n', '2\n')
('1:20\n', '2\n')
('1:19\n', '2\n')
('1:18\n', '2\n')
('1:17\n', '2\n')
('1:11\n', '2\n')
('1:10\n', '2\n')
('31.5\n', '2\n')
(':30.6\n', '2\n')
('129.6\n', '2\n')
('128.6\n', '2\n')
('128.2\n', '2\n')
('28.2\n', '12\n')
('128.2\n', '2\n')
('128.2\n', '2\n')
('9:59\n', '3\n')
('9:58\n', '3\n')
('9:57\n', '3\n')
('9:56\n', '3\n')
('9:55\n', '3\n')
('9:55\n', '3\n')
('9:54\n', '3\n')
('8:04\n', '3\n')
('8:03\n', '3\n')
('8:02\n', '3\n')
('8:02\n', '3\n')
('8:01\n', '3\n')
('8:00\n', '3\n')
('7:59\n', '3\n')
('7:58\n', '3\n')
('5:41\n', '3\n')
('5:40\n', '3\n')
('5:39\n', '3\n')
('5:38\n', '3\n')
('5:37\n', '3\n')
('5:36\n', '3\n')
('5:33\n', '3\n')
('5:32\n', '3\n')
('4:12\n', '3\n')
('4:11\n', '3\n')
('4:10\n', '3\n')
('4:10\n', '3\n')
('4:10\n', '3\n')
('4:10\n', '3\n')
('1:264\n', '3\n')
('1:25\n', '3\n')
('1:24\n', '3\n')
('1:23\n', '3\n')
('1:22\n', '3\n')
('1:21\n', '3\n')
('1:20\n', '3\n')
('143.9\n', '3\n')
('142.9\n', '3\n')
('41.9\n', '3\n')
('140.9\n', '3\n')
(':39.9\n', '3\n')
(':39.3\n', '3\n')
('2:11\n', '4\n')
('2:10\n', '4\n')
('2:09\n', '4\n')
('2:08\n', '4\n')
('2:08\n', '4\n')
('2:08\n', '4\n')
