('10:05\n', '1\n')
('10:04\n', '1\n')
('10:03\n', '1\n')
('10:03\n', '1\n')
('10:03\n', '1\n')
('10:03\n', '1\n')
('7:40\n', '1\n')
('7:39\n', '1\n')
('7:38\n', '1\n')
('1:37\n', '1\n')
('7:36\n', '1\n')
('71:35\n', '1\n')
('5:17\n', '1\n')
('5:16\n', '1\n')
('5:15\n', '1\n')
('5:14\n', '1\n')
('5:13\n', '1\n')
('5:12\n', '1\n')
('2:44\n', '1\n')
('2:43\n', '1\n')
('2:42\n', '1\n')
('2:41\n', '1\n')
('2:40\n', '1\n')
('2:40\n', '1\n')
('2:39\n', '1\n')
('11:49\n', '2\n')
('11:48\n', '2\n')
('11:47\n', '2\n')
('11:46\n', '2\n')
('4:13\n', '2\n')
('4:12\n', '2\n')
('4:11\n', '2\n')
('4:10\n', '2\n')
('4:09\n', '2\n')
('4:08\n', '2\n')
('4:07\n', '2\n')
('8\n', '4\n\n4\n')
('3:35\n', '2\n')
('3:34\n', '2\n')
('3:33\n', '2\n')
('3:32\n', '2\n')
('3:31\n', '2\n')
('3:30\n', '2\n')
('3:29\n', '2\n')
('3:28\n', '2\n')
('3:28\n', '2\n')
('8:42\n', '3\n')
('8:41\n', '3\n')
('8:40\n', '3\n')
('8:39\n', '3\n')
('8:38\n', '3\n')
('8:37\n', '3\n')
('8:36\n', '3\n')
('4:19\n', '3\n')
('4:18\n', '3\n')
('4:17\n', '3\n')
('4:16\n', '3\n')
('4:15\n', '3\n')
('4:15\n', '3\n')
('4:15\n', '3\n')
('4:15\n', '3\n')
('0:07\n', '3\n')
('0:06\n', '3\n')
('0:05\n', '3\n')
('0:04\n', '3\n')
('0:03\n', '3\n')
('0:03\n', '3\n')
('0:03\n', '3\n')
('3:53\n', '4\n')
('3:52\n', '4\n')
('3:51\n', '4\n')
('3:50\n', '4\n')
('3:49\n', '4\n')
('3:48\n', '4\n')
('2:36\n', '4\n')
('2:35\n', '4\n')
('2:34\n', '4\n')
('2:34\n', '4\n')
('2:33\n', '4\n')
('2:32\n', '4\n')
('2:31\n', '4\n')
('140.8\n', '4\n')
(':39.8\n', '4\n')
(':38.8\n', '4\n')
(':37.8\n', '4\n')
(':36.8\n', '4\n')
(':36.1\n', '4\n')
(':36.1\n', '4\n')
