('11:28\n', '1\n')
('11:27\n', '1\n')
('11:26\n', '1\n')
('11:25\n', '1\n')
('11:24\n', '1\n')
('11:23\n', '1\n')
('11:22\n', '1\n')
('11:21\n', '1\n')
('4:21\n', '1\n')
('4:20\n', '1\n')
('4:19\n', '1\n')
('4:18\n', '1\n')
('4:17\n', '1\n')
('4:16\n', '1\n')
('4:15\n', '1\n')
('4:14\n', '1\n')
('4:14\n', '1\n')
('4:14\n', '1\n')
('11:25\n', '2\n')
('11:24\n', '2\n')
('11:24\n', '2\n')
('11:23\n', '2\n')
('11:22\n', '2\n')
('11:22\n', '2\n')
('5:31\n', '2\n')
('5:30\n', '2\n')
('5:29\n', '2\n')
('5:28\n', '2\n')
('5:27\n', '2\n')
('5:26\n', '2\n')
('5:25\n', '2\n')
('5:24\n', '2\n')
('4:14\n', '2\n')
('4:13\n', '2\n')
('4:12\n', '2\n')
('4:11\n', '2\n')
('4:10\n', '2\n')
('4:09\n', '2\n')
('4:08\n', '2\n')
('4:07\n', '2\n')
('4:07\n', '2\n')
('4:06\n', '2\n')
('2:30\n', '2\n')
('2:29\n', '2\n')
('2:28\n', '2\n')
('2:27\n', '2\n')
('2:26\n', '2\n')
('2:25\n', '2\n')
('2:24\n', '2\n')
('2:23\n', '2\n')
('2:22\n', '2\n')
('2:21\n', '2\n')
('9:05\n', '3\n')
('9:04\n', '3\n')
('9:03\n', '3\n')
('9:02\n', '3\n')
('9:01\n', '3\n')
('8:59\n', '3\n')
('3:16\n', '3\n')
('3:15\n', '3\n')
('3:14\n', '3\n')
('3:13\n', '3\n')
('3:12\n', '3\n')
('3:11\n', '3\n')
('3:10\n', '3\n')
('3:09\n', '3\n')
('3:09\n', '3\n')
('3:09\n', '3\n')
('3:09\n', '3\n')
('8:20\n', '4\n')
('8:19\n', '4\n')
('8:18\n', '4\n')
('8:17\n', '4\n')
('8:16\n', '4\n')
('8:16\n', '4\n')
('8:16\n', '4\n')
('6:01\n', '4\n')
('5:57\n', '4\n')
('5:56\n', '4\n')
('5:55\n', '4\n')
