('6:28\n', '1\n')
('6:27\n', '1\n')
('6:27\n', '1\n')
('6:26\n', '1\n')
('6:25\n', '1\n')
('6:24\n', '11\n')
('334\n', '11\n')
('324\n', '1\n')
('314\n', '1\n')
('304\n', '11\n')
('296\n', '1\n')
('8:25\n', '2\n')
('8:24\n', '2\n')
('8:23\n', '2\n')
('8:22\n', '2\n')
('8:21\n', '2\n')
('7:19\n', '2\n')
('7:18\n', '2\n')
('7:17\n', '2\n')
('7:16\n', '2\n')
('7:15\n', '2\n')
('714\n', '2\n')
('713\n', '2\n')
('7:12\n', '2\n')
('7:11\n', '2\n')
('7:10\n', '2\n')
('5:14\n', '2\n')
('513\n', '2\n')
('512\n', '2\n')
('511\n', '2\n')
('510\n', '2\n')
('5:09\n', '2\n')
('1:32\n', '2\n')
('1:31\n', '2\n')
('1:30\n', '2\n')
('1:29\n', '2\n')
('1:28\n', '2\n')
('1:27\n', '2\n')
('1:26\n', '2\n')
('10:26\n', '3\n')
('10:25\n', '3\n')
('10:24\n', '3\n')
('10:23\n', '3\n')
('10:22\n', '3\n')
('10:21\n', '3\n')
('9:10\n', '3\n')
('9:09\n', '3\n')
('9:08\n', '3\n')
('9:07\n', '3\n')
('9:06\n', '3\n')
('9:04\n', '3\n')
('5:31\n', '3\n')
('5:30\n', '3\n')
('5:29\n', '3\n')
('5:28\n', '3\n')
('5:27\n', '3\n')
('4:40\n', '3\n')
('4:39\n', '3\n')
('4:38\n', '3\n')
('4:37\n', '3\n')
('4:36\n', '3\n')
('4:35\n', '3\n')
('4:34\n', '3\n')
('4:33\n', '3\n')
('4:32\n', '3\n')
('8:31\n', '4\n')
('8:30\n', '4\n')
('8:29\n', '4\n')
('8:28\n', '4\n')
('8:27\n', '4\n')
('5:20\n', '4\n')
('5:19\n', '4\n')
('5:18\n', '4\n')
('517\n', '4\n')
('5:16\n', '4\n')
('5:15\n', '4\n')
('512\n', '4\n')
('511\n', '4\n')
('4:54\n', '4\n')
('4:53\n', '4\n')
('4:52\n', '4\n')
('4:51\n', '4\n')
('4:51\n', '4\n')
('4:50\n', '4\n')
('4:49\n', '4\n')
