('7:01\n', '1\n')
('7:00\n', '1\n')
('6:59\n', '1\n')
('6:58\n', '1\n')
('6:58\n', '1\n')
('3:44\n', '1\n')
('3:43\n', '1\n')
('3:42\n', '1\n')
('3:41\n', '1\n')
('3:40\n', '1\n')
('3:39\n', '1\n')
('34.4\n', '1\n')
(':33.4\n', '1\n')
('32.4\n', '1\n')
(':31.4\n', '1\n')
(':30.4\n', '1\n')
('29.5\n', '1\n')
('28.5\n', '1\n')
('27.8\n', '1\n')
('27.8\n', '1\n')
('27.6\n', '1\n')
('9:18\n', '2\n')
('9:17\n', '2\n')
('9:16\n', '2\n')
('9:15\n', '2\n')
('9:14\n', '2\n')
('6:31\n', '2\n')
('6:30\n', '2\n')
('6:29\n', '2\n')
('6:28\n', '2\n')
('6:27\n', '2\n')
('5:23\n', '2\n')
('5:22\n', '2\n')
('5:21\n', '2\n')
('5:20\n', '2\n')
('5:19\n', '2\n')
('5:18\n', '2\n')
('5:17\n', '2\n')
('5:16\n', '2\n')
('5:15\n', '2\n')
('5:15\n', '2\n')
('5:15\n', '2\n')
('4:19\n', '2\n')
('4:18\n', '2\n')
('4:17\n', '2\n')
('4:16\n', '2\n')
('4:15\n', '2\n')
('4:14\n', '2\n')
('4:14\n', '2\n')
('1:56\n', '2\n')
('1:55\n', '2\n')
('1:54\n', '2\n')
('1:53\n', '2\n')
('1:52\n', '2\n')
('1:51\n', '2\n')
('1:50\n', '2\n')
('1:49\n', '2\n')
('1:48\n', '2\n')
('9:55\n', '3\n')
('9:54\n', '3\n')
('9:53\n', '3\n')
('9:52\n', '3\n')
('9:52\n', '3\n')
('9:52\n', '3\n')
('6:26\n', '3\n')
('6:25\n', '3\n')
('6:24\n', '3\n')
('6:23\n', '3\n')
('6:22\n', '3\n')
('6:21\n', '3\n')
('6:20\n', '3\n')
('5:58\n', '3\n')
('5:57\n', '3\n')
('5:56\n', '3\n')
('5:55\n', '3\n')
('5:54\n', '3\n')
('5:53\n', '3\n')
('0:04\n', '3\n')
('0:04\n', '3\n')
('0:04\n', '3\n')
('0:03\n', '3\n')
('0:02\n', '3\n')
('0:01\n', '3\n')
('0:00\n', '3\n')
('7:29\n', '4\n')
('7:28\n', '4\n')
('7:27\n', '4\n')
('7:26\n', '4\n')
('7:25\n', '4\n')
('7:24\n', '4\n')
('7:23\n', '4\n')
('7:22\n', '4\n')
