('9:31\n', '1\n')
('9:30\n', '1\n')
('9:29\n', '1\n')
('9:28\n', '1\n')
('9:27\n', '1\n')
('9:27\n', '1\n')
('9:27\n', '1\n')
('.\n', '4\n')
('5:00\n', '1\n')
('4:59\n', '1\n')
('4:58\n', '1\n')
('4:57\n', '1\n')
('4:57\n', '1\n')
('4:56\n', '1\n')
('4:55\n', '1\n')
('4:54\n', '1\n')
('4:53\n', '1\n')
('1:21\n', '1\n')
('1:20\n', '1\n')
('1:19\n', '1\n')
('1:18\n', '1\n')
('1:17\n', '1\n')
('1:16\n', '1\n')
('1:15\n', '1\n')
('1:13\n', '1\n')
('1:12\n', '1\n')
('9:27\n', '2\n')
('9:26\n', '2\n')
('9:25\n', '2\n')
('9:24\n', '2\n')
('9:23\n', '2\n')
('9:22\n', '2\n')
('3:37\n', '2\n')
('3:36\n', '2\n')
('3:35\n', '2\n')
('3:34\n', '2\n')
('3:33\n', '2\n')
('3:32\n', '2\n')
('3:31\n', '2\n')
('3:03\n', '2\n')
('3:02\n', '2\n')
('3:01\n', '2\n')
('3:00\n', '2\n')
('2:59\n', '2\n')
('2:58\n', '2\n')
('2:58\n', '2\n')
('2:58\n', '2\n')
('6:46\n', '3\n')
('6:45\n', '3\n')
('6:44\n', '3\n')
('6:43\n', '3\n')
('6:42\n', '3\n')
('6:41\n', '3\n')
('6:40\n', '3\n')
('9:10\n', '4\n')
('9:07\n', '4\n')
('9:04\n', '4\n')
('7:03\n', '4\n')
('7:02\n', '4\n')
('7:01\n', '4\n')
('7:00\n', '4\n')
('6:59\n', '4\n')
('6:58\n', '4\n')
('4:56\n', '4\n')
('4:55\n', '4\n')
('4:54\n', '4\n')
('4:53\n', '4\n')
('4:52\n', '4\n')
('4:51\n', '4\n')
('4:50\n', '4\n')
('3:41\n', '4\n')
('3:40\n', '4\n')
('3:39\n', '4\n')
('3:38\n', '4\n')
('3:37\n', '4\n')
('3:36\n', '4\n')
('2:38\n', '4\n')
('2:37\n', '4\n')
('2:36\n', '4\n')
('2:35\n', '4\n')
('2:34\n', '4\n')
('2:33\n', '4\n')
('2:23\n', '4\n')
('2:22\n', '4\n')
('2:21\n', '4\n')
('2:20\n', '4\n')
('2:19\n', '4\n')
('2:18\n', '4\n')
('2:17\n', '4\n')
('2:14\n', '4\n')
('2:13\n', '4\n')
('1:42\n', '4\n')
('1:41\n', '4\n')
('1:40\n', '4\n')
('1:39\n', '4\n')
('1:38\n', '4\n')
('1:37\n', '4\n')
('1:37\n', '4\n')
(':45.9\n', '4\n')
(':44.9\n', '4\n')
(':43.9\n', '4\n')
(':42.9\n', '4\n')
(':42.0\n', '4\n')
(':41.0\n', '4\n')
('41.0\n', '4\n')
('41.0\n', '4\n')
('41.0\n', '4\n')
('41.0\n', '4\n')
