('8:34\n', '1\n')
('8:33\n', '11\n')
('8:32\n', '1\n')
('8:31\n', '11\n')
('8:30\n', '11\n')
('8:29\n', '1\n')
('8:28\n', '11\n')
('5:08\n', '11\n')
('5:07\n', '1\n')
('5:06\n', '1\n')
('5:05\n', '11\n')
('5:04\n', '11\n')
('5:03\n', '11\n')
('5:02\n', '1\n')
('5:00\n', '1\n')
('4:59\n', '11\n')
('3:40\n', '11\n')
('3:39\n', '11\n')
('3:38\n', '11\n')
('3:37\n', '11\n')
('3:36\n', '1\n')
('3:35\n', '11\n')
('3:31\n', '11\n')
('3:30\n', '1\n')
('8:07\n', '2\n')
('8:05\n', '2\n')
('8:04\n', '2\n')
('8:03\n', '2\n')
('8:03\n', '2\n')
('8:03\n', '2\n')
('8:03\n', '2\n')
('4:06\n', '2\n')
('4:05\n', '2\n')
('4:04\n', '2\n')
('4:03\n', '2\n')
('4:02\n', '2\n')
('4:01\n', '2\n')
('4:00\n', '2\n')
('2:34\n', '2\n')
('2:33\n', '2\n')
('2:32\n', '2\n')
('2:31\n', '2\n')
('2:30\n', '2\n')
('2:29\n', '2\n')
('2:28\n', '2\n')
('2:25\n', '2\n')
('2:24\n', '2\n')
('11:16\n', '3\n')
('11:15\n', '3\n')
('11:14\n', '3\n')
('11:13\n', '3\n')
('11:12\n', '3\n')
('11:11\n', '3\n')
('11:10\n', '3\n')
('11:06\n', '3\n')
('11:05\n', '3\n')
('7:40\n', '3\n')
('7:39\n', '3\n')
('7:38\n', '3\n')
('7:37\n', '3\n')
('7:36\n', '3\n')
('7:35\n', '3\n')
('7:34\n', '3\n')
('7:33\n', '3\n')
('5:39\n', '3\n')
('5:38\n', '3\n')
('5:37\n', '3\n')
('5:36\n', '3\n')
('5:35\n', '3\n')
('5:34\n', '3\n')
('5:33\n', '3\n')
('5:32\n', '3\n')
('2:42\n', '3\n')
('2:41\n', '3\n')
('2:40\n', '3\n')
('2:39\n', '3\n')
('2:38\n', '3\n')
('2:37\n', '3\n')
('2:36\n', '3\n')
('2:32\n', '3\n')
('2:31\n', '3\n')
('3:40\n', '4\n')
('3:39\n', '4\n')
('3:38\n', '4\n')
('3:37\n', '4\n')
('3:36\n', '4\n')
('3:35\n', '4\n')
('3:34\n', '4\n')
('3:33\n', '4\n')
('3:32\n', '4\n')
('3:31\n', '4\n')
('3:29\n', '4\n')
('3:29\n', '4\n')
('3:28\n', '4\n')
('3:28\n', '4\n')
