('8:30\n', '1\n')
('8:29\n', '1\n')
('8:28\n', '1\n')
('8:27\n', '1\n')
('8:26\n', '1\n')
('8:25\n', '1\n')
('8:24\n', '1\n')
('8:23\n', '1\n')
('6:26\n', '1\n')
('6:26\n', '1\n')
('6:26\n', '1\n')
('6:25\n', '1\n')
('6:24\n', '1\n')
('6:23\n', '1\n')
('6:22\n', '1\n')
('6:21\n', '1\n')
('2:32\n', '1\n')
('2:31\n', '1\n')
('2:30\n', '1\n')
('7:02\n', '2\n')
('7:01\n', '2\n')
('7:00\n', '2\n')
('6:59\n', '2\n')
('6:58\n', '2\n')
('6:57\n', '2\n')
('6:54\n', '2\n')
('4:52\n', '2\n')
('4:51\n', '2\n')
('4:50\n', '2\n')
('4:49\n', '2\n')
('4:48\n', '2\n')
('4:47\n', '2\n')
('4:46\n', '2\n')
('4:45\n', '2\n')
('4:44\n', '2\n')
('4:43\n', '2\n')
('2:02\n', '2\n')
('2:01\n', '2\n')
('2:00\n', '2\n')
('1:59\n', '2\n')
('1:58\n', '2\n')
('1:57\n', '2\n')
('1:27\n', '2\n')
('1:26\n', '2\n')
('1:25\n', '2\n')
('1:24\n', '2\n')
('1:23\n', '2\n')
('1:22\n', '2\n')
('1:21\n', '2\n')
('1:20\n', '2\n')
('7:53\n', '3\n')
('7:52\n', '3\n')
('7:51\n', '3\n')
('7:50\n', '3\n')
('7:49\n', '3\n')
('7:48\n', '3\n')
('7:41\n', '3\n')
('6:50\n', '3\n')
('6:49\n', '3\n')
('6:48\n', '3\n')
('6:47\n', '3\n')
('6:46\n', '3\n')
('2:45\n', '3\n')
('2:45\n', '3\n')
('2:44\n', '3\n')
('2:43\n', '3\n')
('2:42\n', '3\n')
('2:41\n', '3\n')
('2:40\n', '3\n')
('2:39\n', '3\n')
('2:38\n', '3\n')
('2:32\n', '3\n')
('2:31\n', '3\n')
('9:15\n', '4\n')
('9:14\n', '4\n')
('9:13\n', '4\n')
('9:12\n', '4\n')
('9:12\n', '4\n')
('2:31\n', '4\n')
('2:30\n', '4\n')
('2:29\n', '4\n')
('2:28\n', '4\n')
('2:27\n', '4\n')
('2:26\n', '4\n')
('1:54\n', '4\n')
('1:53\n', '4\n')
('1:52\n', '4\n')
('1:51\n', '4\n')
('1:51\n', '4\n')
('1:51\n', '4\n')
('1:51\n', '4\n')
('1:51\n', '4\n')
