('9:01\n', '1\n')
('8:59\n', '1\n')
('8:58\n', '1\n')
('8:57\n', '11\n')
('8:56\n', '1\n')
('8:54\n', '1\n')
('8:53\n', '1\n')
('8:52\n', '1\n')
('4:38\n', '1\n')
('4:37\n', '1\n')
('4:36\n', '1\n')
('4:35\n', '1\n')
('4:34\n', '1\n')
('4:33\n', '1\n')
('4:32\n', '1\n')
('4:31\n', '1\n')
('4:30\n', '1\n')
('4:29\n', '1\n')
('4:28\n', '1\n')
('4:28\n', '1\n')
('1:16\n', '1\n')
('1:15\n', '11\n')
('1:14\n', '1\n')
('1:13\n', '1\n')
('1:12\n', '1\n')
('1:11\n', '1\n')
('1:10\n', '1\n')
('1:09\n', '1\n')
('1:08\n', '1\n')
('9:16\n', '2\n')
('9:15\n', '2\n')
('9:14\n', '2\n')
('9:13\n', '2\n')
('9:12\n', '2\n')
('9:11\n', '2\n')
('9:10\n', '2\n')
('4:11\n', '2\n')
('4:10\n', '2\n')
('4:09\n', '2\n')
('4:08\n', '2\n')
('4:07\n', '2\n')
('4:06\n', '2\n')
('2:34\n', '2\n')
('2:33\n', '2\n')
('2:32\n', '2\n')
('2:31\n', '2\n')
('2:30\n', '2\n')
('10:16\n', '3\n')
('10:15\n', '3\n')
('10:14\n', '3\n')
('10:13\n', '3\n')
('10:12\n', '3\n')
('10:08\n', '3\n')
('10:07\n', '3\n')
('1:27\n', '3\n')
('7:26\n', '3\n')
('1:25\n', '3\n')
('1:24\n', '3\n')
('7:23\n', '3\n')
('1:22\n', '3\n')
('7:19\n', '3\n')
(':58.9\n', '3\n')
('57.9\n', '3\n')
(':56.9\n', '3\n')
(':55.9\n', '3\n')
(':55.0\n', '3\n')
(':54.0\n', '3\n')
(':53.0\n', '3\n')
('52.0\n', '3\n')
('51.0\n', '3\n')
(':50.0\n', '3\n')
('49.1\n', '3\n')
('48.6\n', '3\n')
(':48.6\n', '3\n')
('48.6\n', '3\n')
('10:01\n', '4\n')
('10:00\n', '4\n')
('9:59\n', '4\n')
('9:58\n', '4\n')
('9:57\n', '4\n')
('9:54\n', '4\n')
('9:53\n', '4\n')
('5:42\n', '4\n')
('5:41\n', '4\n')
('5:40\n', '4\n')
('5:39\n', '4\n')
('5:38\n', '4\n')
('5:37\n', '4\n')
('5:34\n', '4\n')
('5:33\n', '4\n')
('3:20\n', '4\n')
('3:19\n', '4\n')
('3:18\n', '4\n')
('3:17\n', '4\n')
('3:16\n', '4\n')
('3:15\n', '4\n')
('3:14\n', '4\n')
('3:14\n', '4\n')
('3:14\n', '4\n')
(':23\n', '4\n')
(':22\n', '41\n')
(':21\n', '41\n')
(':20\n', '4\n')
(':19\n', '4\n')
(':18\n', '4\n')
(':18\n', '41\n')
(':18\n', '41\n')
(':18\n', '41\n')
(':18\n', '41\n')
(':18\n', '41\n')
(':04\n', '41\n')
(':02\n', '41\n')
(':01\n', '4\n')
(':01\n', '4\n')
(':01\n', '1\n')
(':01\n', '4\n')
(':01\n', '41\n')
(':01\n', '41\n')
(':01\n', '4\n')
(':00\n', '41\n')
(':00\n', '41\n')
