('8:40\n', 'FIRST QUARTER\n')
('8:39\n', 'FIRST QUARTER\n')
('8:38\n', 'FIRST QUARTER\n')
('8:37\n', 'FIRST QUARTER\n')
('8:36\n', 'FIRST QUARTER\n')
('8:35\n', 'FIRST QUARTER\n')
('7:57\n', 'FIRST QUARTER\n')
('7:56\n', 'FIRST QUARTER\n')
('7:55\n', 'FIRST QUARTER\n')
('7:54\n', 'FIRST QUARTER\n')
('7:53\n', 'FIRST QUARTER\n')
('7:52\n', 'FIRST QUARTER\n')
('7:03\n', 'FIRST QUARTER\n')
('7:02\n', 'FIRST QUARTER\n')
('7:01\n', 'FIRST QUARTER\n')
('7:00\n', 'FIRST QUARTER\n')
('6:59\n', 'FIRST QUARTER\n')
('5:10\n', 'FIRST QUARTER\n')
('5:09\n', 'FIRST QUARTER\n')
('5:08\n', 'FIRST QUARTER\n')
('5:07\n', 'FIRST QUARTER\n')
('5:06\n', 'FIRST QUARTER\n')
('5:05\n', 'FIRST QUARTER\n')
('5:04\n', 'FIRST QUARTER\n')
('7\n', 'A\n')
('..\n', 'N CF\n')
('5:02\n', 'FIRST QUARTER\n')
('5:01\n', 'FIRST QUARTER\n')
('1:35\n', 'FIRST QUARTER\n')
('1:34\n', 'FIRST QUARTER\n')
('1:33\n', 'FIRST QUARTER\n')
('1:32\n', 'FIRST QUARTER\n')
('1:32\n', 'FIRST QUARTER\n')
('1:32\n', 'FIRST QUARTER\n')
('1:32\n', 'FIRST QUARTER\n')
('1:32\n', 'FIRST QUARTER\n')
('10:59\n', 'SECOND QUARTER\n')
('10:58\n', 'SECOND QUARTER\n')
('10:57\n', 'SECOND QUARTER\n')
('10:56\n', 'SECOND QUARTER\n')
('10:56\n', 'SECOND QUARTER\n')
('9:05\n', 'SECOND QUARTER\n')
('9:04\n', 'SECOND QUARTER\n')
('9:03\n', 'SECOND QUARTER\n')
('9:02\n', 'SECOND QUARTER\n')
('9:01\n', 'SECOND QUARTER\n')
('9:00\n', 'SECOND QUARTER\n')
('5:45\n', 'SECOND QUARTER\n')
('5:44\n', 'SECOND QUARTER\n')
('5:43\n', 'SECOND QUARTER\n')
('5:42\n', 'SECOND QUARTER\n')
('5:41\n', 'SECOND QUARTER\n')
('2:00\n', 'SECOND QUARTER\n')
('1:59\n', 'SECOND QUARTER\n')
('1:58\n', 'SECOND QUARTER\n')
('1:57\n', 'SECOND QUARTER\n')
('1:56\n', 'SECOND QUARTER\n')
('1:55\n', 'SECOND QUARTER\n')
('40.8\n', 'SECOND QUARTER\n')
('39.8\n', 'SECOND QUARTER\n')
('38.8\n', 'SECOND QUARTER\n')
('37.9\n', 'SECOND QUARTER\n')
('37.1\n', 'SECOND QUARTER\n')
('11:47\n', 'THIRD QUARTER\n')
('11:46\n', 'THIRD QUARTER\n')
('11:45\n', 'THIRD QUARTER\n')
('11:44\n', 'THIRD QUARTER\n')
('11:43\n', 'THIRD QUARTER\n')
('9:02\n', 'THIRD QUARTER\n')
('9:01\n', 'THIRD QUARTER\n')
('9:00\n', 'THIRD QUARTER\n')
('8:59\n', 'THIRD QUARTER\n')
('8:58\n', 'THIRD QUARTER\n')
('8:57\n', 'THIRD QUARTER\n')
('7:54\n', 'THIRD QUARTER\n')
('7:53\n', 'THIRD QUARTER\n')
('7:52\n', 'THIRD QUARTER\n')
('7:51\n', 'THIRD QUARTER\n')
('7:50\n', 'THIRD QUARTER\n')
('7:49\n', 'THIRD QUARTER\n')
('1:08\n', 'THIRD QUARTER\n')
('1:07\n', 'THIRD QUARTER\n')
('1:06\n', 'THIRD QUARTER\n')
('1:05\n', 'THIRD QUARTER\n')
('1:04\n', 'THIRD QUARTER\n')
('1:03\n', 'THIRD QUARTER\n')
('1:02\n', 'THIRD QUARTER\n')
('1:01\n', 'THIRD QUARTER\n')
('1:00\n', 'THIRD QUARTER\n')
('11:35\n', 'FOURTH QUARTER\n')
('11:34\n', 'FOURTH QUARTER\n')
('11:33\n', 'FOURTH QUARTER\n')
('11:32\n', 'FOURTH QUARTER\n')
('11:31\n', 'FOURTH QUARTER\n')
('11:31\n', 'FOURTH QUARTER\n')
('11:31\n', 'FOURTH QUARTER\n')
('9:55\n', 'FOURTH QUARTER\n')
('9:54\n', 'FOURTH QUARTER\n')
('9:53\n', 'FOURTH QUARTER\n')
('9:52\n', 'FOURTH QUARTER\n')
('9:51\n', 'FOURTH QUARTER\n')
('9:50\n', 'FOURTH QUARTER\n')
('9:49\n', 'FOURTH QUARTER\n')
('9:48\n', 'FOURTH QUARTER\n')
('7:43\n', 'FOURTH QUARTER\n')
('7:42\n', 'FOURTH QUARTER\n')
('7:41\n', 'FOURTH QUARTER\n')
('7:40\n', 'FOURTH QUARTER\n')
('7:39\n', 'FOURTH QUARTER\n')
('7:38\n', 'FOURTH QUARTER\n')
