('9:10\n', '1\n')
('9:07\n', '1\n')
('9:05\n', '1\n')
('9:01\n', '1\n')
('7:33\n', '1\n')
('71:32\n', '1\n')
('71:31\n', '1\n')
('7:30\n', '1\n')
('71:29\n', '1\n')
('7:29\n', '1\n')
('3:28\n', '1\n')
('4:33\n', '1\n')
('4:32\n', '1\n')
('4:31\n', '1\n')
('4:30\n', '1\n')
('4:29\n', '1\n')
('4:28\n', '1\n')
('4:26\n', '1\n')
('4:25\n', '1\n')
('7:07\n', '1\n')
('7:06\n', '1\n')
('7:05\n', '1\n')
('7:04\n', '1\n')
('7:03\n', '1\n')
('7:02\n', '1\n')
('7:01\n', '1\n')
('7:01\n', '1\n')
('7:36\n', '2\n')
('1:35\n', '2\n')
('71:34\n', '2\n')
('7:33\n', '2\n')
('71:32\n', '2\n')
('71:31\n', '2\n')
('7:30\n', '2\n')
('71:28\n', '2\n')
('1:27\n', '2\n')
('71:26\n', '2\n')
('4:14\n', '2\n')
('4:13\n', '2\n')
('4:12\n', '2\n')
('4:11\n', '2\n')
('4:10\n', '2\n')
('4:09\n', '2\n')
('4:08\n', '2\n')
('52.8\n', '2\n')
('51.8\n', '2\n')
(':50.9\n', '2\n')
('49.9\n', '2\n')
('48.9\n', '2\n')
('47.9\n', '2\n')
('47.5\n', '2\n')
('46.9\n', '2\n')
('45.9\n', '2\n')
('09:4\n', '3\n')
('09:4\n', '3\n')
('09:4\n', '3\n')
('09:4\n', '3\n')
('09:3\n', '3\n')
('09:3\n', '3\n')
('09:3\n', '3\n')
('09:3\n', '3\n')
('09:3\n', '3\n')
('08:4\n', '3\n')
('08:4\n', '3\n')
('08:4\n', '3\n')
('08:4\n', '3\n')
('08:4\n', '3\n')
('08:4\n', '3\n')
('08:4\n', '3\n')
('08:4\n', '3\n')
('6:03\n', '3\n')
('6:02\n', '3\n')
('6:01\n', '3\n')
('5:59\n', '3\n')
('5:57\n', '3\n')
('5:56\n', '3\n')
('5:55\n', '3\n')
('5:54\n', '3\n')
