('8:53\n', 'FIRST QUARTER\n')
('8:52\n', 'FIRST QUARTER\n')
('8:51\n', 'FIRST QUARTER\n')
('8:50\n', 'FIRST QUARTER\n')
('8:49\n', 'FIRST QUARTER\n')
('8:48\n', 'FIRST QUARTER\n')
('8:36\n', 'FIRST QUARTER\n')
('8:35\n', 'FIRST QUARTER\n')
('8:34\n', 'FIRST QUARTER\n')
('8:33\n', 'FIRST QUARTER\n')
('8:32\n', 'FIRST QUARTER\n')
('8:31\n', 'FIRST QUARTER\n')
('8:30\n', 'FIRST QUARTER\n')
('8:29\n', 'FIRST QUARTER\n')
('6:43\n', 'FIRST QUARTER\n')
('6:42\n', 'FIRST QUARTER\n')
('6:41\n', 'FIRST QUARTER\n')
('6:40\n', 'FIRST QUARTER\n')
('6:39\n', 'FIRST QUARTER\n')
('6:38\n', 'FIRST QUARTER\n')
('6:37\n', 'FIRST QUARTER\n')
('6:44\n', 'SECOND QUARTER\n')
('6:43\n', 'SECOND QUARTER\n')
('6:42\n', 'SECOND QUARTER\n')
('6:41\n', 'SECOND QUARTER\n')
('6:40\n', 'SECOND QUARTER\n')
('6:39\n', 'SECOND QUARTER\n')
('6:39\n', 'SECOND QUARTER\n')
('6:39\n', 'SECOND QUARTER\n')
('6:39\n', 'SECOND QUARTER\n')
('6:39\n', 'SECOND QUARTER\n')
('1:22\n', 'SECOND QUARTER\n')
('1:21\n', 'SECOND QUARTER\n')
('1:20\n', 'SECOND QUARTER\n')
('1:19\n', 'SECOND QUARTER\n')
('1:18\n', 'SECOND QUARTER\n')
('1:17\n', 'SECOND QUARTER\n')
('7:27\n', 'THIRD QUARTER\n')
('7:26\n', 'THIRD QUARTER\n')
('7:25\n', 'THIRD QUARTER\n')
('7:24\n', 'THIRD QUARTER\n')
('7:23\n', 'THIRD QUARTER\n')
('7:23\n', 'THIRD QUARTER\n')
('7:23\n', 'THIRD QUARTER\n')
('7:23\n', 'THIRD QUARTER\n')
('7:23\n', 'THIRD QUARTER\n')
('6:53\n', 'THIRD QUARTER\n')
('6:52\n', 'THIRD QUARTER\n')
('6:51\n', 'THIRD QUARTER\n')
('6:50\n', 'THIRD QUARTER\n')
('6:49\n', 'THIRD QUARTER\n')
('6:48\n', 'THIRD QUARTER\n')
('6:22\n', 'THIRD QUARTER\n')
('6:21\n', 'THIRD QUARTER\n')
('6:20\n', 'THIRD QUARTER\n')
('6:19\n', 'THIRD QUARTER\n')
('6:18\n', 'THIRD QUARTER\n')
('6:17\n', 'THIRD QUARTER\n')
('6:16\n', 'THIRD QUARTER\n')
('6:15\n', 'THIRD QUARTER\n')
('3:21\n', 'THIRD QUARTER\n')
('3:20\n', 'THIRD QUARTER\n')
('3:19\n', 'THIRD QUARTER\n')
('3:18\n', 'THIRD QUARTER\n')
('3:17\n', 'THIRD QUARTER\n')
('3:16\n', 'THIRD QUARTER\n')
('3:15\n', 'THIRD QUARTER\n')
('3:14\n', 'THIRD QUARTER\n')
('11:26\n', 'FOURTH QUARTER\n')
('11:25\n', 'FOURTH QUARTER\n')
('11:24\n', 'FOURTH QUARTER\n')
('11:23\n', 'FOURTH QUARTER\n')
('11:22\n', 'FOURTH QUARTER\n')
('11:21\n', 'FOURTH QUARTER\n')
('11:20\n', 'FOURTH QUARTER\n')
('11:19\n', 'FOURTH QUARTER\n')
('11:18\n', 'FOURTH QUARTER\n')
('9:08\n', 'FOURTH QUARTER\n')
('9:07\n', 'FOURTH QUARTER\n')
('9:06\n', 'FOURTH QUARTER\n')
('9:05\n', 'FOURTH QUARTER\n')
('9:04\n', 'FOURTH QUARTER\n')
('9:03\n', 'FOURTH QUARTER\n')
('9:02\n', 'FOURTH QUARTER\n')
('9:01\n', 'FOURTH QUARTER\n')
('8:00\n', 'FOURTH QUARTER\n')
('8:59\n', 'FOURTH QUARTER\n')
('8:58\n', 'FOURTH QUARTER\n')
('8:52\n', 'FOURTH QUARTER\n')
('8:51\n', 'FOURTH QUARTER\n')
('8:50\n', 'FOURTH QUARTER\n')
('8:49\n', 'FOURTH QUARTER\n')
('8:48\n', 'FOURTH QUARTER\n')
('8:47\n', 'FOURTH QUARTER\n')
('7:55\n', 'FOURTH QUARTER\n')
('7:54\n', 'FOURTH QUARTER\n')
('7:53\n', 'FOURTH QUARTER\n')
('7:52\n', 'FOURTH QUARTER\n')
('7:51\n', 'FOURTH QUARTER\n')
('7:50\n', 'FOURTH QUARTER\n')
('7:49\n', 'FOURTH QUARTER\n')
('7:49\n', 'FOURTH QUARTER\n')
