('8:07\n', '11\n')
('8:05\n', '1\n')
('8:04\n', '1\n')
('8:03\n', '1\n')
('8:02\n', '1\n')
('8:01\n', '1\n')
('7:58\n', '11\n')
('1:57\n', '1\n')
('6:18\n', '11\n')
('6:17\n', '11\n')
('6:16\n', '11\n')
('6:15\n', '11\n')
('6:14\n', '1\n')
('6:13\n', '1\n')
('6:12\n', '1\n')
('6:12\n', '11\n')
('2:13\n', '11\n')
('2:13\n', '1\n')
('2:12\n', '11\n')
('2:11\n', '1\n')
('2:10\n', '1\n')
('2:09\n', '11\n')
('8:38\n', '2\n')
('8:37\n', '2\n')
('8:36\n', '2\n')
('8:36\n', '2\n')
('8:35\n', '2\n')
('8:34\n', '2\n')
('8:34\n', '2\n')
('8:34\n', '2\n')
('8:34\n', '2\n')
('4:55\n', '2\n')
('4:54\n', '2\n')
('4:53\n', '2\n')
('4:52\n', '2\n')
('4:51\n', '2\n')
('4:50\n', '2\n')
('4:48\n', '2\n')
('4:47\n', '2\n')
('42.7\n', '2\n')
('41.7\n', '2\n')
(':40.8\n', '2\n')
(':39.8\n', '2\n')
(':38.8\n', '2\n')
(':37.8\n', '2\n')
(':37.0\n', '2\n')
(':36.2\n', '2\n')
(':35.2\n', '2\n')
('10:48\n', '3\n')
('10:47\n', '3\n')
('10:46\n', '3\n')
('10:45\n', '3\n')
('10:44\n', '3\n')
('10:43\n', '3\n')
('10:41\n', '3\n')
('10:40\n', '3\n')
('8:29\n', '3\n')
('8:28\n', '3\n')
('8:28\n', '3\n')
('8:27\n', '3\n')
('8:26\n', '3\n')
('8:25\n', '3\n')
('8:23\n', '3\n')
('8:22\n', '3\n')
('6:07\n', '3\n')
('6:04\n', '3\n')
('6:03\n', '3\n')
('6:02\n', '3\n')
('5:59\n', '3\n')
('5:58\n', '3\n')
('2:13\n', '3\n')
('2:12\n', '3\n')
('2:11\n', '3\n')
('2:10\n', '3\n')
('2:09\n', '3\n')
('2:09\n', '3\n')
('2:09\n', '3\n')
('2:09\n', '3\n')
('2:09\n', '3\n')
('5:15\n', '4\n')
('5:14\n', '4\n')
('5:13\n', '4\n')
('5:12\n', '4\n')
('5:11\n', '4\n')
('5:10\n', '4\n')
('5:03\n', '4\n')
