('1:37\n', '11\n')
('7:36\n', '1\n')
('71:35\n', '1\n')
('7:34\n', '1\n')
('7:33\n', '1\n')
('7:33\n', '1\n')
('7:33\n', '1\n')
('7:33\n', '1\n')
('7:33\n', '1\n')
('1:59\n', '1\n')
('1:58\n', '1\n')
('1:57\n', '1\n')
('1:56\n', '1\n')
('1:55\n', '1\n')
('1:54\n', '1\n')
('1:53\n', '1\n')
('71:09\n', '1\n')
('1:08\n', '1\n')
('7:07\n', '1\n')
(':06\n', '1\n')
(':05\n', '1\n')
(':04\n', '1\n')
('7:04\n', '1\n')
('10:37\n', '2\n')
('10:36\n', '2\n')
('10:35\n', '2\n')
('10:34\n', '2\n')
('10:33\n', '2\n')
('10:32\n', '2\n')
('4:00\n', '2\n')
('3:59\n', '2\n')
('3:58\n', '2\n')
('3:57\n', '2\n')
('3:56\n', '2\n')
('3:55\n', '2\n')
('3:53\n', '2\n')
('3:52\n', '2\n')
(':28.2\n', '2\n')
(':27.2\n', '2\n')
(':26.2\n', '2\n')
(':25.3\n', '2\n')
(':24.3\n', '2\n')
(':23.8\n', '2\n')
('11:09\n', '3\n')
('11:08\n', '3\n')
('11:07\n', '3\n')
('11:06\n', '3\n')
('11:05\n', '3\n')
('11:04\n', '3\n')
('11:03\n', '3\n')
('7:22\n', '3\n')
('7:21\n', '3\n')
('7:20\n', '3\n')
('7:19\n', '3\n')
('7:18\n', '3\n')
('1:17\n', '3\n')
('7:16\n', '3\n')
('7:15\n', '3\n')
('4:33\n', '3\n')
('4:32\n', '3\n')
('4:31\n', '3\n')
('4:30\n', '3\n')
('4:29\n', '3\n')
('4:28\n', '3\n')
('4:27\n', '3\n')
('4:26\n', '3\n')
('4:26\n', '3\n')
('4:09\n', '3\n')
('4:08\n', '3\n')
('4:07\n', '3\n')
('4:06\n', '3\n')
('4:05\n', '3\n')
('10:14\n', '4\n')
('10:13\n', '4\n')
('10:12\n', '4\n')
('10:11\n', '4\n')
('10:10\n', '4\n')
('9:33\n', '4\n')
('9:32\n', '4\n')
('9:31\n', '4\n')
('9:30\n', '4\n')
('9:29\n', '4\n')
('9:28\n', '4\n')
('9:27\n', '4\n')
('9:26\n', '4\n')
('9:25\n', '4\n')
('8:14\n', '4\n')
('8:13\n', '4\n')
('8:12\n', '4\n')
('8:11\n', '4\n')
('8:10\n', '4\n')
