('6:44\n', '1\n')
('6:43\n', '1\n')
('6:42\n', '1\n')
('6:41\n', '1\n')
('6:40\n', '1\n')
('6:39\n', '1\n')
('6:38\n', '1\n')
('5:03\n', '1\n')
('5:02\n', '1\n')
('5:01\n', '1\n')
('5:00\n', '1\n')
('4:59\n', '1\n')
('4:58\n', '1\n')
('4:57\n', '1\n')
('4:56\n', '1\n')
('4:53\n', '1\n')
('4:52\n', '1\n')
('1:02\n', '1\n')
('1:01\n', '1\n')
('1:00\n', '1\n')
(':59.1\n', '1\n')
(':58.1\n', '1\n')
('57.5\n', '1\n')
('7:06\n', '1\n')
('7:05\n', '1\n')
('7:04\n', '1\n')
('7:03\n', '1\n')
('7:02\n', '1\n')
('7:02\n', '1\n')
('7:01\n', '1\n')
('7:00\n', '1\n')
('7:18\n', '2\n')
('7:18\n', '2\n')
('1:17\n', '2\n')
('7:16\n', '2\n')
('1:15\n', '2\n')
('3:47\n', '2\n')
('3:46\n', '2\n')
('3:45\n', '2\n')
('3:44\n', '2\n')
('3:43\n', '2\n')
('3:42\n', '2\n')
('3:42\n', '2\n')
('3:42\n', '2\n')
('3:42\n', '2\n')
('37.3\n', '2\n')
(':36.3\n', '2\n')
(':35.3\n', '2\n')
('34.4\n', '2\n')
(':33.4\n', '2\n')
('32.4\n', '2\n')
('32.1\n', '2\n')
('32.1\n', '2\n')
(':32.1\n', '2\n')
('6:53\n', '3\n')
('6:52\n', '3\n')
('6:51\n', '3\n')
('6:50\n', '3\n')
('6:49\n', '3\n')
('6:48\n', '3\n')
('6:48\n', '3\n')
('6:48\n', '3\n')
('6:48\n', '3\n')
('5:48\n', '3\n')
('5:47\n', '3\n')
('5:46\n', '3\n')
('5:45\n', '3\n')
('5:44\n', '3\n')
('5:43\n', '3\n')
('5:42\n', '3\n')
('5:39\n', '3\n')
('5:38\n', '3\n')
('5:37\n', '3\n')
(':50.6\n', '3\n')
(':49.7\n', '3\n')
('148.7\n', '3\n')
('47.7\n', '3\n')
('47.7\n', '3\n')
('47.7\n', '3\n')
('47.7\n', '3\n')
('47.7\n', '3\n')
('9:33\n', '4\n')
('9:32\n', '4\n')
('9:31\n', '4\n')
('9:30\n', '41\n')
('9:29\n', '4\n')
('9:28\n', '4\n')
('9:28\n', '4\n')
('9:28\n', '4\n')
('9:28\n', '4\n')
('9:28\n', '4\n')
('9:11\n', '4\n')
('9:10\n', '4\n')
('9:07\n', '41\n')
('9:05\n', '41\n')
('9:05\n', '4\n')
