('0.\n', '1\n')
('8:24\n', '1\n')
('8:23\n', '1\n')
('8:22\n', '1\n')
('8:21\n', '1\n')
('8:20\n', '1\n')
('8:19\n', '1\n')
('8:19\n', '1\n')
('7:22\n', '1\n')
('7:21\n', '1\n')
('7:20\n', '1\n')
('7:19\n', '1\n')
('7:18\n', '1\n')
('7:17\n', '1\n')
('7:16\n', '1\n')
('7:13\n', '1\n')
('7:12\n', '1\n')
('4:12\n', '1\n')
('4:11\n', '1\n')
('4:10\n', '1\n')
('4:09\n', '1\n')
('4:08\n', '1\n')
('4:07\n', '1\n')
('10:23\n', '2\n')
('10:22\n', '2\n')
('10:21\n', '2\n')
('10:20\n', '2\n')
('10:19\n', '2\n')
('10:19\n', '2\n')
('8:53\n', '2\n')
('8:52\n', '2\n')
('8:51\n', '2\n')
('8:50\n', '2\n')
('8:49\n', '2\n')
('8:48\n', '2\n')
('8:46\n', '2\n')
('8:45\n', '2\n')
('6:37\n', '2\n')
('6:36\n', '2\n')
('6:35\n', '2\n')
('6:34\n', '2\n')
('6:33\n', '2\n')
('6:32\n', '2\n')
('6:31\n', '2\n')
('4:54\n', '2\n')
('4:53\n', '2\n')
('4:52\n', '2\n')
('4:51\n', '2\n')
('4:50\n', '2\n')
('4:49\n', '2\n')
('4:48\n', '2\n')
('57.6\n', '2\n')
('56.6\n', '2\n')
('55.6\n', '2\n')
('54.7\n', '2\n')
('53.9\n', '2\n')
('53.9\n', '2\n')
('53.9\n', '2\n')
('53.9\n', '2\n')
('10:49\n', '3\n')
('10:48\n', '3\n')
('10:47\n', '3\n')
('10:46\n', '3\n')
('10:45\n', '3\n')
('10:44\n', '3\n')
('10:43\n', '3\n')
('10:43\n', '3\n')
('10:43\n', '3\n')
('8:19\n', '3\n')
('8:18\n', '3\n')
('8:17\n', '3\n')
('8:16\n', '3\n')
('8:15\n', '3\n')
('8:14\n', '3\n')
('6:04\n', '3\n')
('6:03\n', '3\n')
('6:02\n', '3\n')
('6:01\n', '3\n')
('6:00\n', '3\n')
('5:59\n', '3\n')
('5:56\n', '3\n')
('5:55\n', '3\n')
('8:44\n', '4\n')
('8:43\n', '4\n')
('8:42\n', '4\n')
('8:41\n', '4\n')
('8:40\n', '4\n')
('8:39\n', '41\n')
('8:38\n', '4\n')
('8:37\n', '4\n')
('7:22\n', '4\n')
('7:21\n', '4\n')
('7:20\n', '41\n')
('7:19\n', '41\n')
('7:18\n', '4\n')
('7:17\n', '41\n')
('7:16\n', '41\n')
('7:15\n', '41\n')
('7:14\n', '4\n')
('5:17\n', '4\n')
('5:16\n', '41\n')
('5:15\n', '4\n')
('5:14\n', '4\n')
('5:13\n', '41\n')
('5:12\n', '41\n')
('5:11\n', '41\n')
('20\n', '41\n')
('3:19\n', '4\n')
('3:18\n', '4\n')
('3:17\n', '4\n')
('3:16\n', '41\n')
