('7:49\n', '11\n')
('7:48\n', '11\n')
('7:47\n', '1\n')
('7:46\n', '1\n')
('7:45\n', '1\n')
('7:44\n', '1\n')
('7:43\n', '1\n')
('7:41\n', '1\n')
('5:25\n', '1\n')
('5:24\n', '1\n')
('5:23\n', '1\n')
('5:22\n', '1\n')
('5:21\n', '11\n')
('5:20\n', '1\n')
('5:17\n', '11\n')
('5:16\n', '1\n')
('3:44\n', '1\n')
('3:43\n', '1\n')
('3:42\n', '1\n')
('3:41\n', '1\n')
('3:40\n', '1\n')
('3:39\n', '1\n')
('3:38\n', '1\n')
('3:37\n', '1\n')
('3:36\n', '1\n')
('3:36\n', '1\n')
('9:57\n', '2\n')
('9:56\n', '2\n')
('9:55\n', '2\n')
('9:54\n', '2\n')
('9:53\n', '2\n')
('9:52\n', '2\n')
('9:51\n', '2\n')
('9:49\n', '2\n')
('6:40\n', '2\n')
('6:39\n', '2\n')
('6:38\n', '2\n')
('6:37\n', '2\n')
('6:36\n', '2\n')
('6:35\n', '2\n')
('6:34\n', '2\n')
('6:32\n', '2\n')
('6:31\n', '2\n')
('1:16\n', '2\n')
('1:15\n', '2\n')
('1:14\n', '2\n')
('1:13\n', '2\n')
('1:12\n', '2\n')
('1:11\n', '2\n')
('1:09\n', '2\n')
('1:08\n', '2\n')
('10:37\n', '3\n')
('10:36\n', '3\n')
('10:35\n', '3\n')
('10:34\n', '3\n')
('10:33\n', '3\n')
('10:32\n', '3\n')
('10:29\n', '3\n')
('7:37\n', '3\n')
('7:36\n', '3\n')
('7:35\n', '3\n')
('7:34\n', '3\n')
('7:33\n', '3\n')
('7:32\n', '3\n')
('7:31\n', '3\n')
('7:28\n', '3\n')
('4:50\n', '3\n')
('4:49\n', '3\n')
('4:48\n', '3\n')
('4:47\n', '3\n')
('4:46\n', '3\n')
('4:45\n', '3\n')
('4:44\n', '3\n')
('2:40\n', '3\n')
('2:39\n', '3\n')
('2:38\n', '3\n')
('2:37\n', '3\n')
('2:36\n', '3\n')
('2:35\n', '3\n')
('2:33\n', '3\n')
('57.0\n', '3\n')
('56.0\n', '3\n')
('55.0\n', '3\n')
('54.0\n', '3\n')
('53.0\n', '3\n')
('52.0\n', '3\n')
('51.1\n', '3\n')
('50.1\n', '3\n')
('49.1\n', '3\n')
('48.1\n', '3\n')
('47.1\n', '3\n')
('46.9\n', '3\n')
('46.6\n', '3\n')
('45.6\n', '3\n')
('7:16\n', '4\n')
('7:15\n', '4\n')
('7:14\n', '4\n')
('7:13\n', '4\n')
('7:12\n', '4\n')
('7:11\n', '4\n')
('1:18\n', '4\n')
('1:17\n', '4\n')
('1:15\n', '4\n')
('1:14\n', '4\n')
('1:13\n', '4\n')
('1:13\n', '4\n')
