('8:26\n', '1\n')
('8:25\n', '1\n')
('8:24\n', '1\n')
('8:24\n', '1\n')
('8:24\n', '1\n')
('8:24\n', '1\n')
('8:24\n', '1\n')
('8:24\n', '1\n')
('3:20\n', '1\n')
('3:19\n', '1\n')
('3:18\n', '1\n')
('3:17\n', '1\n')
('3:16\n', '1\n')
('3:15\n', '1\n')
('3:14\n', '1\n')
('148.2\n', '1\n')
('47.2\n', '1\n')
('46.2\n', '1\n')
('45.2\n', '1\n')
('44.7\n', '1\n')
('44.7\n', '1\n')
('43.7\n', '1\n')
('6:40\n', '2\n')
('6:39\n', '2\n')
('6:38\n', '2\n')
('6:37\n', '2\n')
('6:36\n', '2\n')
('6:35\n', '2\n')
('6:34\n', '2\n')
('6:33\n', '2\n')
('1:53\n', '2\n')
('1:52\n', '2\n')
('1:51\n', '2\n')
('1:50\n', '2\n')
('1:49\n', '2\n')
('1:48\n', '2\n')
('1:47\n', '2\n')
('8:41\n', '3\n')
('8:40\n', '3\n')
('8:39\n', '3\n')
('8:38\n', '3\n')
('8:37\n', '3\n')
('8:36\n', '3\n')
('8:33\n', '3\n')
('8:32\n', '3\n')
(':54.0\n', '3\n')
('53.0\n', '3\n')
(':52.0\n', '3\n')
(':51.0\n', '3\n')
(':50.0\n', '3\n')
(':49.0\n', '3\n')
(':48.3\n', '3\n')
(':48.3\n', '3\n')
('8:59\n', '4\n')
('8:58\n', '4\n')
('8:57\n', '4\n')
('8:56\n', '4\n')
('8:55\n', '4\n')
('8:54\n', '4\n')
('8:53\n', '4\n')
('8:49\n', '4\n')
('8:48\n', '4\n')
('3:59\n', '4\n')
('3:58\n', '4\n')
('3:57\n', '4\n')
('3:56\n', '4\n')
('3:55\n', '4\n')
('3:55\n', '4\n')
('3:55\n', '4\n')
('3:55\n', '4\n')
('3:55\n', '4\n')
('2:45\n', '4\n')
('2:44\n', '4\n')
('2:44\n', '4\n')
('2:43\n', '4\n')
('2:42\n', '4\n')
('2:41\n', '4\n')
('2:37\n', '4\n')
('2:36\n', '4\n')
('1:13\n', '4\n')
('1:12\n', '4\n')
('1:12\n', '4\n')
('1:11\n', '4\n')
('1:10\n', '4\n')
('1:09\n', '4\n')
(':38.6\n', '4\n')
(':37.6\n', '4\n')
(':36.6\n', '4\n')
(':35.6\n', '4\n')
(':34.6\n', '4\n')
(':33.8\n', '4\n')
(':33.8\n', '4\n')
