('9:35\n', '1\n')
('9:34\n', '1\n')
('9:33\n', '1\n')
('9:32\n', '1\n')
('9:31\n', '1\n')
('9:30\n', '1\n')
('1:12\n', '1\n')
('1:11\n', '1\n')
('1:10\n', '1\n')
('1:09\n', '1\n')
('1:08\n', '1\n')
('1:07\n', '1\n')
('6:18\n', '2\n')
('8:48\n', '2\n')
('8:47\n', '2\n')
('8:46\n', '2\n')
('8:45\n', '2\n')
('8:44\n', '2\n')
('8:44\n', '2\n')
('4:05\n', '2\n')
('4:04\n', '2\n')
('4:03\n', '2\n')
('4:02\n', '2\n')
('4:01\n', '2\n')
('4:00\n', '2\n')
('3:52\n', '2\n')
('1:56\n', '2\n')
('1:55\n', '2\n')
('1:54\n', '2\n')
('1:53\n', '2\n')
('1:52\n', '2\n')
('1:51\n', '2\n')
('1:49\n', '2\n')
('1:48\n', '2\n')
('8:14\n', '3\n')
('8:13\n', '3\n')
('8:12\n', '3\n')
('8:11\n', '3\n')
('8:10\n', '3\n')
('6:10\n', '3\n')
('6:09\n', '3\n')
('6:08\n', '3\n')
('6:07\n', '3\n')
(':59.0\n', '3\n')
(':58.0\n', '3\n')
(':57.0\n', '3\n')
(':56.2\n', '3\n')
(':55.1\n', '3\n')
('54.4\n', '3\n')
(':53.7\n', '3\n')
('52.7\n', '3\n')
('51.7\n', '3\n')
('6:24\n', '4\n')
('6:23\n', '4\n')
('6:22\n', '4\n')
('6:21\n', '4\n')
('6:20\n', '4\n')
('6:19\n', '4\n')
('6:19\n', '4\n')
(':25.5\n', '4\n')
(':24.6\n', '4\n')
(':23.6\n', '4\n')
(':22.6\n', '4\n')
('21.6\n', '4\n')
('21.4\n', '4\n')
(':08.\n', '41\n')
(':08.\n', '41\n')
(':07.\n', '41\n')
(':07.\n', '4\n')
(':07.\n', '41\n')
(':06.\n', '41\n')
(':05.\n', '4\n')
(':04.\n', '41\n')
(':04.\n', '41\n')
(':04.\n', '41\n')
(':04.\n', '41\n')
(':04.\n', '4\n')
(':03.\n', '41\n')
('02.\n', '41\n')
(':02.\n', '41\n')
(':01.\n', '4\n')
(':00.\n', '41\n')
(':00.\n', '4\n')
