('8:29\n', '1\n')
('8:28\n', '1\n')
('8:27\n', '1\n')
('8:26\n', '1\n')
('8:25\n', '1\n')
('4\n', '1\n')
('8523\n', '1\n')
('3:52\n', '1\n')
('3:51\n', '1\n')
('3:50\n', '1\n')
('3:49\n', '1\n')
('3:48\n', '1\n')
('3:47\n', '1\n')
('3:46\n', '1\n')
('11:19\n', '2\n')
('11:18\n', '2\n')
('11:17\n', '2\n')
('11:16\n', '2\n')
('11:15\n', '2\n')
('10:00\n', '2\n')
('9:59\n', '2\n')
('9:58\n', '2\n')
('9:57\n', '2\n')
('9:57\n', '2\n')
('71\n', '2\n')
('7:10\n', '2\n')
('7:09\n', '2\n')
('7:08\n', '2\n')
('7:07\n', '2\n')
('7:06\n', '2\n')
('2:51\n', '2\n')
('2:50\n', '2\n')
('2:49\n', '2\n')
('2:48\n', '2\n')
('2:47\n', '2\n')
('1:37\n', '2\n')
('1:36\n', '2\n')
('1:35\n', '2\n')
('1:34\n', '2\n')
('1:33\n', '2\n')
('1:31\n', '2\n')
('1:30\n', '2\n')
(':12.6\n', '2\n')
(':12.6\n', '2\n')
(':12.1\n', '2\n')
('11.1\n', '2\n')
('210.1\n', '2\n')
(':09.4\n', '2\n')
('11:13\n', '3\n')
('11:12\n', '3\n')
('11:11\n', '3\n')
('11:10\n', '3\n')
('11:09\n', '3\n')
('11:08\n', '3\n')
('7:37\n', '3\n')
('7:36\n', '3\n')
('7:35\n', '3\n')
('7:34\n', '3\n')
('7:33\n', '3\n')
('5:33\n', '3\n')
('5:32\n', '3\n')
('5:31\n', '3\n')
('5:30\n', '3\n')
('5:29\n', '3\n')
('2:53\n', '3\n')
('2:52\n', '3\n')
('2:51\n', '3\n')
('2:50\n', '3\n')
('2:49\n', '3\n')
('2:48\n', '3\n')
('11:00\n', '41\n')
('10:59\n', '4\n')
('10:58\n', '4\n')
('10:57\n', '41\n')
('10:56\n', '41\n')
('9:42\n', '41\n')
('9:41\n', '41\n')
('9:40\n', '41\n')
('9:40\n', '4\n')
('9:40\n', '4\n')
('7:58\n', '41\n')
('7:57\n', '41\n')
('7:56\n', '4\n')
('7:55\n', '41\n')
('7:54\n', '41\n')
('7:53\n', '4\n')
('7:50\n', '41\n')
('7:50\n', '41\n')
