('16.1\n', '3\n')
(':15.1\n', '3\n')
('14.1\n', '3\n')
('0:13\n', '3\n')
('0:12\n', '3\n')
('0:12\n', '3\n')
('0:12\n', '3\n')
('0:07\n', '3\n')
('0:05\n', '3\n')
('0:04\n', '3\n')
('0:03\n', '3\n')
('0:03\n', '3\n')
('0:03\n', '3\n')
('6:15\n', '4\n')
('6:14\n', '4\n')
('6:13\n', '4\n')
('6:12\n', '4\n')
('6:11\n', '4\n')
('6:10\n', '4\n')
('6:07\n', '4\n')
('4:37\n', '4\n')
('4:36\n', '4\n')
('4:35\n', '4\n')
('4:34\n', '4\n')
('4:33\n', '4\n')
('4:32\n', '4\n')
('2:04\n', '4\n')
('2:03\n', '4\n')
('2:02\n', '4\n')
('2:01\n', '4\n')
('2:00\n', '4\n')
('2:00\n', '4\n')
('45.4\n', '4\n')
('44.4\n', '4\n')
('43.4\n', '4\n')
('42.4\n', '4\n')
('41.4\n', '4\n')
('40.5\n', '4\n')
(':40.4\n', '4\n')
('40.4\n', '4\n')
('40.4\n', '4\n')
('31.2\n', '4\n')
(':30.2\n', '4\n')
('29.2\n', '4\n')
('28.2\n', '4\n')
('27.3\n', '4\n')
('26.7\n', '4\n')
('26.7\n', '4\n')
('26.7\n', '4\n')
(':04\n', '41\n')
(':03\n', '41\n')
(':02\n', '41\n')
(':01\n', '41\n')
(':00\n', '41\n')
(':00\n', '41\n')
(':00\n', '41\n')
('4\n', '4\n')
