('8:10\n', '1\n')
('8:07\n', '1\n')
('8:05\n', '1\n')
('8:03\n', '1\n')
('8:02\n', '1\n')
('2:11\n', '1\n')
('2:10\n', '1\n')
('2:09\n', '1\n')
('2:08\n', '1\n')
('2:07\n', '1\n')
('2:06\n', '1\n')
('2:05\n', '1\n')
('2:04\n', '1\n')
('2:04\n', '1\n')
('8:22\n', '2\n')
('8:21\n', '2\n')
('8:20\n', '2\n')
('8:19\n', '2\n')
('8:18\n', '2\n')
('8:17\n', '2\n')
('8:16\n', '2\n')
('5:32\n', '2\n')
('5:31\n', '2\n')
('5:30\n', '2\n')
('5:29\n', '2\n')
('5:28\n', '2\n')
('5:27\n', '2\n')
('5:23\n', '2\n')
('5:22\n', '2\n')
('5:21\n', '2\n')
(':54.0\n', '2\n')
(':53.0\n', '2\n')
(':52.0\n', '2\n')
(':51.0\n', '2\n')
(':50.8\n', '2\n')
(':50.8\n', '2\n')
(':50.8\n', '2\n')
('7:13\n', '3\n')
('7:12\n', '3\n')
('7:11\n', '3\n')
('7:10\n', '3\n')
('7:09\n', '3\n')
('7:08\n', '3\n')
('7:07\n', '3\n')
('7:06\n', '3\n')
('3:29\n', '3\n')
('3:28\n', '3\n')
('3:27\n', '3\n')
('3:26\n', '3\n')
('3:25\n', '3\n')
('3:24\n', '3\n')
('3:20\n', '3\n')
('3:19\n', '3\n')
('11:21\n', '4\n')
('11:20\n', '4\n')
('11:19\n', '4\n')
('11:18\n', '4\n')
('11:17\n', '4\n')
('11:17\n', '4\n')
('11:17\n', '4\n')
('8:47\n', '4\n')
('8:46\n', '4\n')
('8:45\n', '4\n')
('8:44\n', '4\n')
('8:43\n', '4\n')
('8:42\n', '4\n')
('8:41\n', '4\n')
('8:40\n', '4\n')
('8:40\n', '4\n')
('8:40\n', '4\n')
('5:28\n', '4\n')
('5:27\n', '4\n')
('5:26\n', '4\n')
('5:25\n', '4\n')
('5:24\n', '4\n')
('46.3\n', '4\n')
(':45.4\n', '4\n')
(':44.4\n', '4\n')
(':43.4\n', '4\n')
(':42.4\n', '4\n')
('41.4\n', '4\n')
(':40.4\n', '4\n')
(':39.6\n', '4\n')
(':39.1\n', '4\n')
(':38.1\n', '4\n')
(':32.8\n', '4\n')
(':31.8\n', '4\n')
(':30.8\n', '4\n')
(':29.8\n', '4\n')
(':28.8\n', '4\n')
(':28.2\n', '4\n')
('128.2\n', '4\n')
('128.2\n', '4\n')
(':09\n', '4\n')
(':08\n', '4\n')
(':07\n', '4\n')
(':06\n', '4\n')
(':05\n', '41\n')
(':04\n', '4\n')
(':03\n', '41\n')
(':02\n', '4\n')
(':01\n', '4\n')
(':00\n', '4\n')
(':00\n', '4\n')
