('11:29\n', '1\n')
('11:28\n', '1\n')
('11:27\n', '1\n')
('11:26\n', '1\n')
('11:25\n', '1\n')
('11:24\n', '1\n')
('11:23\n', '1\n')
('11:22\n', '1\n')
('11:21\n', '1\n')
('3:47\n', '1\n')
('3:46\n', '1\n')
('3:45\n', '1\n')
('3:44\n', '1\n')
('3:43\n', '1\n')
('3:43\n', '1\n')
('3:43\n', '1\n')
('3:43\n', '1\n')
('3:43\n', '1\n')
('11:23\n', '2\n')
('11:22\n', '2\n')
('11:21\n', '2\n')
('11:21\n', '2\n')
('11:17\n', '2\n')
('11:16\n', '2\n')
('11:15\n', '2\n')
('11:14\n', '2\n')
('11:13\n', '2\n')
('11:12\n', '2\n')
('11:11\n', '2\n')
('7:14\n', '2\n')
('7:13\n', '2\n')
('7:12\n', '2\n')
('71:11\n', '2\n')
('7:10\n', '2\n')
('41.7\n', '2\n')
('140.7\n', '2\n')
(':39.7\n', '2\n')
(':39.7\n', '2\n')
(':39.7\n', '2\n')
(':39.2\n', '2\n')
('9:45\n', '3\n')
('9:44\n', '3\n')
('9:43\n', '3\n')
('9:42\n', '3\n')
('9:41\n', '3\n')
('9:40\n', '3\n')
('9:40\n', '3\n')
('5:48\n', '3\n')
('5:47\n', '3\n')
('5:46\n', '3\n')
('5:45\n', '3\n')
('5:44\n', '3\n')
('5:43\n', '3\n')
('5:43\n', '3\n')
('4:11\n', '3\n')
('4:11\n', '3\n')
('4:09\n', '3\n')
('4:08\n', '3\n')
('4:07\n', '3\n')
('4:04\n', '3\n')
('4:03\n', '3\n')
('10:10\n', '4\n')
('10:09\n', '4\n')
('10:08\n', '4\n')
('10:08\n', '4\n')
('10:07\n', '4\n')
('10:05\n', '4\n')
('10:04\n', '4\n')
('6:07\n', '4\n')
('6:05\n', '4\n')
('6:04\n', '4\n')
('6:04\n', '4\n')
('6:04\n', '4\n')
('4:16\n', '4\n')
('4:15\n', '4\n')
('4:14\n', '4\n')
('4:13\n', '4\n')
('4:12\n', '4\n')
('4:11\n', '4\n')
('4:10\n', '4\n')
('4:09\n', '4\n')
('4:08\n', '4\n')
('1:31\n', '4\n')
('1:30\n', '4\n')
('1:29\n', '4\n')
('1:29\n', '4\n')
('1:29\n', '4\n')
('1:29\n', '4\n')
('1:18\n', '4\n')
('1:17\n', '4\n')
('1:16\n', '4\n')
('1:15\n', '4\n')
('1:14\n', '4\n')
('1:14\n', '4\n')
('1:14\n', '4\n')
(':06\n', '4\n')
(':05\n', '4\n')
(':04\n', '4\n')
(':03\n', '4\n')
(':02\n', '4\n')
(':01\n', '41\n')
(':00\n', '41\n')
