('6:03\n', '1\n')
('6:02\n', '1\n')
('6:01\n', '1\n')
('5:59\n', '1\n')
('5:58\n', '1\n')
('5:57\n', '1\n')
('3:15\n', '1\n')
('3:14\n', '1\n')
('3:13\n', '1\n')
('3:12\n', '1\n')
('3:11\n', '1\n')
('3:10\n', '1\n')
('3:09\n', '1\n')
('3:08\n', '1\n')
('7:06\n', '2\n')
('7:05\n', '2\n')
('7:04\n', '2\n')
('7:03\n', '2\n')
('7:02\n', '2\n')
('7:01\n', '2\n')
('3:47\n', '2\n')
('3:46\n', '2\n')
('3:45\n', '2\n')
('3:44\n', '2\n')
('3:43\n', '2\n')
('3:43\n', '2\n')
('3:43\n', '2\n')
('3:43\n', '2\n')
('3:43\n', '2\n')
('10:38\n', '3\n')
('10:37\n', '3\n')
('10:36\n', '3\n')
('10:35\n', '3\n')
('10:34\n', '3\n')
('10:33\n', '3\n')
('6:23\n', '3\n')
('6:22\n', '3\n')
('6:21\n', '3\n')
('6:20\n', '3\n')
('6:19\n', '3\n')
('3:03\n', '3\n')
('3:02\n', '3\n')
('3:01\n', '3\n')
('3:00\n', '3\n')
('2:59\n', '3\n')
('2:58\n', '3\n')
('1:08\n', '3\n')
('1:07\n', '3\n')
('1:06\n', '3\n')
('1:05\n', '3\n')
('1:04\n', '3\n')
('7:49\n', '4\n')
('7:48\n', '4\n')
('7:47\n', '4\n')
('7:46\n', '4\n')
('71:45\n', '4\n')
('7:44\n', '4\n')
('1:44\n', '4\n')
('1:44\n', '4\n')
('4:20\n', '4\n')
('4:19\n', '4\n')
('4:18\n', '4\n')
('4:17\n', '4\n')
('4:16\n', '4\n')
('4:15\n', '4\n')
('4:14\n', '4\n')
('4:13\n', '4\n')
('4:12\n', '4\n')
('2:25\n', '4\n')
('2:24\n', '4\n')
('2:23\n', '4\n')
('2:22\n', '4\n')
('2:21\n', '4\n')
('2:20\n', '4\n')
('2:19\n', '4\n')
('1:56\n', '4\n')
('1:55\n', '4\n')
('1:54\n', '4\n')
('1:53\n', '4\n')
('1:52\n', '4\n')
('1:51\n', '4\n')
