('7:07\n', '1\n')
('7:06\n', '1\n')
('7:05\n', '1\n')
('7:03\n', '1\n')
('7:03\n', '1\n')
('7:02\n', '1\n')
('6:43\n', '1\n')
('6:42\n', '11\n')
('6:41\n', '1\n')
('6:40\n', '11\n')
('6:39\n', '1\n')
('6:35\n', '1\n')
('6:34\n', '1\n')
('6:33\n', '1\n')
('4:28\n', '1\n')
('4:27\n', '11\n')
('4:26\n', '1\n')
('4:25\n', '11\n')
('4:24\n', '11\n')
('4:23\n', '1\n')
('10:35\n', '2\n')
('10:34\n', '2\n')
('10:33\n', '2\n')
('10:32\n', '2\n')
('10:31\n', '2\n')
('10:30\n', '2\n')
('10:30\n', '2\n')
('5:12\n', '2\n')
('5:11\n', '2\n')
('5:10\n', '2\n')
('5:09\n', '2\n')
('5:08\n', '2\n')
('5:07\n', '2\n')
('3:46\n', '2\n')
('3:45\n', '2\n')
('3:44\n', '2\n')
('3:43\n', '2\n')
('3:42\n', '2\n')
('3:41\n', '2\n')
('3:40\n', '2\n')
('3:39\n', '2\n')
('3:38\n', '2\n')
(':34.5\n', '2\n')
(':33.5\n', '2\n')
('32.6\n', '2\n')
(':31.6\n', '2\n')
(':30.6\n', '2\n')
('129.6\n', '2\n')
('29.0\n', '2\n')
('129.0\n', '2\n')
('10:16\n', '3\n')
('10:15\n', '3\n')
('10:14\n', '3\n')
('10:13\n', '3\n')
('10:12\n', '3\n')
('10:11\n', '3\n')
('10:11\n', '3\n')
('7:16\n', '3\n')
('7:15\n', '3\n')
('7:14\n', '3\n')
('7:13\n', '3\n')
('7:12\n', '3\n')
('7:11\n', '3\n')
('3:39\n', '3\n')
('3:38\n', '3\n')
('3:37\n', '3\n')
('3:36\n', '3\n')
('3:35\n', '3\n')
('3:34\n', '3\n')
('3:33\n', '3\n')
('3:32\n', '3\n')
('3:31\n', '3\n')
('3:30\n', '3\n')
('8:37\n', '4\n')
('8:36\n', '4\n')
('8:35\n', '4\n')
('8:34\n', '4\n')
('8:33\n', '4\n')
('8:32\n', '4\n')
('8:03\n', '4\n')
('4:02\n', '4\n')
('4:01\n', '4\n')
('4:00\n', '44\n')
('3:59\n', '4\n')
('3:58\n', '4\n')
('3:57\n', '4\n')
('3:56\n', '4\n')
('3:55\n', '4\n')
('3:54\n', '4\n')
('3:53\n', '4\n')
('2:29\n', '4\n')
('2:28\n', '4\n')
('2:27\n', '4\n')
('2:26\n', '4\n')
('2:25\n', '4\n')
('2:24\n', '4\n')
('2:23\n', '4\n')
