('9:21\n', '1\n')
('9:20\n', '1\n')
('9:19\n', '1\n')
('9:18\n', '1\n')
('9:17\n', '1\n')
('9:15\n', '1\n')
('5:17\n', '1\n')
('5:15\n', '1\n')
('5:14\n', '1\n')
('1:37\n', '1\n')
('1:36\n', '1\n')
('1:35\n', '1\n')
('1:34\n', '1\n')
('1:33\n', '1\n')
('1:32\n', '1\n')
('11:30\n', '2\n')
('11:29\n', '2\n')
('11:28\n', '2\n')
('11:27\n', '2\n')
('11:26\n', '2\n')
('11:25\n', '2\n')
('11:25\n', '2\n')
('11:25\n', '2\n')
('10:15\n', '2\n')
('10:14\n', '2\n')
('10:13\n', '2\n')
('10:12\n', '2\n')
('10:11\n', '2\n')
('10:10\n', '2\n')
('10:09\n', '2\n')
('10:08\n', '2\n')
('10:05\n', '2\n')
('10:04\n', '2\n')
('10:04\n', '2\n')
('6:07\n', '2\n')
('6:05\n', '2\n')
('6:04\n', '2\n')
('6:03\n', '2\n')
('6:02\n', '2\n')
('5:59\n', '2\n')
('5:58\n', '2\n')
('5:57\n', '2\n')
('2:48\n', '2\n')
('2:47\n', '2\n')
('2:46\n', '2\n')
('2:45\n', '2\n')
('2:44\n', '2\n')
('2:43\n', '2\n')
('2:40\n', '2\n')
('1:12\n', '2\n')
('1:11\n', '2\n')
('1:10\n', '2\n')
('1:09\n', '2\n')
('1:08\n', '2\n')
('1:07\n', '2\n')
('1:07\n', '2\n')
('1:07\n', '2\n')
('1:07\n', '2\n')
('1:07\n', '2\n')
('9:15\n', '3\n')
('9:14\n', '3\n')
('9:13\n', '3\n')
('9:12\n', '3\n')
('9:11\n', '3\n')
('9:10\n', '3\n')
('7:47\n', '3\n')
('7:47\n', '3\n')
('7:46\n', '3\n')
('7:45\n', '3\n')
('7:44\n', '3\n')
('7:43\n', '3\n')
('7:41\n', '3\n')
('7:40\n', '3\n')
('5:29\n', '3\n')
('5:28\n', '3\n')
('5:27\n', '3\n')
('5:26\n', '3\n')
('5:25\n', '3\n')
('5:24\n', '3\n')
('7:01\n', '4\n')
('7:00\n', '4\n')
('6:59\n', '4\n')
('6:58\n', '4\n')
('6:57\n', '4\n')
('6:56\n', '4\n')
('6:55\n', '4\n')
('6:55\n', '4\n')
('5:25\n', '4\n')
('5:24\n', '4\n')
('5:23\n', '4\n')
('5:22\n', '4\n')
('5:21\n', '4\n')
('5:21\n', '4\n')
('5:21\n', '4\n')
('5:21\n', '4\n')
('5:21\n', '4\n')
('3:31\n', '4\n')
('3:30\n', '4\n')
('3:29\n', '4\n')
('3:28\n', '4\n')
('3:27\n', '4\n')
('3:26\n', '4\n')
('2:31\n', '4\n')
('2:30\n', '4\n')
('2:30\n', '4\n')
('2:28\n', '4\n')
('2:28\n', '4\n')
('2:27\n', '4\n')
('2:26\n', '4\n')
('2:20\n', '4\n')
('2:20\n', '4\n')
('2:20\n', '4\n')
('2:19\n', '4\n')
