('5:24\n', '1\n')
('5:23\n', '1\n')
('5:22\n', '1\n')
('5:21\n', '1\n')
('5:20\n', '1\n')
('3:0\n', '1\n')
('3:54\n', '1\n')
('3:53\n', '1\n')
('3:52\n', '1\n')
('3:51\n', '1\n')
('3:50\n', '1\n')
('3:49\n', '1\n')
('3:45\n', '1\n')
('2:02\n', '1\n')
('2:01\n', '1\n')
('2:00\n', '1\n')
('1:59\n', '1\n')
('1.58\n', '1\n')
('1.57\n', '1\n')
('10:4\n', '2\n')
('10:47\n', '2\n')
('10:46\n', '2\n')
('10:45\n', '2\n')
('10:44\n', '2\n')
('10:43\n', '2\n')
('10:42\n', '2\n')
('6:41\n', '2\n')
('6:40\n', '2\n')
('6:39\n', '2\n')
('6:38\n', '2\n')
('6:37\n', '2\n')
('6:36\n', '2\n')
('6:33\n', '2\n')
('6:32\n', '2\n')
('6:28\n', '2\n')
('6:27\n', '2\n')
('6:26\n', '2\n')
('6:25\n', '2\n')
('6:24\n', '2\n')
('6:23\n', '2\n')
(':04.5\n', '2\n')
(':03.5\n', '2\n')
(':02.6\n', '2\n')
(':01.6\n', '2\n')
(':00.6\n', '2\n')
(':00.0\n', '2\n')
('00.0\n', '2\n')
('7:40\n', '3\n')
('7:39\n', '3\n')
('7:38\n', '3\n')
('7:37\n', '3\n')
('7:36\n', '3\n')
('7:35\n', '3\n')
('2:39\n', '3\n')
('2:38\n', '3\n')
('2:37\n', '3\n')
('2:36\n', '3\n')
('2:35\n', '3\n')
('2:34\n', '3\n')
('2:33\n', '3\n')
('2:32\n', '3\n')
('2:25\n', '3\n')
('2:24\n', '3\n')
('22.2\n', '3\n')
('21.2\n', '3\n')
('20.2\n', '3\n')
('119.2\n', '3\n')
('118.2\n', '3\n')
('17.2\n', '3\n')
('16.3\n', '3\n')
('15.3\n', '3\n')
('15.2\n', '3\n')
('15.2\n', '3\n')
('15.2\n', '3\n')
('8.46\n', '4\n')
('845\n', '4\n')
('844\n', '4\n')
('843\n', '4\n')
('842\n', '4\n')
('841\n', '4\n')
('8:40\n', '4\n')
('8.37\n', '4\n')
