('6:20\n', '1\n')
('6:19\n', '1\n')
('6:18\n', '1\n')
('6:17\n', '1\n')
('6:16\n', '1\n')
('6:15\n', '1\n')
('6:14\n', '1\n')
('6:13\n', '1\n')
('6:12\n', '1\n')
('6:11\n', '1\n')
('6:10\n', '1\n')
('4:40\n', '1\n')
('4:39\n', '1\n')
('4:38\n', '1\n')
('4:37\n', '1\n')
('4:36\n', '1\n')
('4:35\n', '1\n')
('4:35\n', '1\n')
('4:35\n', '1\n')
('57.5\n', '1\n')
(':56.6\n', '1\n')
(':55.6\n', '1\n')
(':55.0\n', '1\n')
(':55.0\n', '1\n')
(':55.0\n', '1\n')
('55.0\n', '1\n')
('55.0\n', '1\n')
('10:06\n', '2\n')
('10:05\n', '2\n')
('10:04\n', '2\n')
('10:03\n', '2\n')
('10:02\n', '2\n')
('10:01\n', '2\n')
('10:01\n', '2\n')
('10:00\n', '2\n')
('9:59\n', '2\n')
('5:45\n', '2\n')
('5:44\n', '2\n')
('5:43\n', '2\n')
('5:42\n', '2\n')
('5:41\n', '2\n')
('5:40\n', '2\n')
('5:39\n', '2\n')
('2:56\n', '2\n')
('2:55\n', '2\n')
('2:54\n', '2\n')
('2:53\n', '2\n')
('2:52\n', '2\n')
('2:51\n', '2\n')
('2:50\n', '2\n')
('7:55\n', '3\n')
('7:55\n', '3\n')
('7:54\n', '3\n')
('7:53\n', '3\n')
('7:52\n', '3\n')
('7:51\n', '3\n')
('7:50\n', '3\n')
('7:49\n', '3\n')
('0:14\n', '3\n')
('0:13\n', '3\n')
(':12\n', '3\n')
('0:11\n', '3\n')
('0:10\n', '3\n')
(':09\n', '3\n')
('0:08\n', '3\n')
(':07\n', '3\n')
(':05\n', '3\n')
(':05\n', '3\n')
('9:15\n', '4\n')
('9:14\n', '4\n')
('9:13\n', '4\n')
('9:12\n', '4\n')
('9:11\n', '4\n')
('9:10\n', '4\n')
('6:55\n', '4\n')
('6:54\n', '4\n')
('6:53\n', '4\n')
('6:52\n', '4\n')
('6:51\n', '4\n')
('6:50\n', '4\n')
('6:49\n', '4\n')
('6:16\n', '4\n')
('6:15\n', '4\n')
('6:14\n', '4\n')
('6:14\n', '4\n')
('6:13\n', '4\n')
('6:12\n', '4\n')
('6:11\n', '4\n')
('6:10\n', '4\n')
('3:13\n', '4\n')
('3:12\n', '4\n')
('3:11\n', '4\n')
('3:10\n', '4\n')
('3:09\n', '4\n')
('3:08\n', '4\n')
('3:07\n', '4\n')
('3:06\n', '4\n')
('3:06\n', '4\n')
('3:05\n', '4\n')
('3:04\n', '4\n')
('3:03\n', '4\n')
(':41.2\n', '4\n')
(':40.2\n', '4\n')
(':39.2\n', '4\n')
(':38.2\n', '4\n')
(':37.2\n', '4\n')
(':36.2\n', '4\n')
(':35.5\n', '4\n')
(':35.5\n', '4\n')
(':23.4\n', '4\n')
(':22.5\n', '4\n')
('21.5\n', '4\n')
(':20.5\n', '4\n')
(':19.5\n', '4\n')
(':18.5\n', '4\n')
