('6:35\n', '1\n')
('6:34\n', '1\n')
('6:33\n', '1\n')
('6:32\n', '1\n')
('6:31\n', '1\n')
('6:28\n', '1\n')
('6:27\n', '1\n')
('5:57\n', '1\n')
('5:56\n', '11\n')
('5:55\n', '1\n')
('5:54\n', '1\n')
('5:53\n', '1\n')
('4:50\n', '11\n')
('4:49\n', '11\n')
('4:48\n', '1\n')
('4:47\n', '1\n')
('4:46\n', '1\n')
('4:45\n', '1\n')
('4:24\n', '1\n')
('4:23\n', '1\n')
('4:22\n', '1\n')
('4:21\n', '1\n')
('4:20\n', '1\n')
('4:20\n', '1\n')
('2:25\n', '1\n')
('2:24\n', '1\n')
('2:23\n', '1\n')
('2:22\n', '1\n')
('2:22\n', '1\n')
('2:21\n', '11\n')
('2:20\n', '1\n')
('2:16\n', '1\n')
('2:15\n', '1\n')
('5:13\n', '2\n')
('5:12\n', '2\n')
('511\n', '2\n')
('5:10\n', '2\n')
('5:10\n', '2\n')
('5:10\n', '2\n')
(':05.0\n', '2\n')
(':04.0\n', '2\n')
(':03.0\n', '2\n')
('102.1\n', '2\n')
(':02.0\n', '2\n')
('10:23\n', '3\n')
('10:22\n', '3\n')
('10:21\n', '3\n')
('10:20\n', '3\n')
('10:19\n', '3\n')
('10:18\n', '3\n')
('85:01\n', '3\n')
('5:00\n', '3\n')
('4:59\n', '3\n')
('4:58\n', '3\n')
('4:57\n', '3\n')
('4:56\n', '3\n')
('4:19\n', '3\n')
('4:18\n', '3\n')
('4:17\n', '3\n')
('4:16\n', '3\n')
('4:15\n', '3\n')
('3:30\n', '3\n')
('3:29\n', '3\n')
('3:28\n', '3\n')
('3:27\n', '3\n')
('3:26\n', '3\n')
('3:25\n', '3\n')
('3:24\n', '3\n')
('3:22\n', '3\n')
('3:21\n', '3\n')
('58.3\n', '3\n')
('57.3\n', '3\n')
('56.3\n', '3\n')
('55.3\n', '3\n')
('54.4\n', '3\n')
('53.4\n', '3\n')
('53.0\n', '3\n')
('7:53\n', '4\n')
('7:52\n', '4\n')
('7:51\n', '4\n')
('7:50\n', '4\n')
('7:49\n', '4\n')
('7:48\n', '4\n')
('7:47\n', '4\n')
('7:45\n', '4\n')
('7:44\n', '4\n')
('6:16\n', '4\n')
('6:15\n', '4\n')
('6:14\n', '4\n')
('6:13\n', '4\n')
('6:12\n', '4\n')
('6:12\n', '4\n')
('6:12\n', '4\n')
('6:12\n', '4\n')
('5:01\n', '4\n')
('5:00\n', '4\n')
('4:59\n', '4\n')
('4:58\n', '4\n')
('4:57\n', '4\n')
('3:34\n', '4\n')
('3:33\n', '4\n')
('3:32\n', '4\n')
('3:31\n', '4\n')
('3:30\n', '4\n')
('3:27\n', '4\n')
('3:26\n', '4\n')
