('10:13\n', '1\n')
('10:12\n', '1\n')
('10:12\n', '1\n')
('10:11\n', '1\n')
('10:10\n', '1\n')
('10:09\n', '1\n')
('10:08\n', '1\n')
('6:01\n', '1\n')
('5:57\n', '1\n')
('5:56\n', '1\n')
('11:18\n', '2\n')
('11:18\n', '2\n')
('11:17\n', '2\n')
('11:16\n', '2\n')
('11:16\n', '2\n')
('8:51\n', '2\n')
('8:50\n', '2\n')
('8:49\n', '2\n')
('8:48\n', '2\n')
('8:47\n', '2\n')
('8:46\n', '2\n')
('8:46\n', '2\n')
('8:46\n', '2\n')
('5:11\n', '2\n')
('5:10\n', '2\n')
('5:08\n', '2\n')
('5:07\n', '2\n')
('5:06\n', '2\n')
('5:02\n', '2\n')
('5:01\n', '2\n')
('2:53\n', '2\n')
('2:52\n', '2\n')
('2:51\n', '2\n')
('2:50\n', '2\n')
('2:49\n', '2\n')
('1:03\n', '2\n')
('1:02\n', '2\n')
('1:01\n', '2\n')
('1:00\n', '2\n')
('59.7\n', '2\n')
(':58.8\n', '2\n')
(':58.8\n', '2\n')
('9:05\n', '3\n')
('9:04\n', '3\n')
('9:03\n', '3\n')
('9:02\n', '3\n')
('9:01\n', '3\n')
('5:16\n', '3\n')
('5:15\n', '3\n')
('5:14\n', '3\n')
('5:14\n', '3\n')
('5:14\n', '3\n')
('5:14\n', '3\n')
('2:16\n', '3\n')
('2:15\n', '3\n')
('2:14\n', '3\n')
('2:13\n', '3\n')
('10:07\n', '4\n')
('10:06\n', '4\n')
('10:05\n', '4\n')
('10:04\n', '4\n')
('10:03\n', '4\n')
('10:02\n', '4\n')
('10:00\n', '4\n')
('9:59\n', '4\n')
('6:13\n', '4\n')
('6:12\n', '4\n')
('6:11\n', '4\n')
('6:10\n', '4\n')
('5:18\n', '4\n')
('1:13\n', '4\n')
('1:12\n', '4\n')
('1:11\n', '4\n')
('1:10\n', '4\n')
('1:10\n', '4\n')
(':41.5\n', '4\n')
(':46.5\n', '4\n')
(':45.6\n', '4\n')
(':44.6\n', '4\n')
(':43.6\n', '4\n')
(':42.6\n', '4\n')
(':42.2\n', '4\n')
(':42.2\n', '4\n')
(':42.2\n', '4\n')
(':03\n', '41\n')
(':03\n', '41\n')
(':02\n', '41\n')
(':01\n', '41\n')
(':00\n', '41\n')
(':00\n', '41\n')
(':00\n', '41\n')
(':00\n', '41\n')
