('7:30\n', '1\n')
('7:29\n', '1\n')
('7:28\n', '1\n')
('7:27\n', '1\n')
('7:26\n', '1\n')
('7:25\n', '1\n')
('7:24\n', '1\n')
('4:17\n', '1\n')
('4:16\n', '1\n')
('4:15\n', '1\n')
('4:14\n', '1\n')
('4:13\n', '1\n')
('539\n', '1\n')
('52.9\n', '1\n')
('52.0\n', '1\n')
('51.0\n', '1\n')
('50.0\n', '1\n')
('49.0\n', '1\n')
('48.3\n', '1\n')
('48.1\n', '1\n')
('37.2\n', '1\n')
('36.2\n', '1\n')
(':35.2\n', '1\n')
('34.2\n', '1\n')
('34.1\n', '1\n')
('34.1\n', '1\n')
('34.1\n', '1\n')
('10:1\n', '2\n')
('10:17\n', '2\n')
('10:1\n', '2\n')
('10:1\n', '2\n')
('1\n', '2\n')
('5:44\n', '2\n')
('5:43\n', '2\n')
('5:42\n', '2\n')
('4:18\n', '2\n')
('4:17\n', '2\n')
('4:16\n', '2\n')
('4:15\n', '2\n')
('4:14\n', '2\n')
('4:13\n', '2\n')
('4:12\n', '2\n')
('1:33\n', '2\n')
('1:32\n', '2\n')
('1:31\n', '2\n')
('1:30\n', '2\n')
('1:29\n', '2\n')
('1:28\n', '2\n')
('1:27\n', '2\n')
('1:26\n', '2\n')
('1:23\n', '2\n')
('1:22\n', '2\n')
('840\n', '3\n')
('8:39\n', '3\n')
('8:38\n', '3\n')
('837\n', '3\n')
('8.36\n', '3\n')
('8.35\n', '3\n')
('6:02\n', '3\n')
('6:01\n', '3\n')
('6:00\n', '3\n')
('5:59\n', '3\n')
('5:59\n', '3\n')
('5:59\n', '3\n')
('1:57\n', '3\n')
('1:56\n', '3\n')
('1:55\n', '3\n')
('1:54\n', '3\n')
('1:53\n', '3\n')
('1:53\n', '3\n')
('7:58\n', '4\n')
('7.57\n', '4\n')
('7.56\n', '4\n')
('7:55\n', '4\n')
('7:55\n', '4\n')
('7:55\n', '4\n')
('5:12\n', '4\n')
('511\n', '4\n')
('510\n', '4\n')
('5:09\n', '4\n')
('5:08\n', '4\n')
('5:07\n', '4\n')
('5:04\n', '4\n')
('5:03\n', '4\n')
('2:31\n', '4\n')
('2:30\n', '4\n')
('2:30\n', '4\n')
('2:29\n', '4\n')
('2:29\n', '4\n')
('2:29\n', '4\n')
('2:29\n', '4\n')
