('8:39\n', '1\n')
('8:38\n', '1\n')
('8:37\n', '1\n')
('8:36\n', '1\n')
('8:35\n', '1\n')
('8:34\n', '1\n')
('8:33\n', '1\n')
('8:31\n', '1\n')
('5:01\n', '1\n')
('5:00\n', '1\n')
('4:59\n', '1\n')
('4:58\n', '1\n')
('4:57\n', '1\n')
('4:56\n', '11\n')
('4:55\n', '1\n')
('2:27\n', '1\n')
('2:26\n', '1\n')
('2:25\n', '1\n')
('2:24\n', '1\n')
('2:23\n', '1\n')
('1:10\n', '1\n')
('1:09\n', '1\n')
('1:08\n', '1\n')
('1:07\n', '1\n')
('1:06\n', '1\n')
('1:05\n', '1\n')
('1:02\n', '1\n')
('1:01\n', '1\n')
('9:47\n', '2\n')
('9:46\n', '2\n')
('9:45\n', '2\n')
('9:44\n', '2\n')
('9:43\n', '2\n')
('9:42\n', '2\n')
('9:41\n', '2\n')
('7:27\n', '2\n')
('7:26\n', '2\n')
('7:25\n', '2\n')
('7:24\n', '2\n')
('7:23\n', '2\n')
('7:22\n', '2\n')
('1:52\n', '2\n')
('1:51\n', '2\n')
('1:50\n', '2\n')
('1:49\n', '2\n')
('1:48\n', '2\n')
('1:47\n', '2\n')
('8:51\n', '3\n')
('8:50\n', '3\n')
('8:49\n', '3\n')
('8:48\n', '3\n')
('8:47\n', '3\n')
('8:46\n', '3\n')
('8:45\n', '3\n')
('8:44\n', '3\n')
('7:39\n', '3\n')
('7:38\n', '3\n')
('7:37\n', '3\n')
('7:36\n', '3\n')
('7:35\n', '3\n')
('7:34\n', '3\n')
('7:32\n', '3\n')
('7:31\n', '3\n')
('5:11\n', '3\n')
('5:10\n', '3\n')
('5:09\n', '3\n')
('5:08\n', '3\n')
('5:07\n', '3\n')
('10:15\n', '4\n')
('10:14\n', '4\n')
('10:13\n', '4\n')
('10:12\n', '4\n')
('10:11\n', '4\n')
('10:09\n', '4\n')
('10:08\n', '4\n')
('7:20\n', '4\n')
('7:19\n', '4\n')
('7:18\n', '4\n')
('7:17\n', '4\n')
('7:16\n', '4\n')
('7:16\n', '4\n')
('4:31\n', '4\n')
('4:30\n', '4\n')
('4:29\n', '4\n')
('4:28\n', '4\n')
('4:27\n', '4\n')
('4:26\n', '41\n')
('4:25\n', '4\n')
('4:24\n', '4\n')
('4:23\n', '4\n')
