('7:40\n', '11\n')
('7:39\n', '1\n')
('7:38\n', '1\n')
('1:37\n', '1\n')
('7:36\n', '11\n')
('7:33\n', '1\n')
('1:32\n', '1\n')
('5:57\n', '11\n')
('5:55\n', '1\n')
('5:54\n', '1\n')
('5:53\n', '1\n')
('5:52\n', '1\n')
('5:51\n', '1\n')
('5:60\n', '1\n')
('3:04\n', '1\n')
('3:03\n', '1\n')
('3:02\n', '1\n')
('3:01\n', '1\n')
('3:00\n', '11\n')
('2:59\n', '1\n')
(':31.6\n', '11\n')
(':30.6\n', '1\n')
('29.6\n', '1\n')
(':28.6\n', '1\n')
('28.5\n', '1\n')
('28.5\n', '1\n')
(':28.5\n', '1\n')
(':28.2\n', '1\n')
('8:48\n', '2\n')
('8:47\n', '2\n')
('8:47\n', '2\n')
('8:46\n', '2\n')
('8:45\n', '2\n')
('8:44\n', '2\n')
('7:49\n', '2\n')
('7:48\n', '2\n')
('7:48\n', '2\n')
('7:47\n', '2\n')
('7:46\n', '2\n')
('5:42\n', '2\n')
('5:41\n', '2\n')
('5:40\n', '2\n')
('5:39\n', '2\n')
('5:38\n', '2\n')
('5:37\n', '2\n')
('5:37\n', '2\n')
('5:37\n', '2\n')
('5:37\n', '2\n')
('4:21\n', '2\n')
('4:20\n', '2\n')
('4:19\n', '2\n')
('4:18\n', '2\n')
('4:17\n', '2\n')
('11:42\n', '3\n')
('11:42\n', '3\n')
('11:41\n', '3\n')
('11:40\n', '3\n')
('11:39\n', '3\n')
('11:38\n', '3\n')
('10:57\n', '3\n')
('10:56\n', '3\n')
('10:55\n', '3\n')
('10:54\n', '3\n')
('10:53\n', '3\n')
('10:52\n', '3\n')
('10:22\n', '3\n')
('10:21\n', '3\n')
('10:20\n', '3\n')
('10:19\n', '3\n')
('10:18\n', '3\n')
('10:17\n', '3\n')
('10:15\n', '3\n')
('10:14\n', '3\n')
('8:40\n', '3\n')
('8:39\n', '3\n')
('8:38\n', '3\n')
('8:37\n', '3\n')
('8:36\n', '3\n')
('8:36\n', '3\n')
('6:15\n', '3\n')
('6:14\n', '3\n')
('6:13\n', '3\n')
('6:12\n', '3\n')
('6:11\n', '3\n')
('6:10\n', '3\n')
('6:08\n', '3\n')
('6:07\n', '3\n')
('6:07\n', '3\n')
('6:06\n', '3\n')
