('11:43\n', '1\n')
('11:42\n', '1\n')
('11:41\n', '1\n')
('11:40\n', '1\n')
('11:39\n', '1\n')
('9:23\n', '1\n')
('9:22\n', '1\n')
('9:21\n', '1\n')
('9:20\n', '1\n')
('9:19\n', '1\n')
('9:18\n', '1\n')
('8:33\n', '1\n')
('8:32\n', '1\n')
('8:31\n', '1\n')
('8:30\n', '1\n')
('8:29\n', '1\n')
('7:54\n', '1\n')
('7:53\n', '1\n')
('7:52\n', '1\n')
('7:51\n', '1\n')
('1:67\n', '1\n')
('7:06\n', '1\n')
('7:05\n', '1\n')
('7:04\n', '1\n')
('7:03\n', '1\n')
('7:02\n', '1\n')
('7:01\n', '1\n')
('7:00\n', '1\n')
('4:01\n', '1\n')
('4:00\n', '1\n')
('3:59\n', '1\n')
('3:58\n', '1\n')
('3:57\n', '1\n')
('3:56\n', '1\n')
('3:55\n', '1\n')
('10:01\n', '2\n')
('10:00\n', '2\n')
('9:58\n', '2\n')
('9:57\n', '2\n')
('9:57\n', '2\n')
('9:29\n', '2\n')
('9:28\n', '2\n')
('9:27\n', '2\n')
('9:26\n', '2\n')
('9:25\n', '2\n')
('9:24\n', '2\n')
('9:23\n', '2\n')
('9:19\n', '2\n')
('8:07\n', '2\n')
('8:05\n', '2\n')
('6:03\n', '2\n')
('6:02\n', '2\n')
('6:01\n', '2\n')
('5:59\n', '2\n')
('5:59\n', '2\n')
('2:52\n', '2\n')
('2:51\n', '2\n')
('2:50\n', '2\n')
('2:49\n', '2\n')
('2:48\n', '2\n')
('2:48\n', '2\n')
('2:48\n', '2\n')
('1:18\n', '2\n')
('1:17\n', '2\n')
('1:16\n', '2\n')
('1:15\n', '2\n')
('1:14\n', '2\n')
('.\n', '1\n')
('9:19\n', '3\n')
('9:18\n', '3\n')
('9:17\n', '3\n')
('9:16\n', '3\n')
('9:15\n', '3\n')
('9:14\n', '3\n')
('5:59\n', '3\n')
('5:58\n', '3\n')
('5:57\n', '3\n')
('5:56\n', '3\n')
('5:55\n', '3\n')
(':29.8\n', '3\n')
(':28.8\n', '3\n')
(':27.8\n', '3\n')
(':26.8\n', '3\n')
(':25.9\n', '3\n')
(':25.3\n', '3\n')
('11:21\n', '4\n')
('11:26\n', '4\n')
('11:25\n', '4\n')
('11:24\n', '4\n')
('11:23\n', '4\n')
