('8:40\n', '1\n')
('8:39\n', '1\n')
('8:38\n', '1\n')
('8:37\n', '1\n')
('5:34\n', '1\n')
('5:33\n', '1\n')
('8:31\n', '1\n')
('5:30\n', '1\n')
('11:17\n', '2\n')
('11:14\n', '2\n')
('9:54\n', '2\n')
('9.53\n', '2\n')
('9.52\n', '2\n')
('9:49\n', '2\n')
('9:48\n', '2\n')
('4:20\n', '2\n')
('4:19\n', '2\n')
('1:17\n', '2\n')
('10:45\n', '3\n')
('10:44\n', '3\n')
('10:43\n', '3\n')
('10:42\n', '3\n')
('10:41\n', '3\n')
('10:40\n', '3\n')
('10:40\n', '3\n')
('10:00\n', '3\n')
('9.59\n', '3\n')
('9.58\n', '3\n')
('9.57\n', '3\n')
('9:56\n', '3\n')
('3:51\n', '3\n')
('3:50\n', '3\n')
('3:49\n', '3\n')
('3:48\n', '3\n')
('3:47\n', '3\n')
('3:46\n', '3\n')
('3:45\n', '3\n')
('3:44\n', '3\n')
(':11\n', '3\n')
('2:10\n', '3\n')
('2:09\n', '3\n')
('2:08\n', '3\n')
('2:07\n', '3\n')
('2:04\n', '3\n')
('2:04\n', '3\n')
('9:32\n', '4\n')
('9:31\n', '4\n')
('9:30\n', '4\n')
('9:29\n', '4\n')
('9:28\n', '4\n')
('9.27\n', '4\n')
('6:23\n', '4\n')
('.2\n', '4\n')
('8.21\n', '4\n')
('5.20\n', '4\n')
('5:19\n', '4\n')
