('10:13\n', '1\n')
('10:12\n', '1\n')
('10:11\n', '1\n')
('10:10\n', '1\n')
('10:09\n', '1\n')
('10:08\n', '1\n')
('4:40\n', '1\n')
('4:39\n', '1\n')
('4:38\n', '1\n')
('4:37\n', '1\n')
('4:36\n', '1\n')
('4:33\n', '1\n')
('4:32\n', '1\n')
('1:31\n', '1\n')
('1:30\n', '1\n')
('1:29\n', '1\n')
('1:28\n', '1\n')
('1:27\n', '1\n')
('1:26\n', '1\n')
('11:07\n', '2\n')
('11:06\n', '2\n')
('11:05\n', '2\n')
('11:04\n', '2\n')
('11:03\n', '2\n')
('11:02\n', '2\n')
('11:01\n', '2\n')
('11:00\n', '2\n')
('10:58\n', '2\n')
('10:57\n', '2\n')
('10:55\n', '2\n')
('10:55\n', '2\n')
('10:55\n', '2\n')
('10:55\n', '2\n')
('10:55\n', '2\n')
('10:55\n', '2\n')
('10:55\n', '2\n')
('10:55\n', '2\n')
('10:55\n', '2\n')
('10:55\n', '2\n')
('10:55\n', '2\n')
('10:55\n', '2\n')
('10:55\n', '2\n')
('10:55\n', '2\n')
('6:42\n', '2\n')
('6:41\n', '2\n')
('6:40\n', '2\n')
('6:39\n', '2\n')
('6:38\n', '2\n')
('2:43\n', '2\n')
('2:42\n', '2\n')
('2:41\n', '2\n')
('2:40\n', '2\n')
('2:39\n', '2\n')
('2:38\n', '2\n')
('1:25\n', '2\n')
('1:24\n', '2\n')
('1:23\n', '2\n')
('1:22\n', '2\n')
('1:21\n', '2\n')
('1:20\n', '2\n')
('27.3\n', '2\n')
(':26.3\n', '2\n')
(':25.3\n', '2\n')
(':24.3\n', '2\n')
(':23.4\n', '2\n')
(':22.8\n', '2\n')
('10:57\n', '3\n')
('10:56\n', '3\n')
('10:55\n', '3\n')
('10:54\n', '3\n')
('10:53\n', '3\n')
('10:52\n', '3\n')
('10:51\n', '3\n')
('8:28\n', '3\n')
('8:27\n', '3\n')
('8:26\n', '3\n')
('8:25\n', '3\n')
('8:24\n', '3\n')
('8:23\n', '3\n')
('7:38\n', '3\n')
('7:37\n', '3\n')
('7:36\n', '3\n')
('7:35\n', '3\n')
('7:34\n', '3\n')
('7:33\n', '3\n')
('7:32\n', '3\n')
('2:24\n', '3\n')
('2:23\n', '3\n')
('2:22\n', '3\n')
('2:21\n', '3\n')
('2:20\n', '3\n')
