('9:24\n', '1\n')
('9:23\n', '1\n')
('9:22\n', '1\n')
('9:21\n', '1\n')
('9:20\n', '1\n')
('9:19\n', '1\n')
('9:18\n', '1\n')
('5:29\n', '1\n')
('5:28\n', '1\n')
('5:27\n', '1\n')
('5:26\n', '1\n')
('5:25\n', '1\n')
('5:24\n', '1\n')
('2:00\n', '1\n')
('1:59\n', '1\n')
('1:58\n', '1\n')
('1:57\n', '1\n')
('1:56\n', '1\n')
('1:55\n', '1\n')
('1:54\n', '1\n')
('1:53\n', '1\n')
('11:21\n', '2\n')
('11:26\n', '2\n')
('11:25\n', '2\n')
('11:24\n', '2\n')
('11:23\n', '2\n')
('11:24\n', '2\n')
('11:21\n', '2\n')
('11:2\n', '2\n')
('8:03\n', '2\n')
('8:02\n', '2\n')
('8:01\n', '2\n')
('7:59\n', '2\n')
('7:58\n', '2\n')
('1:57\n', '2\n')
('71:54\n', '2\n')
('7:53\n', '2\n')
('5:07\n', '2\n')
('5:06\n', '2\n')
('5:05\n', '2\n')
('5:04\n', '2\n')
('5:03\n', '2\n')
('4:58\n', '2\n')
('4:57\n', '2\n')
('7:39\n', '3\n')
('7:38\n', '3\n')
('7:37\n', '3\n')
('7:36\n', '3\n')
('7:35\n', '3\n')
('7:34\n', '3\n')
('7:34\n', '3\n')
('7:33\n', '3\n')
('7:33\n', '3\n')
('5:04\n', '3\n')
('5:03\n', '3\n')
('5:02\n', '3\n')
('5:01\n', '3\n')
('5:00\n', '3\n')
('4:59\n', '3\n')
('4:59\n', '3\n')
('4:59\n', '3\n')
('4:59\n', '3\n')
('11:0\n', '4\n')
('10:5\n', '4\n')
('10:5\n', '4\n')
('10:57\n', '4\n')
('10:56\n', '4\n')
('10:5\n', '4\n')
('10:54\n', '4\n')
('10:52\n', '4\n')
('10:52\n', '4\n')
('10:51\n', '4\n')
('10:51\n', '4\n')
('10:5\n', '4\n')
('5:25\n', '4\n')
('5:24\n', '4\n')
('5:23\n', '4\n')
('5:22\n', '4\n')
('5:21\n', '4\n')
('5:20\n', '4\n')
('5:19\n', '4\n')
('4:14\n', '4\n')
('4:13\n', '4\n')
('4:12\n', '4\n')
('4:11\n', '4\n')
('4:10\n', '4\n')
('4:09\n', '4\n')
('4:08\n', '4\n')
('4:07\n', '4\n')
('4:06\n', '4\n')
('2:02\n', '4\n')
('2:01\n', '4\n')
('2:00\n', '4\n')
('1:59\n', '4\n')
('1:58\n', '4\n')
('1:58\n', '4\n')
('1:58\n', '4\n')
('1:58\n', '4\n')
('1:58\n', '4\n')
('1:58\n', '4\n')
(':13\n', '41\n')
(':12\n', '41\n')
(':11\n', '41\n')
(':10\n', '41\n')
(':10\n', '4\n')
(':10\n', '41\n')
(':10\n', '4\n')
(':06\n', '41\n')
(':06\n', '4\n')
(':05\n', '41\n')
(':05\n', '41\n')
(':04\n', '41\n')
(':03\n', '41\n')
(':03\n', '41\n')
(':03\n', '4\n')
(':03\n', '41\n')
(':03\n', '41\n')
(':03\n', '41\n')
(':03\n', '41\n')
(':03\n', '41\n')
