('7:25\n', '1\n')
('7:24\n', '1\n')
('7:23\n', '1\n')
('7:22\n', '1\n')
('7:21\n', '1\n')
('7:20\n', '1\n')
('7:17\n', '1\n')
('4:22\n', '1\n')
('421\n', '1\n')
('4:20\n', '1\n')
('4.19\n', '1\n')
('418\n', '1\n')
('4:17\n', '1\n')
('415\n', '1\n')
('05.8\n', '1\n')
('04.9\n', '1\n')
(':03.9\n', '1\n')
('02.9\n', '1\n')
('01.9\n', '1\n')
('00.9\n', '1\n')
('00.6\n', '1\n')
('8:19\n', '2\n')
('8:18\n', '2\n')
('8:17\n', '2\n')
('8:16\n', '2\n')
('8:15\n', '2\n')
('8:14\n', '2\n')
('8:13\n', '2\n')
('1:55\n', '2\n')
('1:54\n', '2\n')
('1.53\n', '2\n')
('1:52\n', '2\n')
('1.52\n', '2\n')
('1:52\n', '2\n')
('1:52\n', '2\n')
('1:52\n', '2\n')
(':39.7\n', '2\n')
(':38.7\n', '2\n')
(':37.7\n', '2\n')
(':36.7\n', '2\n')
(':35.8\n', '2\n')
(':34.7\n', '2\n')
(':33.8\n', '2\n')
(':32.8\n', '2\n')
(':32.5\n', '2\n')
('11:36\n', '3\n')
('11:35\n', '3\n')
('11:34\n', '3\n')
('11:33\n', '3\n')
('11:32\n', '3\n')
('11:31\n', '3\n')
('11:30\n', '3\n')
('11:29\n', '3\n')
('11:27\n', '3\n')
('11:26\n', '3\n')
('11:07\n', '3\n')
('11:06\n', '3\n')
('11:05\n', '3\n')
('11:04\n', '3\n')
('11:03\n', '3\n')
('11:02\n', '3\n')
('11:01\n', '3\n')
('6:16\n', '3\n')
('6:15\n', '3\n')
('6:14\n', '3\n')
('6:13\n', '3\n')
('6:12\n', '3\n')
('6:11\n', '3\n')
('6:10\n', '3\n')
('11:13\n', '4\n')
('11:13\n', '4\n')
('11:12\n', '4\n')
('11:11\n', '4\n')
('11:10\n', '4\n')
('11:09\n', '4\n')
('11:08\n', '4\n')
('5:21\n', '4\n')
('5:20\n', '4\n')
('5:19\n', '4\n')
('5:18\n', '4\n')
('5:17\n', '4\n')
('5:16\n', '4\n')
('5:15\n', '4\n')
('5:14\n', '4\n')
('4:20\n', '4\n')
('4:19\n', '4\n')
('4:18\n', '4\n')
('4:17\n', '4\n')
('4:16\n', '4\n')
('4:15\n', '4\n')
('4:14\n', '4\n')
('4:14\n', '4\n')
