('7:30\n', '1\n')
('1:29\n', '1\n')
('7:28\n', '1\n')
('1:27\n', '1\n')
('7:26\n', '1\n')
('1:25\n', '1\n')
('1:24\n', '1\n')
('6:39\n', '1\n')
('6:38\n', '1\n')
('6:37\n', '1\n')
('6:36\n', '1\n')
('6:35\n', '1\n')
(':38.1\n', '1\n')
('37.1\n', '1\n')
(':36.1\n', '1\n')
(':35.2\n', '1\n')
('34.7\n', '1\n')
('10:16\n', '2\n')
('10:15\n', '2\n')
('10:14\n', '2\n')
('10:13\n', '2\n')
('10:12\n', '2\n')
('10:11\n', '2\n')
('5:14\n', '2\n')
('5:13\n', '2\n')
('5:12\n', '2\n')
('5:11\n', '2\n')
('5:10\n', '2\n')
('5:09\n', '2\n')
('3:30\n', '2\n')
('3:29\n', '2\n')
('3:28\n', '2\n')
('3:27\n', '2\n')
('3:26\n', '2\n')
('2:11\n', '2\n')
('2:10\n', '2\n')
('2:09\n', '2\n')
('2:08\n', '2\n')
(':29.8\n', '2\n')
(':28.9\n', '2\n')
('27.8\n', '2\n')
(':26.9\n', '2\n')
(':25.9\n', '2\n')
('10:52\n', '3\n')
('10:51\n', '3\n')
('10:50\n', '3\n')
('10:49\n', '3\n')
('10:48\n', '3\n')
('10:48\n', '3\n')
('7:08\n', '3\n')
('1:07\n', '3\n')
('7:06\n', '3\n')
('7:05\n', '3\n')
('7:04\n', '3\n')
('11:46\n', '4\n')
('11:45\n', '4\n')
('11:44\n', '4\n')
('11:43\n', '4\n')
('11:42\n', '4\n')
('11:41\n', '4\n')
('11:40\n', '4\n')
('10:31\n', '4\n')
('10:30\n', '4\n')
('10:28\n', '4\n')
('10:28\n', '4\n')
('10:27\n', '4\n')
('10:26\n', '4\n')
('9:22\n', '4\n')
('9:21\n', '4\n')
('9:20\n', '4\n')
('9:19\n', '4\n')
('9:18\n', '4\n')
('9:17\n', '4\n')
('9:16\n', '4\n')
('9:14\n', '4\n')
('9:13\n', '4\n')
('9:12\n', '4\n')
('5:22\n', '4\n')
('5:21\n', '4\n')
('5:20\n', '4\n')
('5:19\n', '4\n')
('5:18\n', '4\n')
('4:12\n', '4\n')
('4:11\n', '4\n')
('4:10\n', '4\n')
('4:09\n', '4\n')
('4:08\n', '4\n')
('4:07\n', '4\n')
('4:07\n', '4\n')
(':12\n', '4\n')
(':11\n', '41\n')
(':09\n', '41\n')
(':09\n', '4\n')
(':09\n', '41\n')
(':09\n', '4\n')
(':06\n', '41\n')
(':05\n', '41\n')
(':04\n', '41\n')
(':03\n', '4\n')
(':03\n', '4\n')
(':02\n', '41\n')
(':02\n', '41\n')
(':02\n', '41\n')
(':02\n', '41\n')
(':01\n', '4\n')
(':00\n', '4\n')
('1:29\n', '2\n')
('1:28\n', '2\n')
('1:28\n', '2\n')
('1:27\n', '2\n')
('1:26\n', '2\n')
('1:25\n', '2\n')
('1:13\n', '2\n')
('1:12\n', '2\n')
('1:11\n', '2\n')
('1:10\n', '2\n')
('1:09\n', '2\n')
('1:09\n', '2\n')
('1:09\n', '2\n')
('1:09\n', '2\n')
('1:09\n', '2\n')
('1:08\n', '2\n')
