('9:39\n', '1\n')
('9:38\n', '1\n')
('9:37\n', '1\n')
('9:36\n', '1\n')
('9:35\n', '1\n')
('9:34\n', '1\n')
('9:33\n', '1\n')
('6:05\n', '1\n')
('6:04\n', '1\n')
('6:03\n', '1\n')
('6:02\n', '1\n')
('6:01\n', '1\n')
('5:48\n', '1\n')
('5:47\n', '1\n')
('5:46\n', '1\n')
('5:45\n', '1\n')
('5:44\n', '1\n')
('5:43\n', '1\n')
('3:49\n', '1\n')
('3:48\n', '1\n')
('3:47\n', '1\n')
('3:46\n', '1\n')
('3:45\n', '1\n')
('3:44\n', '1\n')
('3:43\n', '1\n')
('3:41\n', '1\n')
('3:40\n', '1\n')
(':27.6\n', '1\n')
(':26.6\n', '1\n')
('125.7\n', '1\n')
('24.7\n', '1\n')
('24.1\n', '1\n')
('24.1\n', '11\n')
('123.5\n', '1\n')
('22.5\n', '1\n')
('9:31\n', '2\n')
('9:30\n', '2\n')
('9:29\n', '2\n')
('9:28\n', '2\n')
('9:27\n', '2\n')
('9:26\n', '2\n')
('3:11\n', '2\n')
('3:10\n', '2\n')
('3:09\n', '2\n')
('3:08\n', '2\n')
('3:07\n', '2\n')
('3:06\n', '2\n')
('3:05\n', '2\n')
(':44.3\n', '2\n')
(':43.3\n', '2\n')
(':42.3\n', '2\n')
(':41.3\n', '2\n')
(':40.3\n', '2\n')
(':39.7\n', '2\n')
(':39.7\n', '2\n')
(':39.6\n', '2\n')
(':38.6\n', '2\n')
('10:17\n', '3\n')
('10:16\n', '3\n')
('10:15\n', '3\n')
('10:14\n', '3\n')
('10:13\n', '3\n')
('10:13\n', '3\n')
('10:13\n', '3\n')
('6:55\n', '3\n')
('6:54\n', '3\n')
('6:53\n', '3\n')
('6:52\n', '3\n')
('6:51\n', '3\n')
('6:50\n', '3\n')
('6:49\n', '3\n')
('6:01\n', '3\n')
('5:59\n', '3\n')
('5:58\n', '3\n')
('5:57\n', '3\n')
('5:56\n', '3\n')
('5:54\n', '3\n')
('5:53\n', '3\n')
(':55.0\n', '3\n')
(':54.1\n', '3\n')
(':53.1\n', '3\n')
('52.1\n', '3\n')
(':51.1\n', '3\n')
(':50.3\n', '3\n')
(':50.3\n', '3\n')
('10:10\n', '4\n')
('10:09\n', '4\n')
('10:08\n', '4\n')
('10:07\n', '4\n')
('10:06\n', '4\n')
('10:05\n', '4\n')
('10:04\n', '4\n')
('6:45\n', '4\n')
('6:44\n', '4\n')
('6:44\n', '4\n')
('6:43\n', '4\n')
('6:42\n', '4\n')
('6:41\n', '4\n')
('6:40\n', '4\n')
