('7:24\n', '1\n')
('7:23\n', '1\n')
('7:22\n', '1\n')
('7:21\n', '1\n')
('7:20\n', '1\n')
('7:19\n', '1\n')
('4:54\n', '1\n')
('4:53\n', '1\n')
('4:52\n', '1\n')
('4:51\n', '1\n')
('4:50\n', '1\n')
('4:49\n', '1\n')
('1:33\n', '1\n')
('1:33\n', '1\n')
('1:32\n', '1\n')
('1:31\n', '1\n')
('1:31\n', '1\n')
('03.3\n', '1\n')
('02.7\n', '1\n')
('01.7\n', '1\n')
(':00.7\n', '1\n')
(':00.0\n', '1\n')
('8:30\n', '2\n')
('8:29\n', '2\n')
('8:28\n', '2\n')
('8:27\n', '2\n')
('8:26\n', '2\n')
('8:25\n', '2\n')
('7:20\n', '2\n')
('7:19\n', '2\n')
('7:18\n', '2\n')
('7:17\n', '2\n')
('7:16\n', '2\n')
('5:28\n', '2\n')
('5:27\n', '2\n')
('5:26\n', '2\n')
('5:25\n', '2\n')
('5:24\n', '2\n')
('5:02\n', '2\n')
('5:01\n', '2\n')
('5:00\n', '2\n')
('4.59\n', '2\n')
('4.58\n', '2\n')
('3:22\n', '2\n')
('3:21\n', '2\n')
('3:20\n', '2\n')
('3:19\n', '2\n')
('3:18\n', '2\n')
('3:17\n', '2\n')
('54.7\n', '2\n')
('53.7\n', '2\n')
('52.8\n', '2\n')
('51.8\n', '2\n')
('50.8\n', '2\n')
('50.6\n', '2\n')
('9:33\n', '3\n')
('9:32\n', '3\n')
('9:31\n', '3\n')
('9:30\n', '3\n')
('9:29\n', '3\n')
('9:28\n', '3\n')
('8.22\n', '3\n')
('8.21\n', '3\n')
('8:20\n', '3\n')
('8:19\n', '3\n')
('8:18\n', '3\n')
('8:17\n', '3\n')
('6:55\n', '3\n')
('6:54\n', '3\n')
('6:53\n', '3\n')
('6:52\n', '3\n')
('6:51\n', '3\n')
('6:50\n', '3\n')
('1:03\n', '3\n')
('1:02\n', '3\n')
('1:01\n', '3\n')
('1:00\n', '3\n')
('59.1\n', '3\n')
('58.2\n', '3\n')
('57.4\n', '3\n')
('57.4\n', '3\n')
