('6:18\n', '1\n')
('6:17\n', '1\n')
('6:16\n', '1\n')
('6:15\n', '1\n')
('6:14\n', '1\n')
('6:13\n', '1\n')
('6:12\n', '1\n')
('3:36\n', '1\n')
('3:35\n', '1\n')
('3:34\n', '1\n')
('3:33\n', '1\n')
('3:32\n', '1\n')
('10:31\n', '2\n')
('10:3\n', '2\n')
('10:26\n', '2\n')
('10:26\n', '2\n')
('10:27\n', '2\n')
('10:2\n', '2\n')
('841\n', '2\n')
('8:40\n', '2\n')
('8:39\n', '2\n')
('8:38\n', '2\n')
('8:37\n', '2\n')
('8:36\n', '2\n')
('6:49\n', '2\n')
('6:48\n', '2\n')
('6:47\n', '2\n')
('6:46\n', '2\n')
('6:45\n', '2\n')
('3.39\n', '2\n')
('3:34\n', '2\n')
('3:33\n', '2\n')
('3:32\n', '2\n')
('3:31\n', '2\n')
('3:30\n', '2\n')
('3:29\n', '2\n')
('3:26\n', '2\n')
('3:25\n', '2\n')
('1:38\n', '2\n')
('1:37\n', '2\n')
('1:36\n', '2\n')
('1:35\n', '2\n')
('1:34\n', '2\n')
('1:33\n', '2\n')
('9:15\n', '3\n')
('9:14\n', '3\n')
('9:13\n', '3\n')
('9:12\n', '3\n')
('9:11\n', '3\n')
('9:10\n', '3\n')
('826\n', '3\n')
('825\n', '3\n')
('8.24\n', '3\n')
('823\n', '3\n')
('8.22\n', '3\n')
('821\n', '3\n')
('8.20\n', '3\n')
('8:19\n', '3\n')
('8:18\n', '3\n')
('3:56\n', '3\n')
('3:55\n', '3\n')
('3:54\n', '3\n')
('3.53\n', '3\n')
('3.52\n', '3\n')
('351\n', '3\n')
('3:50\n', '3\n')
('41.5\n', '3\n')
('40.5\n', '3\n')
(':39.5\n', '3\n')
(':38.5\n', '3\n')
(':37.5\n', '3\n')
(':36.9\n', '3\n')
(':36.9\n', '3\n')
('9:36\n', '4\n')
('9:35\n', '4\n')
('9:34\n', '4\n')
('9:33\n', '4\n')
('9:32\n', '4\n')
('9:31\n', '4\n')
('9:30\n', '4\n')
('5:51\n', '4\n')
('551\n', '4\n')
('5:50\n', '4\n')
('5:49\n', '4\n')
('5:48\n', '4\n')
('547\n', '4\n')
('5:46\n', '4\n')
('5:45\n', '4\n')
