('9:22\n', '1\n')
('9:21\n', '1\n')
('9:20\n', '1\n')
('9:19\n', '1\n')
('9:18\n', '1\n')
('9:17\n', '1\n')
('9:16\n', '1\n')
('9:15\n', '1\n')
('5:48\n', '1\n')
('5:47\n', '1\n')
('5:46\n', '1\n')
('5:45\n', '1\n')
('5:44\n', '1\n')
('5:43\n', '1\n')
('3:56\n', '1\n')
('3:55\n', '1\n')
('3:54\n', '1\n')
('3:53\n', '1\n')
('3:52\n', '1\n')
('3:51\n', '1\n')
('3:50\n', '1\n')
('2:16\n', '1\n')
('2:15\n', '1\n')
('2:14\n', '1\n')
('2:13\n', '1\n')
('2:12\n', '1\n')
('2:11\n', '1\n')
('2:10\n', '1\n')
('2:09\n', '1\n')
('2:07\n', '1\n')
('2:06\n', '11\n')
('7:33\n', '2\n')
('7:32\n', '2\n')
('7:31\n', '2\n')
('7:30\n', '2\n')
('7:29\n', '2\n')
('7:28\n', '2\n')
('2:13\n', '2\n')
('2:12\n', '2\n')
('2:11\n', '2\n')
('2:10\n', '2\n')
('2:09\n', '2\n')
('2:08\n', '2\n')
('2:07\n', '2\n')
('2:04\n', '2\n')
('108.2\n', '2\n')
('107.2\n', '2\n')
('106.2\n', '2\n')
(':05.2\n', '2\n')
('104.2\n', '2\n')
('103.7\n', '2\n')
(':03.7\n', '2\n')
('8:46\n', '3\n')
('8:45\n', '3\n')
('8:44\n', '3\n')
('8:43\n', '3\n')
('8:42\n', '3\n')
('8:41\n', '3\n')
('8:40\n', '3\n')
('5:49\n', '3\n')
('5:48\n', '3\n')
('5:47\n', '3\n')
('5:46\n', '3\n')
('5:45\n', '3\n')
('5:44\n', '3\n')
('5:43\n', '3\n')
('5:42\n', '3\n')
('5:42\n', '3\n')
('5:42\n', '3\n')
(':07.8\n', '3\n')
(':06.8\n', '3\n')
(':05.8\n', '3\n')
(':04.9\n', '3\n')
(':03.9\n', '3\n')
(':03.1\n', '3\n')
('103.1\n', '3\n')
('103.1\n', '3\n')
('8:36\n', '41\n')
('8:35\n', '41\n')
('8:34\n', '41\n')
('8:33\n', '41\n')
('8:32\n', '41\n')
('8:31\n', '41\n')
('5:13\n', '41\n')
('5:12\n', '41\n')
('5:11\n', '41\n')
('5:10\n', '41\n')
('5:09\n', '41\n')
('5:08\n', '41\n')
('5:07\n', '41\n')
('5:06\n', '41\n')
('5:05\n', '41\n')
('5:04\n', '41\n')
('5:02\n', '4\n')
('2:49\n', '4\n')
('2:48\n', '41\n')
('2:47\n', '41\n')
('2:46\n', '41\n')
('2:45\n', '41\n')
('2:44\n', '41\n')
('2:43\n', '41\n')
('2:42\n', '41\n')
('2:41\n', '41\n')
('241\n', '4\n')
('2:41\n', '41\n')
('2:40\n', '41\n')
