('7:56\n', '1\n')
('7:55\n', '1\n')
('7:54\n', '1\n')
('7:53\n', '1\n')
('7:52\n', '1\n')
('751\n', '1\n')
('4.03\n', '1\n')
('4.02\n', '1\n')
('4.01\n', '1\n')
('4.00\n', '1\n')
('3:59\n', '1\n')
('3.05\n', '1\n')
('3.04\n', '1\n')
('3.03\n', '1\n')
('3.02\n', '1\n')
('3:01\n', '1\n')
('3:00\n', '1\n')
('2:59\n', '1\n')
('2:58\n', '1\n')
('10:33\n', '2\n')
('10:32\n', '2\n')
('10:31\n', '2\n')
('10:30\n', '2\n')
('110:29\n', '2\n')
('10:28\n', '2\n')
('10:27\n', '2\n')
('10:26\n', '2\n')
('110:25\n', '2\n')
('7:46\n', '2\n')
('7:45\n', '2\n')
('7:44\n', '2\n')
('7.43\n', '2\n')
('7:42\n', '2\n')
('7:41\n', '2\n')
('7:40\n', '2\n')
('7:40\n', '2\n')
('7:40\n', '2\n')
('6:33\n', '2\n')
('6:32\n', '2\n')
('6:31\n', '2\n')
('6:30\n', '2\n')
('6:29\n', '2\n')
('6:28\n', '2\n')
('2:58\n', '2\n')
('2:57\n', '2\n')
('2:56\n', '2\n')
('2:55\n', '2\n')
('2:54\n', '2\n')
('2:54\n', '2\n')
('2:54\n', '2\n')
('254\n', '2\n')
('2:54\n', '2\n')
('9:38\n', '3\n')
('9:37\n', '3\n')
('9:36\n', '3\n')
('9:35\n', '3\n')
('9:34\n', '3\n')
('9:33\n', '3\n')
('9:32\n', '3\n')
('9:31\n', '3\n')
('9:30\n', '3\n')
('9:29\n', '3\n')
('9:28\n', '3\n')
('9:27\n', '3\n')
('2:26\n', '3\n')
('2:25\n', '3\n')
('2:24\n', '3\n')
('2:23\n', '3\n')
('2:22\n', '3\n')
('2:21\n', '3\n')
('2:20\n', '3\n')
('2:19\n', '3\n')
('2:18\n', '3\n')
('2:17\n', '3\n')
('2:16\n', '3\n')
('850\n', '4\n')
('8.49\n', '4\n')
('848\n', '4\n')
('847\n', '4\n')
('8.46\n', '4\n')
('8:45\n', '4\n')
('8:44\n', '4\n')
(':\n', '4\n')
('6:20\n', '4\n')
('6:19\n', '4\n')
('6:18\n', '4\n')
('6:17\n', '4\n')
('6:16\n', '4\n')
('6:15\n', '4\n')
('6:14\n', '4\n')
('3:58\n', '4\n')
('3:57\n', '4\n')
('3:56\n', '4\n')
('3:55\n', '4\n')
('3:54\n', '4\n')
('3:53\n', '4\n')
('1:41\n', '4\n')
('1:40\n', '4\n')
('1:39\n', '4\n')
('1:38\n', '4\n')
('1:37\n', '4\n')
('1:36\n', '4\n')
('1:36\n', '4\n')
('1:5\n', '4\n')
('10.5\n', '4\n')
('09.5\n', '4\n')
('08.6\n', '4\n')
('07.6\n', '4\n')
('07.5\n', '4\n')
('07.5\n', '4\n')
('08.3\n', '4\n')
('08.3\n', '4\n')
('08.3\n', '4\n')
(':08.3\n', '4\n')
(':08.3\n', '4\n')
(':05.7\n', '4\n')
(':04.7\n', '4\n')
('03.7\n', '4\n')
('02.7\n', '4\n')
('01.7\n', '4\n')
(':00.8\n', '4\n')
(':00.0\n', '4\n')
('00.0\n', '4\n')
('00.0\n', '4\n')
