('8:03\n', '1\n')
('8:02\n', '1\n')
('8:01\n', '1\n')
('8:00\n', '11\n')
('7:59\n', '1\n')
('5:36\n', '1\n')
('5:35\n', '1\n')
('5:34\n', '11\n')
('5:33\n', '1\n')
('5:32\n', '11\n')
('5:31\n', '1\n')
('5:31\n', '1\n')
('3:22\n', '1\n')
('3:20\n', '1\n')
('3:19\n', '1\n')
('3:18\n', '1\n')
('47.0\n', '1\n')
('46.0\n', '1\n')
('45.0\n', '1\n')
('44.2\n', '1\n')
('44.2\n', '1\n')
('44.2\n', '1\n')
('44.2\n', '1\n')
('44.2\n', '1\n')
('5:12\n', '2\n')
('5:11\n', '2\n')
('5:10\n', '2\n')
('5:09\n', '2\n')
('5:08\n', '2\n')
('5:07\n', '2\n')
('5:06\n', '2\n')
('5:05\n', '2\n')
('5:04\n', '2\n')
('3:21\n', '2\n')
('3:20\n', '2\n')
('3:19\n', '2\n')
('3:18\n', '2\n')
('3:17\n', '2\n')
('3:16\n', '2\n')
('3:15\n', '2\n')
('3:14\n', '2\n')
('3:13\n', '2\n')
('3:12\n', '2\n')
('9:41\n', '3\n')
('9:40\n', '3\n')
('9:39\n', '3\n')
('9:38\n', '3\n')
('9:37\n', '3\n')
('6:27\n', '3\n')
('6:26\n', '3\n')
('6:25\n', '3\n')
('6:24\n', '3\n')
('6:23\n', '3\n')
('6:22\n', '3\n')
('3:56\n', '3\n')
('3:55\n', '3\n')
('3:54\n', '3\n')
('3:53\n', '3\n')
('3:52\n', '3\n')
('3:52\n', '3\n')
('3:05\n', '3\n')
('3:04\n', '3\n')
('3:03\n', '3\n')
('3:02\n', '3\n')
('3:02\n', '3\n')
('3:02\n', '3\n')
('3:02\n', '3\n')
('1:12\n', '3\n')
('1:11\n', '3\n')
('1:10\n', '3\n')
('1:09\n', '3\n')
('1:08\n', '3\n')
('1:08\n', '3\n')
('4:06\n', '3\n')
('6:49\n', '4\n')
('6:48\n', '4\n')
('6:47\n', '4\n')
('6:46\n', '4\n')
('6:46\n', '4\n')
('6:43\n', '4\n')
('6:41\n', '4\n')
('5:38\n', '4\n')
('5:37\n', '4\n')
('5:35\n', '4\n')
('5:34\n', '4\n')
('3:28\n', '4\n')
('3:27\n', '4\n')
('3:26\n', '4\n')
('3:25\n', '4\n')
('3:24\n', '4\n')
('3:23\n', '4\n')
('3:22\n', '4\n')
('3:04\n', '4\n')
('3:03\n', '4\n')
('3:02\n', '4\n')
('3:01\n', '4\n')
('3:00\n', '4\n')
('3:00\n', '4\n')
('3:00\n', '4\n')
