('7:01\n', '1\n')
('7:00\n', '1\n')
('7:00\n', '1\n')
('6:59\n', '1\n')
('6:58\n', '1\n')
('6:57\n', '1\n')
('3:39\n', '1\n')
('3:38\n', '1\n')
('3:37\n', '1\n')
('3:36\n', '1\n')
('3:35\n', '1\n')
('3:34\n', '1\n')
(':05.5\n', '1\n')
('104.5\n', '1\n')
(':03.5\n', '1\n')
(':02.6\n', '1\n')
(':01.6\n', '1\n')
(':00.6\n', '1\n')
(':00.0\n', '1\n')
('8:43\n', '2\n')
('8:42\n', '2\n')
('8:41\n', '2\n')
('8:40\n', '2\n')
('8:39\n', '2\n')
('8:38\n', '2\n')
('8:37\n', '2\n')
('4:33\n', '2\n')
('4:32\n', '2\n')
('4:31\n', '2\n')
('4:30\n', '2\n')
('4:29\n', '2\n')
('4:28\n', '2\n')
('4:25\n', '2\n')
('3:42\n', '2\n')
('3:41\n', '2\n')
('3:40\n', '2\n')
('3:39\n', '2\n')
('3:38\n', '2\n')
('3:37\n', '2\n')
('3:36\n', '2\n')
('7:10\n', '3\n')
('7:10\n', '3\n')
('7:09\n', '3\n')
('7:08\n', '3\n')
('7:07\n', '3\n')
('7:05\n', '3\n')
('6:42\n', '3\n')
('6:41\n', '3\n')
('6:40\n', '3\n')
('6:39\n', '3\n')
('6:38\n', '3\n')
('6:37\n', '3\n')
('6:36\n', '3\n')
('8:86\n', '3\n')
('2:05\n', '3\n')
('2:04\n', '3\n')
('2:03\n', '3\n')
('2:02\n', '3\n')
('2:02\n', '3\n')
('2:02\n', '3\n')
('2:02\n', '3\n')
('1:02\n', '3\n')
('1:01\n', '3\n')
('1:00\n', '3\n')
(':59.5\n', '3\n')
(':58.5\n', '3\n')
(':57.5\n', '3\n')
(':56.5\n', '3\n')
(':55.6\n', '3\n')
('10:28\n', '41\n')
('10:27\n', '41\n')
('10:26\n', '41\n')
('10:25\n', '41\n')
('10:24\n', '41\n')
('10:23\n', '41\n')
('10:22\n', '41\n')
('0210\n', '4\n')
('3:32\n', '4\n')
('3:31\n', '41\n')
('3:30\n', '41\n')
('3:29\n', '41\n')
('3:28\n', '41\n')
('3:27\n', '41\n')
('3:27\n', '41\n')
('3:27\n', '41\n')
('3:27\n', '41\n')
('1:42\n', '41\n')
('1:41\n', '41\n')
('1:40\n', '41\n')
('1:39\n', '41\n')
('1:38\n', '41\n')
('1:37\n', '41\n')
('378\n', '4\n')
('37\n', '41\n')
('108.7\n', '41\n')
('07.7\n', '41\n')
(':06.8\n', '41\n')
(':05.8\n', '41\n')
(':04.8\n', '41\n')
('103.8\n', '41\n')
('02.8\n', '41\n')
('01.8\n', '41\n')
('01.5\n', '4\n')
(':01.5\n', '41\n')
(':01.5\n', '41\n')
(':01.5\n', '41\n')
