('8:08\n', 'FIRST QUARTER\n')
('8:07\n', 'FIRST QUARTER\n')
('8:06\n', 'FIRST QUARTER\n')
('8:05\n', 'FIRST QUARTER\n')
('8:04\n', 'FIRST QUARTER\n')
('8:03\n', 'FIRST QUARTER\n')
('7:19\n', 'FIRST QUARTER\n')
('7:18\n', 'FIRST QUARTER\n')
('7:17\n', 'FIRST QUARTER\n')
('7:16\n', 'FIRST QUARTER\n')
('7:15\n', 'FIRST QUARTER\n')
('7:14\n', 'FIRST QUARTER\n')
('7:13\n', 'FIRST QUARTER\n')
('7:12\n', 'FIRST QUARTER\n')
('7:10\n', 'FIRST QUARTER\n')
('7:09\n', 'FIRST QUARTER\n')
('6:27\n', 'FIRST QUARTER\n')
('6:26\n', 'FIRST QUARTER\n')
('6:25\n', 'FIRST QUARTER\n')
('6:24\n', 'FIRST QUARTER\n')
('6:23\n', 'FIRST QUARTER\n')
('6:22\n', 'FIRST QUARTER\n')
('6:21\n', 'FIRST QUARTER\n')
('1:33\n', 'FIRST QUARTER\n')
('1:32\n', 'FIRST QUARTER\n')
('1:31\n', 'FIRST QUARTER\n')
('1:30\n', 'FIRST QUARTER\n')
('1:29\n', 'FIRST QUARTER\n')
('1:28\n', 'FIRST QUARTER\n')
('1:25\n', 'FIRST QUARTER\n')
('1:24\n', 'FIRST QUARTER\n')
('6:07\n', 'SECOND QUARTER\n')
('6:06\n', 'SECOND QUARTER\n')
('6:05\n', 'SECOND QUARTER\n')
('6:04\n', 'SECOND QUARTER\n')
('6:03\n', 'SECOND QUARTER\n')
('6:02\n', 'SECOND QUARTER\n')
('4:02\n', 'SECOND QUARTER\n')
('4:01\n', 'SECOND QUARTER\n')
('4:00\n', 'SECOND QUARTER\n')
('3:59\n', 'SECOND QUARTER\n')
('3:58\n', 'SECOND QUARTER\n')
('3:57\n', 'SECOND QUARTER\n')
('3:56\n', 'SECOND QUARTER\n')
('2:1\n', 'SECOND QUARTER\n')
('2:10\n', 'SECOND QUARTER\n')
('2:09\n', 'SECOND QUARTER\n')
('2:08\n', 'SECOND QUARTER\n')
('2:07\n', 'SECOND QUARTER\n')
('2:06\n', 'SECOND QUARTER\n')
('2:05\n', 'SECOND QUARTER\n')
('10:53\n', 'THIRD QUARTER\n')
('10:52\n', 'THIRD QUARTER\n')
('10:51\n', 'THIRD QUARTER\n')
('10:50\n', 'THIRD QUARTER\n')
('10:50\n', 'THIRD QUARTER\n')
('10:50\n', 'THIRD QUARTER\n')
('10:50\n', 'THIRD QUARTER\n')
('10:50\n', 'THIRD QUARTER\n')
('10:50\n', 'THIRD QUARTER\n')
('5:53\n', 'THIRD QUARTER\n')
('5:52\n', 'THIRD QUARTER\n')
('5:51\n', 'THIRD QUARTER\n')
('5:50\n', 'THIRD QUARTER\n')
('5:49\n', 'THIRD QUARTER\n')
('5:48\n', 'THIRD QUARTER\n')
('5:47\n', 'THIRD QUARTER\n')
('3:47\n', 'THIRD QUARTER\n')
('3:46\n', 'THIRD QUARTER\n')
('3:45\n', 'THIRD QUARTER\n')
('3:44\n', 'THIRD QUARTER\n')
('3:43\n', 'THIRD QUARTER\n')
('3:42\n', 'THIRD QUARTER\n')
('1:19\n', 'THIRD QUARTER\n')
('1:18\n', 'THIRD QUARTER\n')
('1:17\n', 'THIRD QUARTER\n')
('1:16\n', 'THIRD QUARTER\n')
('1:15\n', 'THIRD QUARTER\n')
('1:13\n', 'THIRD QUARTER\n')
('1:12\n', 'THIRD QUARTER\n')
('8:01\n', 'FOURTH QUARTER\n')
('8:00\n', 'FOURTH QUARTER\n')
('7:59\n', 'FOURTH QUARTER\n')
('7:58\n', 'FOURTH QUARTER\n')
('7:57\n', 'FOURTH QUARTER\n')
('7:56\n', 'FOURTH QUARTER\n')
('6:29\n', 'FOURTH QUARTER\n')
('6:28\n', 'FOURTH QUARTER\n')
('6:27\n', 'FOURTH QUARTER\n')
('6:26\n', 'FOURTH QUARTER\n')
('6:25\n', 'FOURTH QUARTER\n')
('6:24\n', 'FOURTH QUARTER\n')
('4:46\n', 'FOURTH QUARTER\n')
('4.45\n', 'FOURTH QUARTER\n')
('4:44\n', 'FOURTH QUARTER\n')
('4:43\n', 'FOURTH QUARTER\n')
('4.42\n', 'FOURTH QUARTER\n')
('1:08\n', 'FOURTH QUARTER\n')
('1:07\n', 'FOURTH QUARTER\n')
('1:06\n', 'FOURTH QUARTER\n')
('1:05\n', 'FOURTH QUARTER\n')
('1:04\n', 'FOURTH QUARTER\n')
('1:04\n', 'FOURTH QUARTER\n')
