('8:21\n', '11\n')
('8:20\n', '11\n')
('8:19\n', '11\n')
('8:18\n', '1\n')
('8:17\n', '1\n')
('8:16\n', '1\n')
('8:15\n', '1\n')
('8:14\n', '1\n')
('8:10\n', '1\n')
('8:09\n', '1\n')
('5:26\n', '1\n')
('5:25\n', '1\n')
('5:24\n', '11\n')
('5:23\n', '1\n')
('5:22\n', '1\n')
('5:21\n', '1\n')
('5:19\n', '1\n')
('5:19\n', '1\n')
('144.6\n', '1\n')
('143.6\n', '1\n')
('142.7\n', '1\n')
('41.7\n', '1\n')
('140.7\n', '1\n')
('39.7\n', '1\n')
(':38.9\n', '1\n')
('9:59\n', '2\n')
('9:58\n', '2\n')
('9:57\n', '2\n')
('9:56\n', '2\n')
('9:55\n', '2\n')
('9:54\n', '2\n')
('9:53\n', '2\n')
('5:45\n', '2\n')
('5:44\n', '2\n')
('5:43\n', '2\n')
('5:42\n', '2\n')
('5:41\n', '2\n')
('5:40\n', '2\n')
('5:40\n', '2\n')
('5:40\n', '2\n')
('3:42\n', '2\n')
('3:41\n', '2\n')
('3:40\n', '2\n')
('3:39\n', '2\n')
('3:38\n', '2\n')
('3:34\n', '2\n')
('3:33\n', '2\n')
('3:32\n', '2\n')
('11:29\n', '3\n')
('11:28\n', '3\n')
('11:27\n', '3\n')
('11:26\n', '3\n')
('11:25\n', '3\n')
('11:20\n', '3\n')
('11:19\n', '3\n')
('7:18\n', '3\n')
('7:17\n', '3\n')
('7:16\n', '3\n')
('7:15\n', '3\n')
('7:14\n', '3\n')
('7:11\n', '3\n')
('7:10\n', '3\n')
('5:29\n', '3\n')
('5:28\n', '3\n')
('5:27\n', '3\n')
('5:26\n', '3\n')
('5:25\n', '3\n')
('5:24\n', '3\n')
('5:20\n', '3\n')
('5:19\n', '3\n')
('5:18\n', '3\n')
('55.9\n', '3\n')
('54.9\n', '3\n')
('53.9\n', '3\n')
('52.9\n', '3\n')
('51.9\n', '3\n')
('50.9\n', '3\n')
('42\n', '4\n')
('9:41\n', '4\n')
('9:40\n', '4\n')
('9:39\n', '4\n')
('9:38\n', '4\n')
('9:37\n', '4\n')
('9:36\n', '4\n')
('6:32\n', '4\n')
('6:31\n', '4\n')
('6:30\n', '4\n')
('6:29\n', '4\n')
('6:28\n', '4\n')
('6:23\n', '4\n')
('6:22\n', '4\n')
('1:55\n', '4\n')
('1:54\n', '4\n')
('1:53\n', '4\n')
('1:52\n', '4\n')
('1:51\n', '4\n')
('1:51\n', '4\n')
('1:51\n', '4\n')
('1:51\n', '4\n')
('146.0\n', '4\n')
('145.0\n', '4\n')
('144.1\n', '4\n')
('143.1\n', '4\n')
('142.5\n', '4\n')
('142.5\n', '4\n')
('142.5\n', '4\n')
('142.5\n', '4\n')
('142.5\n', '4\n')
('104.7\n', '4\n')
('104.7\n', '4\n')
('104.1\n', '4\n')
('103.1\n', '4\n')
('102.1\n', '4\n')
(':01.1\n', '4\n')
(':00.1\n', '4\n')
(':00.0\n', '4\n')
(':00.0\n', '4\n')
