('8:12\n', '1\n')
('811\n', '1\n')
('810\n', '1\n')
('8:09\n', '1\n')
('8:08\n', '1\n')
('8.07\n', '1\n')
('8:06\n', '1\n')
('8:05\n', '1\n')
('805\n', '1\n')
('803\n', '1\n')
('6:06\n', '1\n')
('6:05\n', '1\n')
('6:04\n', '1\n')
('6:03\n', '1\n')
('6:02\n', '1\n')
('6:01\n', '1\n')
('6:00\n', '1\n')
('5:59\n', '1\n')
('1:29\n', '1\n')
('1:28\n', '1\n')
('1:27\n', '1\n')
('1:26\n', '1\n')
('1:25\n', '1\n')
('1:24\n', '1\n')
('1:23\n', '1\n')
('1:22\n', '1\n')
('1.21\n', '1\n')
('7:18\n', '2\n')
('7:17\n', '2\n')
('7:16\n', '2\n')
('7:15\n', '2\n')
('7:14\n', '2\n')
('7:13\n', '2\n')
('7:12\n', '2\n')
('7:11\n', '2\n')
('7:10\n', '2\n')
('7:09\n', '2\n')
('5:13\n', '2\n')
('5:12\n', '2\n')
('5:11\n', '2\n')
('5:10\n', '2\n')
('5:.09\n', '2\n')
('5:.08\n', '2\n')
('5.07\n', '2\n')
('5:07\n', '2\n')
('2:30\n', '2\n')
('2:29\n', '2\n')
('2:.28\n', '2\n')
('2:27\n', '2\n')
('2:26\n', '2\n')
('2:25\n', '2\n')
('22\n', '2\n')
(':58.0\n', '2\n')
(':57.0\n', '2\n')
(':56.0\n', '2\n')
(':55.0\n', '2\n')
(':54.6\n', '2\n')
(':54.6\n', '2\n')
('54.6\n', '2\n')
('10:10\n', '3\n')
('10:09\n', '3\n')
('10:08\n', '3\n')
('10:07\n', '3\n')
('10:06\n', '3\n')
('10:05\n', '3\n')
('10:04\n', '3\n')
('10:01\n', '3\n')
('10:00\n', '3\n')
('8:42\n', '3\n')
('8:41\n', '3\n')
('8:40\n', '3\n')
('8.39\n', '3\n')
('8:38\n', '3\n')
('8:37\n', '3\n')
('8:36\n', '3\n')
('8.35\n', '3\n')
('8:34\n', '3\n')
('5:55\n', '3\n')
('5:54\n', '3\n')
('5:53\n', '3\n')
('5:52\n', '3\n')
('5:51\n', '3\n')
('5:50\n', '3\n')
('5:49\n', '3\n')
('5:47\n', '3\n')
('1:56\n', '3\n')
('1:55\n', '3\n')
('1:54\n', '3\n')
('1:53\n', '3\n')
('1:52\n', '3\n')
('1:51\n', '3\n')
('1:50\n', '3\n')
('1:48\n', '3\n')
('1:47\n', '3\n')
('847\n', '4\n')
('8.46\n', '4\n')
('8:45\n', '4\n')
('8:44\n', '4\n')
('8:43\n', '4\n')
('842\n', '4\n')
('8:41\n', '4\n')
('8.39\n', '4\n')
('839\n', '4\n')
('8:38\n', '4\n')
('8:38\n', '4\n')
