('5:44\n', 'FIRST QUARTER\n')
('5:43\n', 'FIRST QUARTER\n')
('5:42\n', 'FIRST QUARTER\n')
('5:41\n', 'FIRST QUARTER\n')
('5:40\n', 'FIRST QUARTER\n')
('5:39\n', 'FIRST QUARTER\n')
('5:38\n', 'FIRST QUARTER\n')
('5:33\n', 'FIRST QUARTER\n')
('5:32\n', 'FIRST QUARTER\n')
('24.0\n', 'FIRST QUARTER\n')
('23.0\n', 'FIRST QUARTER\n')
('2.0\n', 'FIRST QUARTER\n')
('21.1\n', 'FIRST QUARTER\n')
('20.1\n', 'FIRST QUARTER\n')
('19.1\n', 'FIRST QUARTER\n')
('7:54\n', 'SECOND QUARTER\n')
('7:53\n', 'SECOND QUARTER\n')
('7:52\n', 'SECOND QUARTER\n')
('7:51\n', 'SECOND QUARTER\n')
('7:50\n', 'SECOND QUARTER\n')
('7:49\n', 'SECOND QUARTER\n')
('7:06\n', 'SECOND QUARTER\n')
('7:05\n', 'SECOND QUARTER\n')
('7:04\n', 'SECOND QUARTER\n')
('7:03\n', 'SECOND QUARTER\n')
('7:02\n', 'SECOND QUARTER\n')
('7:01\n', 'SECOND QUARTER\n')
('6:38\n', 'SECOND QUARTER\n')
('6:37\n', 'SECOND QUARTER\n')
('6:36\n', 'SECOND QUARTER\n')
('6:35\n', 'SECOND QUARTER\n')
('6:34\n', 'SECOND QUARTER\n')
('6:33\n', 'SECOND QUARTER\n')
('4\n', 'F\n')
('3:47\n', 'SECOND QUARTER\n')
('3:46\n', 'SECOND QUARTER\n')
('3:46\n', 'SECOND QUARTER\n')
('3:45\n', 'SECOND QUARTER\n')
('3:44\n', 'SECOND QUARTER\n')
('3:43\n', 'SECOND QUARTER\n')
('2:10\n', 'SECOND QUARTER\n')
('2:09\n', 'SECOND QUARTER\n')
('2:08\n', 'SECOND QUARTER\n')
('2:07\n', 'SECOND QUARTER\n')
('2:06\n', 'SECOND QUARTER\n')
('2:05\n', 'SECOND QUARTER\n')
('2:03\n', 'SECOND QUARTER\n')
('10:01\n', 'THIRD QUARTER\n')
('10:00\n', 'THIRD QUARTER\n')
('9:59\n', 'THIRD QUARTER\n')
('9:58\n', 'THIRD QUARTER\n')
('9:57\n', 'THIRD QUARTER\n')
('9:43\n', 'THIRD QUARTER\n')
('9:41\n', 'THIRD QUARTER\n')
('9:41\n', 'THIRD QUARTER\n')
('9:40\n', 'THIRD QUARTER\n')
('9:39\n', 'THIRD QUARTER\n')
('9:38\n', 'THIRD QUARTER\n')
('9:37\n', 'THIRD QUARTER\n')
('43.9\n', 'THIRD QUARTER\n')
('42.9\n', 'THIRD QUARTER\n')
('41.9\n', 'THIRD QUARTER\n')
('41.0\n', 'THIRD QUARTER\n')
('40.0\n', 'THIRD QUARTER\n')
('39.1\n', 'THIRD QUARTER\n')
('39.1\n', 'THIRD QUARTER\n')
('17.4\n', 'THIRD QUARTER\n')
('16.4\n', 'THIRD QUARTER\n')
('15.4\n', 'THIRD QUARTER\n')
('14.4\n', 'THIRD QUARTER\n')
('13.4\n', 'THIRD QUARTER\n')
('12.7\n', 'THIRD QUARTER\n')
('9:16\n', 'FOURTH QUARTER\n')
('9:15\n', 'FOURTH QUARTER\n')
('9:14\n', 'FOURTH QUARTER\n')
('9:13\n', 'FOURTH QUARTER\n')
('9:12\n', 'FOURTH QUARTER\n')
('9:11\n', 'FOURTH QUARTER\n')
('9:10\n', 'FOURTH QUARTER\n')
('9:09\n', 'FOURTH QUARTER\n')
('4:29\n', 'FOURTH QUARTER\n')
('4:28\n', 'FOURTH QUARTER\n')
('4.27\n', 'FOURTH QUARTER\n')
('4:26\n', 'FOURTH QUARTER\n')
('4:26\n', 'FOURTH QUARTER\n')
('4.24\n', 'FOURTH QUARTER\n')
('4:23\n', 'FOURTH QUARTER\n')
('4:20\n', 'FOURTH QUARTER\n')
('4:20\n', 'FOURTH QUARTER\n')
('4:20\n', 'FOURTH QUARTER\n')
('4:19\n', 'FOURTH QUARTER\n')
