('1018\n', '1\n')
('10:17\n', '1\n')
('10:1\n', '1\n')
('10:15\n', '1\n')
('10:14\n', '1\n')
('10:13\n', '1\n')
('10:12\n', '1\n')
('10:11\n', '1\n')
('.\n', '1\n')
('6:46\n', '1\n')
('6:45\n', '1\n')
('6:45\n', '1\n')
('6:44\n', '1\n')
('6:43\n', '1\n')
('6:40\n', '1\n')
('5:20\n', '1\n')
('519\n', '1\n')
('5:18\n', '1\n')
('5:17\n', '1\n')
('516\n', '1\n')
('19\n', '1\n')
(':08.5\n', '1\n')
('07.5\n', '1\n')
('06.5\n', '1\n')
('055\n', '1\n')
('048\n', '1\n')
('5:13\n', '2\n')
('5:12\n', '2\n')
('5:11\n', '2\n')
('5:10\n', '2\n')
('5:09\n', '2\n')
('4:39\n', '2\n')
('4:38\n', '2\n')
('4:37\n', '2\n')
('4:36\n', '2\n')
('4:35\n', '2\n')
('4:34\n', '2\n')
('4:34\n', '2\n')
('4:34\n', '2\n')
('9:05\n', '3\n')
('9.04\n', '3\n')
('9.03\n', '3\n')
('9:02\n', '3\n')
('9:01\n', '3\n')
('9:00\n', '3\n')
('859\n', '3\n')
('858\n', '3\n')
('4.27\n', '3\n')
('4:26\n', '3\n')
('4:25\n', '3\n')
('4.24\n', '3\n')
('4.23\n', '3\n')
('4:22\n', '3\n')
('4:21\n', '3\n')
('4:20\n', '3\n')
('4:17\n', '3\n')
('416\n', '3\n')
('1:40\n', '3\n')
('1:39\n', '3\n')
('1:38\n', '3\n')
('1:37\n', '3\n')
('1:36\n', '3\n')
('1:35\n', '3\n')
('1:34\n', '3\n')
('1:31\n', '3\n')
('1:30\n', '3\n')
('35.2\n', '3\n')
('34.1\n', '3\n')
('33.1\n', '3\n')
('32.1\n', '3\n')
('31.1\n', '3\n')
(':30.7\n', '3\n')
(':03.5\n', '31\n')
(':02.6\n', '3\n')
('01.6\n', '3\n')
('00.6\n', '3\n')
('00.0\n', '3\n')
(':00.0\n', '3\n')
('7:58\n', '4\n')
('7:57\n', '4\n')
('7:56\n', '4\n')
('7:55\n', '4\n')
('7:54\n', '4\n')
('7:53\n', '4\n')
('7:52\n', '4\n')
('751\n', '4\n')
('7:50\n', '4\n')
