('5:55\n', '1\n')
('5:54\n', '1\n')
('5:53\n', '1\n')
('5:52\n', '1\n')
('5:51\n', '1\n')
('5:50\n', '1\n')
('4:52\n', '1\n')
('4:51\n', '1\n')
('4:50\n', '1\n')
('4:49\n', '1\n')
('4:48\n', '1\n')
('4:45\n', '1\n')
('4:44\n', '1\n')
('7:07\n', '1\n')
(':06\n', '1\n')
(':05\n', '1\n')
(':04\n', '1\n')
('1:03\n', '1\n')
(':02\n', '1\n')
('7:01\n', '1\n')
('7:01\n', '1\n')
('7:01\n', '1\n')
('7:46\n', '2\n')
('7:45\n', '2\n')
('7:44\n', '2\n')
('7:43\n', '2\n')
('7:42\n', '2\n')
('7:42\n', '2\n')
('6:40\n', '2\n')
('6:39\n', '2\n')
('6:38\n', '2\n')
('6:37\n', '2\n')
('6:36\n', '2\n')
('6:35\n', '2\n')
('6:34\n', '2\n')
('6:33\n', '2\n')
('6:32\n', '2\n')
('4:31\n', '2\n')
('4:30\n', '2\n')
('4:29\n', '2\n')
('4:28\n', '2\n')
('4:27\n', '2\n')
('4:26\n', '2\n')
('4:25\n', '2\n')
('3:58\n', '2\n')
('3:57\n', '2\n')
('3:56\n', '2\n')
('3:55\n', '2\n')
('3:54\n', '2\n')
(':35.2\n', '2\n')
(':34.2\n', '2\n')
(':33.2\n', '2\n')
(':32.3\n', '2\n')
(':31.5\n', '2\n')
(':31.5\n', '2\n')
('9:03\n', '3\n')
('9:02\n', '3\n')
('9:01\n', '3\n')
('8:59\n', '3\n')
('8:58\n', '3\n')
('8:02\n', '3\n')
('8:01\n', '3\n')
('7:59\n', '3\n')
('7:58\n', '3\n')
('7:45\n', '3\n')
('7:44\n', '3\n')
('7:43\n', '3\n')
('7:42\n', '3\n')
('7:41\n', '3\n')
('7:13\n', '3\n')
('7:12\n', '3\n')
('71:11\n', '3\n')
('7:10\n', '3\n')
('7:09\n', '3\n')
('7:08\n', '3\n')
('3:21\n', '3\n')
('3:20\n', '3\n')
('3:19\n', '3\n')
('1:12\n', '3\n')
('1:11\n', '3\n')
('1:10\n', '3\n')
('1:09\n', '3\n')
('1:08\n', '3\n')
('1:07\n', '3\n')
('1:07\n', '3\n')
('1:07\n', '3\n')
('1:07\n', '3\n')
('11:16\n', '4\n')
('11:15\n', '4\n')
('11:14\n', '4\n')
('11:13\n', '4\n')
('11:12\n', '4\n')
('11:11\n', '4\n')
('11:10\n', '4\n')
('5:08\n', '4\n')
('5:07\n', '4\n')
('5:06\n', '4\n')
('5:05\n', '4\n')
('5:04\n', '4\n')
('4:44\n', '4\n')
('4:44\n', '4\n')
('4:44\n', '4\n')
('4:44\n', '4\n')
('4:39\n', '4\n')
('4:39\n', '4\n')
('1:24\n', '4\n')
('1:23\n', '4\n')
('1:22\n', '4\n')
('1:21\n', '4\n')
('1:20\n', '4\n')
('1:19\n', '4\n')
(':26.4\n', '4\n')
(':25.5\n', '4\n')
(':24.5\n', '4\n')
('23.5\n', '4\n')
(':22.5\n', '4\n')
('22.4\n', '4\n')
