('9:15\n', '1\n')
('9:14\n', '1\n')
('9:13\n', '1\n')
('9:12\n', '1\n')
('9:11\n', '1\n')
('9:10\n', '1\n')
('9:09\n', '1\n')
('4:32\n', '1\n')
('4:31\n', '1\n')
('4:30\n', '1\n')
('4:29\n', '1\n')
('4:28\n', '1\n')
('4:28\n', '1\n')
('1:10\n', '1\n')
('1:09\n', '1\n')
('1:08\n', '1\n')
('1:07\n', '1\n')
('1:06\n', '1\n')
('1:05\n', '1\n')
('1:04\n', '1\n')
('9:04\n', '2\n')
('9:03\n', '2\n')
('9:02\n', '2\n')
('9:01\n', '2\n')
('9:00\n', '2\n')
('8:59\n', '2\n')
('8:58\n', '2\n')
('4:02\n', '2\n')
('4:01\n', '2\n')
('4:00\n', '2\n')
('3:59\n', '2\n')
('3:58\n', '2\n')
('3:57\n', '2\n')
('3:56\n', '2\n')
(':08.6\n', '2\n')
('07.6\n', '2\n')
('106.6\n', '2\n')
('105.6\n', '2\n')
('104.6\n', '2\n')
('103.7\n', '2\n')
('103.7\n', '2\n')
('8:51\n', '3\n')
('8:50\n', '3\n')
('8:49\n', '3\n')
('8:48\n', '3\n')
('8:47\n', '3\n')
('8:46\n', '3\n')
('8:45\n', '3\n')
('8:44\n', '3\n')
('8:43\n', '3\n')
('8:42\n', '3\n')
('7:58\n', '3\n')
('7:57\n', '3\n')
('7:56\n', '3\n')
('7:55\n', '3\n')
('7:54\n', '3\n')
('7:53\n', '3\n')
('7:52\n', '3\n')
('7:52\n', '3\n')
('7:52\n', '3\n')
('7:52\n', '3\n')
('7:52\n', '3\n')
('7:52\n', '3\n')
('7:52\n', '3\n')
('7:52\n', '3\n')
('7:5:\n', '3\n')
('4:55\n', '3\n')
('4:54\n', '3\n')
('4:53\n', '3\n')
('4:52\n', '3\n')
('4:51\n', '3\n')
('4:50\n', '3\n')
('4:49\n', '3\n')
('4:48\n', '3\n')
('4:47\n', '3\n')
('1:38\n', '3\n')
('1:37\n', '3\n')
('1:36\n', '3\n')
('1:35\n', '3\n')
('1:34\n', '3\n')
('1:34\n', '3\n')
('1:33\n', '3\n')
('1:33\n', '3\n')
('1:33\n', '3\n')
('1:33\n', '3\n')
('1:33\n', '3\n')
('1:33\n', '3\n')
('10:22\n', '4\n')
('10:21\n', '4\n')
('10:20\n', '4\n')
('10:19\n', '4\n')
('10:18\n', '4\n')
('10:17\n', '4\n')
('10:16\n', '4\n')
('10:15\n', '4\n')
('10:14\n', '4\n')
('10:12\n', '4\n')
('10:11\n', '4\n')
('10:10\n', '4\n')
('8:02\n', '4\n')
('8:01\n', '4\n')
('8:00\n', '4\n')
('7:59\n', '4\n')
('7:58\n', '4\n')
('7:57\n', '4\n')
('5:51\n', '4\n')
('5:50\n', '4\n')
('5:49\n', '4\n')
('5:48\n', '4\n')
('5:47\n', '4\n')
('5:46\n', '4\n')
('4:29\n', '4\n')
('4:28\n', '4\n')
('4:27\n', '4\n')
('4:26\n', '4\n')
('4:25\n', '4\n')
('4:24\n', '4\n')
('4:23\n', '4\n')
('4:23\n', '4\n')
('4:23\n', '4\n')
('4:23\n', '4\n')
('2:31\n', '4\n')
('2:30\n', '4\n')
('2:29\n', '4\n')
('2:28\n', '4\n')
('2:27\n', '4\n')
('2:26\n', '4\n')
('2:26\n', '4\n')
('2:26\n', '4\n')
('2:26\n', '4\n')
('2:26\n', '4\n')
('148.8\n', '4\n')
('147.8\n', '4\n')
('46.8\n', '4\n')
('145.8\n', '4\n')
('144.8\n', '4\n')
('143.8\n', '4\n')
('143.2\n', '4\n')
('143.2\n', '4\n')
('143.2\n', '4\n')
('143.2\n', '4\n')
('143.2\n', '4\n')
('143.2\n', '4\n')
