('6:49\n', '1\n')
('6:48\n', '1\n')
('6:47\n', '1\n')
('6:46\n', '1\n')
('6:45\n', '1\n')
('6:44\n', '1\n')
('3:14\n', '111\n')
('3:13\n', '111\n')
('3:12\n', '111\n')
('3:11\n', '1\n')
('3:10\n', '1\n')
('3:07\n', '111\n')
('11:47\n', '2\n')
('11:46\n', '2\n')
('11:45\n', '2\n')
('11:44\n', '2\n')
('11:43\n', '2\n')
('11:42\n', '2\n')
('11:41\n', '2\n')
('11:40\n', '2\n')
('4:25\n', '2\n')
('4:24\n', '2\n')
('4:23\n', '2\n')
('4:22\n', '2\n')
('4:21\n', '2\n')
('4:20\n', '2\n')
('4:59\n', '2\n')
('1:57\n', '2\n')
('1:56\n', '2\n')
('1:55\n', '2\n')
('1:54\n', '2\n')
('1:53\n', '2\n')
(':49.6\n', '2\n')
(':48.6\n', '2\n')
('47.7\n', '2\n')
('47.3\n', '2\n')
('47.3\n', '2\n')
('47.3\n', '2\n')
('8:44\n', '3\n')
('8:43\n', '3\n')
('8:42\n', '3\n')
('8:41\n', '3\n')
('8:40\n', '3\n')
('8:39\n', '3\n')
('4:36\n', '3\n')
('4:35\n', '3\n')
('4:34\n', '3\n')
('4:33\n', '3\n')
('4:32\n', '1\n')
('4:31\n', '1\n')
('4:30\n', '3\n')
('4:30\n', '1\n')
('4:30\n', '1\n')
('4:30\n', '1\n')
('4:30\n', '3\n')
('4:30\n', '3\n')
('4:30\n', '3\n')
('4:30\n', '3\n')
('4:30\n', '3\n')
('4:30\n', '3\n')
('4:30\n', '3\n')
('4:30\n', '3\n')
('10:11\n', '4\n')
('10:10\n', '4\n')
('10:09\n', '4\n')
('10:07\n', '4\n')
('6:07\n', '4\n')
('6:04\n', '4\n')
('6:03\n', '4\n')
('6:01\n', '4\n')
('1:47\n', '4\n')
('1:46\n', '4\n')
('1:45\n', '4\n')
('1:44\n', '4\n')
('1:43\n', '4\n')
('1:42\n', '4\n')
('1:41\n', '4\n')
('1:41\n', '4\n')
('1:07\n', '4\n')
('1:06\n', '4\n')
('1:05\n', '4\n')
('1:04\n', '4\n')
('1:03\n', '4\n')
('1:03\n', '4\n')
('1:03\n', '4\n')
('1:03\n', '4\n')
('1:03\n', '4\n')
('1:03\n', '4\n')
