('8:03\n', '1\n')
('8:02\n', '1\n')
('8:01\n', '1\n')
('7:59\n', '1\n')
('7:58\n', '1\n')
('1:57\n', '1\n')
('7:56\n', '1\n')
('7:55\n', '1\n')
('71:54\n', '1\n')
('71:54\n', '1\n')
('2:49\n', '1\n')
('2:48\n', '1\n')
('2:47\n', '1\n')
('2:46\n', '1\n')
('2:45\n', '1\n')
(':16.4\n', '1\n')
(':15.4\n', '1\n')
(':14.4\n', '1\n')
('13.4\n', '1\n')
('7:13\n', '1\n')
('57:13\n', '1\n')
(':13\n', '1\n')
(':13\n', '1\n')
('9:21\n', '2\n')
('9:20\n', '2\n')
('9:19\n', '2\n')
('9:18\n', '2\n')
('9:17\n', '2\n')
('7:25\n', '2\n')
('7:24\n', '2\n')
('7:23\n', '2\n')
('7:22\n', '2\n')
('7:21\n', '2\n')
('7:21\n', '2\n')
('5:51\n', '2\n')
('5:50\n', '2\n')
('5:49\n', '2\n')
('5:48\n', '2\n')
('5:47\n', '2\n')
(':40.6\n', '2\n')
(':39.6\n', '2\n')
(':38.7\n', '2\n')
('37.7\n', '2\n')
(':36.7\n', '2\n')
(':36.7\n', '2\n')
(':36.7\n', '2\n')
(':36.7\n', '2\n')
(':36.7\n', '2\n')
(':36.7\n', '2\n')
(':36.4\n', '2\n')
('9:04\n', '3\n')
('9:03\n', '3\n')
('9:02\n', '3\n')
('9:01\n', '3\n')
('8:59\n', '3\n')
('8:58\n', '3\n')
('8:57\n', '3\n')
('4:30\n', '3\n')
('4:29\n', '3\n')
('4:28\n', '3\n')
('4:27\n', '3\n')
('4:26\n', '3\n')
('4:25\n', '3\n')
('4:23\n', '3\n')
('4:22\n', '3\n')
('4:21\n', '3\n')
('3:36\n', '3\n')
('3:35\n', '3\n')
('3:34\n', '3\n')
('3:33\n', '3\n')
('3:32\n', '3\n')
('3:30\n', '3\n')
('3:29\n', '3\n')
('9:1\n', '41\n')
('9:1\n', '41\n')
('9:1\n', '41\n')
('9:1\n', '41\n')
('9:1\n', '41\n')
('9:1\n', '41\n')
('9:\n', '41\n')
('9:\n', '4\n')
('3:51\n', '4\n')
('3:50\n', '4\n')
('3:49\n', '4\n')
('3:48\n', '4\n')
('3:47\n', '4\n')
('3:46\n', '4\n')
('3:45\n', '4\n')
('3:44\n', '4\n')
('1:53\n', '4\n')
('1:52\n', '4\n')
('1:51\n', '4\n')
('1:50\n', '4\n')
('1:50\n', '4\n')
('1:49\n', '4\n')
('1:48\n', '4\n')
('1:47\n', '4\n')
('1:46\n', '4\n')
('1:45\n', '4\n')
('1:44\n', '4\n')
('1:44\n', '4\n')
('1:44\n', '4\n')
('1:44\n', '4\n')
