('10:36\n', '1\n')
('10:35\n', '1\n')
('10:34\n', '1\n')
('10:33\n', '1\n')
('10:33\n', '1\n')
('10:33\n', '1\n')
('02338\n', '1\n')
('6:52\n', '1\n')
('6:51\n', '1\n')
('6:50\n', '1\n')
('6:49\n', '1\n')
('6:48\n', '11\n')
('6:47\n', '1\n')
('6:46\n', '1\n')
('6:45\n', '1\n')
('6:43\n', '1\n')
('6:42\n', '1\n')
('2:20\n', '1\n')
('2:19\n', '1\n')
('2:18\n', '1\n')
('2:17\n', '1\n')
('2:16\n', '1\n')
('2:16\n', '1\n')
('2:06\n', '1\n')
('2:05\n', '1\n')
('2:04\n', '1\n')
('2:03\n', '1\n')
('2:02\n', '1\n')
('2:01\n', '1\n')
('2:00\n', '1\n')
('1:59\n', '1\n')
('1:58\n', '1\n')
('1:57\n', '1\n')
('1:54\n', '1\n')
('1:53\n', '1\n')
('7:57\n', '2\n')
('7:56\n', '2\n')
('7:55\n', '2\n')
('7:54\n', '2\n')
('7:53\n', '2\n')
('7:52\n', '2\n')
('7:5\n', '2\n')
('5:32\n', '2\n')
('5:31\n', '2\n')
('5:30\n', '2\n')
('5:29\n', '2\n')
('5:28\n', '2\n')
('5:28\n', '2\n')
('5287\n', '2\n')
('5:20\n', '2\n')
('5:19\n', '2\n')
('5:18\n', '2\n')
('5:17\n', '2\n')
('5:16\n', '2\n')
('5:15\n', '2\n')
('2:19\n', '2\n')
('2:18\n', '2\n')
('2:17\n', '2\n')
('2:16\n', '2\n')
('2:15\n', '2\n')
('2:14\n', '2\n')
('2:13\n', '2\n')
('5:22\n', '3\n')
('5:21\n', '3\n')
('5:20\n', '3\n')
('5:19\n', '3\n')
('5:19\n', '3\n')
('5:19\n', '3\n')
('5:19\n', '3\n')
('5:19\n', '3\n')
('145.7\n', '3\n')
('144.7\n', '3\n')
('143.7\n', '3\n')
('142.8\n', '3\n')
('141.8\n', '3\n')
(':40.8\n', '3\n')
(':40.0\n', '3\n')
(':40.0\n', '3\n')
('71:27\n', '41\n')
('7:26\n', '41\n')
('7:25\n', '41\n')
('7:24\n', '41\n')
('7:23\n', '41\n')
('7:22\n', '41\n')
('7:18\n', '41\n')
('177\n', '4\n')
('5:32\n', '41\n')
('5:31\n', '41\n')
('5:30\n', '41\n')
('5:29\n', '41\n')
('5:28\n', '41\n')
('5:27\n', '41\n')
('5:23\n', '41\n')
('5:22\n', '41\n')
('4:44\n', '41\n')
('4:43\n', '414\n')
('4:42\n', '414\n')
('4:42\n', '414\n')
('4:41\n', '41\n')
('4:40\n', '41\n')
('4:38\n', '41\n')
('4:38\n', '4\n')
