('7:51\n', '1\n')
('7:50\n', '1\n')
('7:49\n', '1\n')
('7:48\n', '1\n')
('7:47\n', '1\n')
('7:46\n', '1\n')
('7:45\n', '1\n')
('7:44\n', '1\n')
('7:43\n', '1\n')
('7:38\n', '1\n')
('7:37\n', '1\n')
('2.52\n', '1\n')
('251\n', '1\n')
('2:50\n', '1\n')
('2:49\n', '1\n')
('2:48\n', '1\n')
('2:47\n', '1\n')
('2:46\n', '1\n')
('1:59\n', '1\n')
('1:58\n', '1\n')
('1.57\n', '1\n')
('1:56\n', '1\n')
('1:55\n', '1\n')
('1:54\n', '1\n')
('1:53\n', '1\n')
('8:04\n', '2\n')
('8:03\n', '2\n')
('8:02\n', '2\n')
('8:01\n', '2\n')
('8:00\n', '2\n')
('7:59\n', '2\n')
('7:59\n', '2\n')
('7:59\n', '2\n')
('7:59\n', '2\n')
('7:59\n', '2\n')
('5:41\n', '2\n')
('5:40\n', '2\n')
('5:39\n', '2\n')
('5:38\n', '2\n')
('5:37\n', '2\n')
('5:36\n', '2\n')
('5:35\n', '2\n')
('3:44\n', '2\n')
('3:43\n', '2\n')
('3:42\n', '2\n')
('3:41\n', '2\n')
('3:40\n', '2\n')
('3:39\n', '2\n')
('3:38\n', '2\n')
('3:38\n', '2\n')
('3:38\n', '2\n')
('8:35\n', '3\n')
('8.34\n', '3\n')
('8:33\n', '3\n')
('832\n', '3\n')
('831\n', '3\n')
('8:30\n', '3\n')
('8.28\n', '3\n')
('8.27\n', '3\n')
('8.26\n', '3\n')
('811\n', '3\n')
('810\n', '3\n')
('8:09\n', '3\n')
('8.08\n', '3\n')
('8.07\n', '3\n')
('8.06\n', '3\n')
('8.05\n', '3\n')
('8.02\n', '3\n')
('2:37\n', '3\n')
('2:36\n', '3\n')
('2:35\n', '3\n')
('2:34\n', '3\n')
('2:33\n', '3\n')
('2:32\n', '3\n')
('2:3\n', '3\n')
('2:29\n', '3\n')
('2:28\n', '3\n')
('10:41\n', '4\n')
('10:4\n', '4\n')
('10:3\n', '4\n')
('10:3\n', '4\n')
('10:37\n', '4\n')
('10:3\n', '4\n')
('10:3\n', '4\n')
('10:3\n', '4\n')
('7:07\n', '4\n')
('7:06\n', '4\n')
('7:05\n', '4\n')
('7:04\n', '4\n')
('7:03\n', '4\n')
('7:02\n', '4\n')
('6:55\n', '4\n')
('4:21\n', '4\n')
('4:20\n', '4\n')
('4:19\n', '4\n')
('4:18\n', '4\n')
('4:17\n', '4\n')
('4:16\n', '4\n')
('4:15\n', '4\n')
('4:12\n', '4\n')
('4:11\n', '4\n')
('2:33\n', '4\n')
('2:32\n', '4\n')
('2:31\n', '4\n')
('2:30\n', '4\n')
('2:29\n', '4\n')
('2.28\n', '4\n')
('2.27\n', '4\n')
('2.26\n', '4\n')
