('1\n', '1\n')
('8:46\n', '1\n')
('8:45\n', '1\n')
('8:44\n', '1\n')
('8:43\n', '1\n')
('8:42\n', '1\n')
('8:41\n', '1\n')
('8:41\n', '1\n')
('7:43\n', '1\n')
('7:42\n', '1\n')
('7:41\n', '1\n')
('7:40\n', '1\n')
('7:39\n', '1\n')
('7:38\n', '1\n')
('1:37\n', '1\n')
('7:36\n', '1\n')
('4:17\n', '1\n')
('4:16\n', '1\n')
('4:15\n', '1\n')
('4:14\n', '1\n')
('4:13\n', '11\n')
('4:12\n', '1\n')
('4:11\n', '1\n')
('2:49\n', '1\n')
('2:48\n', '1\n')
('2:47\n', '1\n')
('2:46\n', '1\n')
('2:45\n', '1\n')
('2:44\n', '1\n')
('2:43\n', '1\n')
('2:43\n', '1\n')
('2:43\n', '1\n')
('2:43\n', '1\n')
('1:17\n', '1\n')
('1:16\n', '1\n')
('1:15\n', '1\n')
('1:14\n', '1\n')
('1:13\n', '1\n')
('1:12\n', '1\n')
('1:11\n', '1\n')
('1:10\n', '1\n')
('1:09\n', '1\n')
('9:45\n', '2\n')
('9:44\n', '2\n')
('9:43\n', '2\n')
('9:42\n', '2\n')
('9:41\n', '2\n')
('9:40\n', '2\n')
('9:39\n', '2\n')
('9:39\n', '2\n')
('1:29\n', '2\n')
('7:28\n', '2\n')
('7:28\n', '2\n')
('1:27\n', '2\n')
('7:26\n', '2\n')
('1:25\n', '2\n')
('5:34\n', '2\n')
('5:33\n', '2\n')
('5:32\n', '2\n')
('5:31\n', '2\n')
('5:30\n', '2\n')
('5:29\n', '2\n')
('5:28\n', '2\n')
(':04\n', '2\n')
(':03\n', '2\n')
(':02\n', '2\n')
('0:01\n', '2\n')
(':00\n', '2\n')
(':00\n', '2\n')
(':00\n', '2\n')
('8:17\n', '3\n')
('8:16\n', '3\n')
('8:15\n', '3\n')
('8:14\n', '3\n')
('8:13\n', '3\n')
('8:12\n', '3\n')
('8:11\n', '3\n')
('6:11\n', '3\n')
('6:10\n', '3\n')
('6:07\n', '3\n')
('4:19\n', '3\n')
('4:18\n', '3\n')
('4:17\n', '3\n')
('4:16\n', '3\n')
('4:15\n', '3\n')
('4:15\n', '3\n')
('4:15\n', '3\n')
('2:51\n', '3\n')
('2:50\n', '3\n')
('2:49\n', '3\n')
('2:48\n', '3\n')
('2:47\n', '3\n')
('2:46\n', '3\n')
('2:45\n', '3\n')
('2:44\n', '3\n')
('2:43\n', '3\n')
('10:27\n', '4\n')
('10:26\n', '4\n')
('10:25\n', '4\n')
('10:24\n', '4\n')
('10:23\n', '4\n')
('10:22\n', '4\n')
('10:21\n', '4\n')
('9:11\n', '4\n')
('9:10\n', '4\n')
('9:07\n', '4\n')
('9:03\n', '4\n')
('9:02\n', '4\n')
('9:02\n', '4\n')
