('6:23\n', '1\n')
('6:22\n', '1\n')
('6:21\n', '1\n')
('6:20\n', '1\n')
('6:19\n', '1\n')
('6:18\n', '1\n')
('6:17\n', '1\n')
('6:07\n', '1\n')
('6:06\n', '1\n')
('6:05\n', '1\n')
('6:04\n', '1\n')
('6:03\n', '1\n')
('6:03\n', '1\n')
('6:03\n', '1\n')
('6:03\n', '1\n')
('6:03\n', '1\n')
('6:03\n', '1\n')
('1:47\n', '1\n')
('1:46\n', '1\n')
('1:45\n', '1\n')
('1:44\n', '1\n')
('1:43\n', '1\n')
('1:43\n', '1\n')
('1:43\n', '1\n')
('1:43\n', '1\n')
('1:43\n', '1\n')
(':02.9\n', '1\n')
(':02.9\n', '1\n')
(':02.9\n', '1\n')
('02.0\n', '1\n')
('01.0\n', '1\n')
(':00.1\n', '1\n')
(':00.0\n', '1\n')
('4:19\n', '2\n')
('4:18\n', '2\n')
('4:17\n', '2\n')
('4.16\n', '2\n')
('4:15\n', '2\n')
('4:14\n', '2\n')
('3:54\n', '2\n')
('3.53\n', '2\n')
('3:52\n', '2\n')
('3:51\n', '2\n')
('3:50\n', '2\n')
('3:47\n', '2\n')
('3:46\n', '2\n')
(':05.3\n', '2\n')
('04.3\n', '2\n')
(':03.3\n', '2\n')
(':02.4\n', '2\n')
(':01.6\n', '2\n')
(':01.6\n', '2\n')
('7:39\n', '3\n')
('7:38\n', '3\n')
('7:37\n', '3\n')
('7:36\n', '3\n')
('7:35\n', '3\n')
('7:34\n', '3\n')
('7:33\n', '3\n')
('6:47\n', '3\n')
('6:46\n', '3\n')
('6:45\n', '3\n')
('6:44\n', '3\n')
('6:43\n', '3\n')
('6:42\n', '3\n')
('6:41\n', '3\n')
('6:40\n', '3\n')
('3:52\n', '3\n')
('3:51\n', '3\n')
('3:50\n', '3\n')
('3:49\n', '3\n')
('3:48\n', '3\n')
('3:47\n', '3\n')
('3:47\n', '3\n')
('5:20\n', '4\n')
('5:19\n', '4\n')
('5:18\n', '4\n')
('5:17\n', '4\n')
('5:16\n', '4\n')
('5:15\n', '4\n')
('5:14\n', '4\n')
('3:52\n', '4\n')
('351\n', '4\n')
('3:50\n', '4\n')
('3:49\n', '4\n')
('3:48\n', '4\n')
('3:47\n', '4\n')
('1:45\n', '4\n')
('1:44\n', '4\n')
('1:43\n', '4\n')
('1:42\n', '4\n')
('1:41\n', '4\n')
('1:40\n', '4\n')
('1:39\n', '4\n')
