('7:33\n', '11\n')
('7:32\n', '1\n')
('7:31\n', '1\n')
('7:30\n', '11\n')
('7:29\n', '11\n')
('2:00\n', '11\n')
('1:59\n', '11\n')
('1:58\n', '1\n')
('1:57\n', '1\n')
('1:56\n', '1\n')
('1:55\n', '1\n')
('1:51\n', '11\n')
('1:50\n', '11\n')
('04.3\n', '11\n')
('03.3\n', '11\n')
('02.3\n', '11\n')
('01.3\n', '11\n')
('00.3\n', '11\n')
('00.0\n', '11\n')
('7:21\n', '2\n')
('7:20\n', '2\n')
('7:19\n', '2\n')
('7:18\n', '2\n')
('1:17\n', '2\n')
('7:16\n', '2\n')
('7:15\n', '2\n')
('5:32\n', '2\n')
('5:31\n', '2\n')
('5:30\n', '2\n')
('5:29\n', '2\n')
('5:29\n', '2\n')
('5:28\n', '2\n')
('5:24\n', '2\n')
('5:23\n', '2\n')
('4:15\n', '2\n')
('4:14\n', '2\n')
('4:13\n', '2\n')
('4:12\n', '2\n')
('4:11\n', '2\n')
('4:10\n', '2\n')
('4:09\n', '2\n')
('4:08\n', '2\n')
('4:07\n', '2\n')
('4:06\n', '2\n')
('08.3\n', '2\n')
('07.3\n', '2\n')
('06.4\n', '2\n')
('05.4\n', '2\n')
('04.4\n', '2\n')
('03.4\n', '2\n')
('02.5\n', '2\n')
('02.5\n', '2\n')
('7:17\n', '3\n')
('7:16\n', '3\n')
('7:15\n', '3\n')
('7:14\n', '3\n')
('7:13\n', '3\n')
('7:12\n', '3\n')
('277594\n', '1\n')
('4:31\n', '3\n')
('4:30\n', '3\n')
('4:29\n', '3\n')
('4:28\n', '3\n')
('4:25\n', '3\n')
('4:24\n', '3\n')
('3:17\n', '3\n')
('3:16\n', '3\n')
('3:15\n', '3\n')
('3:14\n', '3\n')
('3:13\n', '3\n')
('3:12\n', '3\n')
('3:11\n', '3\n')
('3:06\n', '3\n')
('3:05\n', '3\n')
('347\n', '1\n')
('347\n', '1\n')
('347\n', '1\n')
('347\n', '1\n')
('8:13\n', '41\n')
('8:12\n', '4\n')
('6:42\n', '41\n')
('6:41\n', '41\n')
('6:40\n', '41\n')
('6:39\n', '41\n')
('6:38\n', '41\n')
('6:37\n', '41\n')
('3:20\n', '41\n')
('3:19\n', '4\n')
('3:18\n', '4\n')
('3:17\n', '41\n')
('3:16\n', '41\n')
('3:15\n', '41\n')
('3:13\n', '4\n')
('3:12\n', '4\n')
('3:12\n', '41\n')
